Gloss	Nihali	Etymology	Page
innocent	aːraːni		
to fall (tooth), break	aːrom		
to demolish	aːromkamaː-be		
idle	aːrsa		
to feel drowsy	aːrsacakay		
to make to stop weeping	aːrthikamaː-be		
to do	aarti aːrtikam-be	IA	
eight	aːṭho	Hindi	
husband	aːṭo, aːṭho		*
to round	aːṭo-be		
house	aːwaːr		
an edible root	babra		
a thorny bush	babuːr	Hindi	
finger – little	backa akhanḍa		
narrow passage	backa pasaːr		
little, small, young	backa/baska	Hindi	
child	backari	Hindi	
(to be) similar	badaː-ka		
to scratch	badaːr		
duck	badak	Hindi	
bad (person)	baḍhwa	Hindi?	
cloud	badra	Hindi?	
young one of buffalo	bagarpaːlso		
slowly	bage-bage		
silently	bageṭika		
to leave, release	bakaːn-be		
to bear fruit (plenty)	bakaːyram		
(he-goat)	bakhra	Hindi	
hand and arm together	bakko		
lines (on palm)	bakko khiːr		*
wrist	bakko minḍi-jikit		
palm of hand	bakko minjar		
dorsum of hand	bakko ṭephrej		
to clasp (hands)	bakko thapṭi-be		
to cringe, withdraw (in fear)	bakkuḍi		
kid	bakru	Hindi	
hill	balla		
hill side	balla oṭoki		
otherwise	bammakey		
wick	bamra		
to make cloth	bana-	Hindi?	
flute – a type	bancari	Hindi	
to close, shut (door) (intr.)	banḍo-be	Hindi	
to close (door) (tr.)	banḍo-kama-	Hindi	
together	baraːbor	Marathi?	
song	barow		
to deliver/handover (something)	baraw-be/baro-be		
to accompany	baraw-kam-be		
to speak indistinctly	barbar-	IA	
sickle	bardo		
noon, afternoon	baripa		*
calf – (female)	basḍa	Hindi	
small, thin	basel		
bush, shrub	basel aːḍḍo		
young one	basel hela		
young(er) wife	baselkoːl		
to be thirsty	baṭaːm		
finger – little	baṭka akhanḍa		
mango	baṭko		
to check/inspect	batni-be		
bee – a type	baṭṭa		
wife’s younger sister	bawan	Korku?	
father	baː, aːba	IA	
father’s elder brother; father’s father	baːba	Hindi	
paddy	baːba	Korku	
paddy – a variety	baːbakodaw		
after	baːdo	Hindi	
to thatch (with leaves)	baːe-be		
to get stuck, caught	baːki-jere(y)		
earring	baːli	IA	
arrow	baːn	IA/Dr.?	
trunk (of a tree)	baːrbor minjar		
to sing	baːroː-be (< baːrow-be)		*
monsoon	baːrsaḍo	Hindi	
front part of house	baːrya	Hindi?	
before	baːsta		
to bark (a dog)	baːto		
father (one’s own)	baːw-re		
muscle, biceps	baːwṛi		
today, now	baːy		
woman, elder sister	baːy	Hindi	
village women	baːy bawri	Hindi	
a kind of bird	baːy piya		
dull (knife, etc.)	bebhum		
opaque, not clearly visible	beddiso		
different-different	bede-bede		
quickly	beḍe-beḍe	Dr.?	
useless	be-ḍhang (< beṭhe-ḍhang)	Hindi	
to reap	bekki-be		
bael tree	bela	Hindi?	
to mix	bella		
oar	belsa	IA	
jungle	bendi		
a unit of length – thumb tip to small finger of a hand stretched	benga		*
blunt, not sharp	benitto (ṭṭ) (< beṭhenitto)		
close relatives	bera		
mad	beriyay		
to cut (wood)	beri-be		
spear	bersi	IA, Dr.?	
nose ring	besaːr	Dr.?	
no, not	beṭhe		
inside, under	bether	Hindi	
to split (wood)	bethri-be		
to die	betto-be (ṭṭ)		
to become sick	beymaːr-be	Hindi	
musical pipe of snake charmer	beyraːng	Hindi?	
to give, hand over (something)	beː-		
stick (wooden/tire)	beːdo		
to lose consciousness	beːhoːsi	Hindi	
bad, useless	beːkaːr	Hindi	
bad smell	beːkaːrghani		
to get spoiled	beːkaːr-kam-be		*
excellently	beːkataːrki		
to play (flute)	beːri-be		
to whistle	beːsi		
loudly	bhagaːn		
local priest, holy man	bhagato	IA	
big, long	bhagel		
all big people	bhagel hela		
ancestors	bhagel manṭa		
stork (bird)	bhaggo	Hindi	
religious singing	bhajan ḍuyra	Hindi?	
vegetable	bhaji	Hindi	
big	bhakka		
a large group	bhakkharu	Korku	
please	bhala		
cold (in a person)	bhambra		
sister’s son	bhanja	Hindi	
earthworm	bhardhwa(ː)n		
waterfall	bhat-bhatka joppo		
very (intensifier)	bhayan		
big, older	bhaːga	Hindi?	
to grow	bhaːga-be		
very (broad)	bhaːga (cawḍa)		
elder sister	bhaːga bay		*
elder brother	bhaːga ḍã(ː)y/ḍaːy		
father’s elder brother’s wife	bhaːga maːy		
late night	bhaːga minḍi		
pot, vessel	bhaːnḍa	Hindi	
vessels, etc.	bhaːnḍa-kunḍa	Hindi	
heavy, difficult	bhaːri	Hindi	
price/value	bhaːw	Hindi	
a kind of bird	bhaːwci		
back of the body	bhaːwri		
tomato	bhedra		
to explode	bheki-be		
to fill (intr.)	bherya-	Hindi	
to fill (tr.)	bheryaː-kam-be	Hindi	
below	bheteːr	Hindi?	
behera tree	bheyra aːḍḍo		
kite (bird)	bhilla	Hindi?	
beggar	bhiːk wayni-re	Hindi	
dull	bhola	Hindi	
naked (children)	bhongaː-ka		
snail	bhoːri		
sharp (knife, etc.)	bhum		
to have relation with more than one man/woman	bhum cippoka		
to roam (a tiger), wander	bhum-be		*
wandering-wandering	bhum-bhum-ka		
fisher person	bhuy		
to fry (in oil)	bhuːjo-be	Hindi	
to forget	bhuːl	Hindi	
ghost, spirit	bhuːto	Hindi	
also	bi	Hindi	
to inquire	bica-be	Hindi	
to say goodbye	bidakam-be	Hindi	
once	biḍḍaːw		
one	biḍi, baḍa	Dr.?	
one half	biḍi aːdha		
one length: distance between the extended thumb and the little finger	biḍi	byanga	
length of two hands	biḍi gajjo		
distance between the elbow and the tip of the middle finger	biḍi mukha		
together	biḍikhaṭṭa		
of same/similar type	biḍisãː		
(e.g. dance) to extinguish fire, to blow (air)	bigi-be, bhigi-be		*
bangles	bigri	Hindi	
latch	bijasari/bijaːsri	Hindi?	
negative marker	biji		
one place	bijjaːga		
lightening	bijli	Hindi	
to lift, turn out	bikama		
beggar	bikkhari	Hindi?	
bidi	bira	Hindi?	
father-in-law	birṭom		
mother-in-law	birtom napyom		
one hundred	biseddi (ḍḍ)		
sand	biṭil	Korku	
to unroll (mat)	bitni-be		
to join	biṭṭhaːw		
all fall into one place	biṭṭhaːwi		
village	biya		
villager	biya ungaːy-re		
to rise	biː-be		
seed; to sprout	biːjo-	IA	
to wake up (someone)	biː-kam-be		
to bleed	biːkini		*
to tie (something), obstruct	bokki-be		
bear (n.)	bolgo	Korku?	
an edible root	bolor		
cry in shame	bombo		
top portion of a plant	bonḍe		
a variety of fish	boṭhya		
hare	boṭor	Hindi?	
to get tired	boːr-be?		
jujube tree	boːre aːḍḍo		
grass	boːy	Korku	
to drown (in water) (self)	buddo-be (ḍḍ)		
to drown (some one)	buddojere-be		
nest (bird)	budlic		
bubble	bulbul		
to slip (from hand)	buluruyj		
navel	bumli		
near, towards	bundi		
bad, spoiled	buraːso	Hindi	
to surround	burikamay		
mole (n.)	buthru		
a kind of grass	buṭu boːy		*
breast, udder	buːcu	Korku	
to set (sun, moon)	buːdi-	IA	
above (on a tree)	buːndi		
cat	byarko, berko	Dr.?	
to mutter	cabaːḍ-cabaːḍ		
grand son/daughter	cacaːw	Hindi?	
to heat	cacakkamaː-be/cackoːki		
hot	cacko		
hot water	cacko joppo		
to taste good	cacom		
blanket, carpet	caddar	Hindi	
half-pant	caḍḍi-	Hindi?	
to shoot (with arrow)	cagi-be		
echo	caharka		
tongs	cekiji		
to sweep	cakhaːw-be		
to climb, make to climb	caki-be, cakakamaː-be		
to hear	cakni		
whirlwind	cakri oːra	Hindi	
thunder	calomka		
stone slab, used as a lid	calphet, calphej		*
dance	cana		
to dance	cana-be		
to chew	caphaːt-be		
slipper	cappal	Hindi	
to graze	caraːw-	IA	
rivulet, canal	caraːy		
hot (chillies)	cark(h)a		
finger – ring	carkha akhanḍa		
waist	carkhat (ḍ)		
black-faced monkey	carko		
eyeglass	casma	Hindi	
hot (weather)	caṭa		
shrewd, clever	catraːy	Hindi	
design/pattern on skin, etc.	caṭṭa		
broad	cawḍa	Hindi	
square	cawkhuṭ	Hindi	
to be hungry	caːṭopaːṭ-		
rat-type animal	caːco		
cock’s comb	caːcu	Hindi?	
to drink tea	caː-ḍelen-be		
stone	caːgo, caːrgo		*
climbing (ascending) road	caːka-ḍãːy		
wheel	caːko	Hindi	
to ascend, climb	caːko-be		
to rinse (cloth)	caːkṭo-/caːṭṭo-kam-be		
knife	caːku	Hindi	
to beat a drum	caːlom		
to start	caːlukamaːy	Hindi	
fish	caːn		
to catch (fish)	caːn ceki		
to dance	caːna-be		
wound	caːndi		
to cut (vegetable)	caːni-be		
feather (bird’s)	caːpa, caːpha		
an edible root	caːpiːr		
torch	caːrcing	Hindi	
a wild tree...	caːrumaːraːḍḍo	Dr., IA?	
centipede	caːrumaːru		
hunger	caːṭo		
to fear	caːwak-	IA?	
to be afraid	caːwgo		
temple (of face)	caːwni		*
part of a house (front/back)	cecchiri		
ant – red	cedri-ta		
to hold, arrest, catch	cek(k)i-be, caka-be		
axe	cekṭo		
to cut (something)	cekṭo-be		
to go, to ride (a horse)	cel-	Hindi/IA	
flat-nosed	cepṭe	Hindi/Dr.?	
to cut, trim	cerej-be		
to make to fall, to vote	cerekkamaː-be		
to run, pursue	cergo-be		
to fall (from up to down)	cerk		
to sprinkle	cersi-be	Korku	
chilly sauce	ceṭni	IA/Dr.?	
a poisonous lizard	cetyer		
ancient times, formerly, previously, first	ceyni		
to hit (with something), throw	ceːnḍa		
iron hoe	chabbal	Hindi	
1/16 of a seer	chaṭaːk	IA/Dr.?	*
a variety of grass with thorn	chaːga		
chest	chaːti	Hindi/IA	
to cause to eat	ceṭṭoː-be		
tamarind	cicia	Korku	
a kind of bird	ciciḍoke		
a wild tree	ciciler		
ear	cigam		
ear – back side of it	cigam pasla		
selfish, miserly	cikaṭo		
firefly (an insect)	cikiñ		
sticky substance	cikna	Hindi	
snake – fast running; a species of bush; lower half of grinding stone	cilaṭi		
bedbug	cile-ṭa		
a kind of tree	cilir		
tobacco pipe	cilom	Hindi	
mosquito – a variety	cilṭyaːñ		
kerosene	cimnitel	Hindi	
puncture	cimṭa	Hindi?	
white conductor in electric pole	cini		*
to stand, to erect (something)	cippo-be		
to make something erect	cippo-kam-be		
to tear	cira-be	Hindi	
evening time	cirempaːr		
thief	cirma	Hindi?	
night	cirya		
to give birth, deliver (baby)	citer bakki		
engagement (for marriage)	ciṭhoːr		
parting of the hair	ciṭipaːra		
deer	citra		
giraffe	citrangi	Hindi?	
letter	ciṭṭhi	Hindi	
insect found in grains	ciṭṭi	Hindi	
seed of tamarind tree	ciyã	Hindi/Korku	
sticky substance, sap of a plant	ciːko		
urine	co ~ cyo		
to urinate	co ~ cyo-be		*
pig	cogom		
leaf of tree (big)	cokob		
Nahals addressing Korkus	comṭa		
a drop of water	copṭi		
woman’s top garment	corgi		
pant (long)	corna	Hindi?	
blood	corṭo		
cooking local stove, oven	coːle	Hindi	
nose	coːn		
bridge of the nose	coːndhaːnḍi		
nostril	coːnpopa		
salt	coːpo		
house lizard	cucurumunguyt		
to miss	cukaṭiñ		
finger – first	cunḍul akhanḍa		
to pound, powder	cuṭ(ṭ)i-be	Dr.?	
sting (of scorpion)	cuṭiñ		
musk rat	cuṭli		
moth – a thin variety	cuːryakaːnḍro		
to make to urinate	cyoːkamaː-		
to bury	dadaw		*
left hand, left-handed person	dakhriya		
breath	dam	Hindi	
upper arm	dand	Hindi	
sound of cock	daray		
tailor	darji	Hindi	
door frame	darjo	Hindi	
door	darjo kiwaːr	Hindi	
to go in search of (a person)	darom		
handkerchief	dasti	Hindi?	
harrow	dawra	Hindi?	
elder brother	daːda	IA	
beard	daːḍi	Hindi	
to shave	daːḍi arku-be	Hindi	
money	daːm	Hindi	
needle – thick type	daːman	Hindi?	
full moon (day)	daːnḍi puñu		
handle	daːnḍo	Hindi	
stick	daːnḍya	Hindi?	
itching	daːḍo		
to be in heat (animal), to bleat	daːraː-		
to pound (spices)	daːr-be		*
gram	daːri	Hindi?	
rough, thick	daːṭo/i		
immediately	ḍabbal-ki		
to belch, belching	ḍakaːr- (d)	Korku	
to rob	ḍaka-jere-be	Hindi	
a vegetable similar to cucumber	ḍangara		
hibiscus flower	ḍapphu phuːl		
muddy water	ḍawra joppo		
brother	ḍay		
to rob	ḍaːka-	Hindi	
a small drum	ḍaːkho	Hindi	
big basket – for keeping chicks	ḍaːla	IA	
to be	ḍaːn-	Korku?	
clitoris	ḍaːna		
branch (of a tree)	ḍaːngo	Hindi	
way, path, road	ḍãːy/ḍa(ː)y		
ten	deccho (ḍ)	Hindi	
an edible root	dej babra		
bud (flower)	deti		
evening (sun god setting)	dewtaːbuːdi	IA	
interest (money)	deːḍi		*
big vessel for storing water	ḍecki	IA	
frog	ḍeḍḍa		
to drink	ḍelen-be		
to cause to drink	ḍelenkamaː-be		
log of wood	ḍengra		
threshold	ḍewri	IA	
a snake – non-poisonous	ḍeːnḍu		
a kind of bird	dhabla		
dung (animal)	dhabra	Korku	
a snake – non-poisonous	dhamin/dhaman	Hindi?	
plantation – sugarcane (garden)	dhanḍey baːri	Hindi?	
sugarcane rod	dhanḍey piːṛi		
bank of river	dhapri		
dam, tank, lake	dharaːn	Hindi	
adopted child	dharampaːlso		
generous man	dharom maːnso		
earth	dharti, dherti	Hindi/IA	
strong	dhaṭṭo		
to wash (cloth)	dhaw	IA	
to cure	dhawni		
sharp	dhaːr	Hindi?	*
to sharpen (a knife)	dhaːrkam-be		
distant/far	dhaːwa		
gum tree	dhaːwra		
bumblebee	dheḍne		
to push	dhekli-be (ḍ)	Hindi	
to stop, to be enough	dher		
earth	dherti		
earthquake	dherti ekhaːy	Hindi	
wall	ḍhepi		
curd	ḍhẽyã	Hindi	
to turn	ḍhere		
loose	ḍhila(ː)y	Hindi	
mosquito – large type	dhoknaːn		
lips	dhondru		
a bamboo basket	dhoṭu		
to cheat	dhoːkhaː-be	Hindi	
hollow (of a tree)	ḍholla	IA	
cow	ḍhor	Hindi?	
cattle (pl.)	ḍhoṭṭa	Hindi?	
cow herd (one who tends cattle)	ḍhoṭṭa caraːw-re		
to wash (body)	ḍhoː-be	Hindi?	
drum (musical)	ḍhoːl	Hindi	*
fog, mist	dhũãr	Hindi	
heartbeat	dhuk-dhuk	Hindi/IA	
dust	dhulla (ḍ)	Hindi?	
field’s end	dhuraː		
to be late	di-ay	Hindi?	
to wish, to be in love with	dil jerey		
paw, claw (animal)	ḍimba		
day	din	Hindi	
sleep (n.)	diskom		
show	disoːki	Hindi	
lamp, light	diwa	Hindi	
a poisonous root	diwi		
day	diya	IA	
to look good	diːso-ka	Hindi	
thread	doːra	Hindi	
to milk	(duːdo) doho-be		
a vegetable (used in distilling liquor)	dokka		
and	ḍo	Korku	
bull, ox	ḍoba	Korku	
to ferment (something)	ḍobba-jere (o ~ a)		
a puddle of water	ḍobla		*
skeleton	ḍoḍhor		
to hiccough	ḍoko		
giraffe	ḍojri		
to be drowsy	ḍoklaṭine		
to wear (cloth: lady)	ḍokom-be		
to sit and beg	ḍokore		
flood, to flood	ḍokso (d) so ḍoku		
leaf cup	ḍokuma		
boat	ḍong	IA	
red ant	ḍonga	Korku/Hindi?	
ant – a type	ḍonga kokoyñ		
forest, hill	ḍongor	Hindi	
buttock	ḍophor		
marigold flower	ḍopphu		
to carry (a load, etc.)	duri-be		
red-faced monkey	ḍugi		
woman – old/aged	ḍukri	Korku	
grandmother	ḍukrimaːy	Korku	
lizard (monitor)	ḍuma		
to see stealthily	ḍutni-be		
smoke	duy	IA	*
milk	duːdo	Hindi	
milk tooth	duːdomenge		
second	duːsra	Hindi?	
fly (n.)	eḍ(u)go		
to pain/ache	eden- (ḍ)		
to drink (liquor)	egato		
to remove	eger		
to shave	eger-kama		
boy, son	ejer		
to shake (in the breeze)	ekhaːy		
fingers separately	ekhel-ekhel		
alone	ekhelka		
to spill	ekher-be		
together	ekkel		
creeper	eli		
my father	emba		
my mother	emmay		
brinjal	engaːn		
my	enge		
burning charcoal	enge(ː)r		
my child	engepaːlso		
match stick	engerkaːri		
me	eng-ki		*
bee	epṭa		
beehive	epṭaːwaːr		
to remove (water)	erte-be		
he, that person (visible)	eṭe(y)		
they	eṭla		
he (distant, invisible)	etre(y)		
to go	eːr-, eṛe		
last week	eːrhihaːt		
last year	eːrisaːl		
calf muscle; pit	gaḍḍa, gadda	Hindi	
liver	gadri		
snail	gagolbay		
carrot	gajre	Hindi	
net, trap	gal	Hindi	
braid	galam		
to dissolve	galaṭine		
to cut (by saw)	ganḍa-be		
to bury	garay		
neck	gardan	Hindi	
lumps of clay	gargada		
stone/pebble	garga-ṭa		
testicle	gargaṭaːl		
to castrate	gargaṭaːl koṭṭo		*
penis	gaṭaːl		
bundle	gaṭṭha	Hindi	
much, a lot	gayra		
cart (bullock)	ga(ː)ra, gaːṛi	Hindi	
cheek	gaːl	Hindi/IA	
referred to Korkus by Nahals	gaːngrya		
hailstone; eyeball, a type of soil	gaːra	Hindi	
cart driver	gaːra khedaː-re		
hailstone	gaːrgoṭi	Hindi	
funnel	gaːrni	Hindi?	
to string	gaːṭhi	Hindi	
to vanish	gaːyab	Hindi	
ass	gedri	Hindi	
useless, unworthy	gegeliya, gengeliya		
maize	gele	Korku?	
bylane	geli		
to commit mistake	gelti-jere	Hindi	
to crawl (as a baby)	gener		
rhinoceros	genḍa	Hindi	
useless, unworthy	gegeliya, gengeliya		
enough	genjo		*
fishing hook	geri, giri	Hindi?	
the string tied to the neck...	getha		
dog and bitch in union	geṭhyaːy		
supporting beam of the roof	geyi		
slow(ly)	geyra		
slowly	geyraː-ki		
to discover, find, get	ghajjareoil		
extraction mill	ghana	IA/Hindi	
fragrance	ghani	Hindi?	
to smell ghaniant – very small type	ghani kokoyñ		
round and round	ghanimani		
to embrace	ghapta- (ṭ)		
chicken pox	ghaskarang		
to search	ghaṭa-be		
sunshine	ghaːm	IA	
sunny day	ghaːmodin		
scar	ghaːy	Hindi?	
for (the sake of)	ghelya	Korku	
metal pot	ghem(b)la	Hindi	
to surround (a place)	gheramaːr-be		*
clock, wrist watch	gheriyaːl	Hindi	
frequent	gheri-gheri	Hindi?	
to fold	gheri-kam-be		
babul tree’s thorn	ghokru moːr		
deer	ghoṭari, ghoṭaːri	Korku	
bump	ghoːr		
to shake (body)	ghunganus ghurkoṭor		
bandicoot	ghuːnso ondor		
to go for defecation	ghuːrka		
many, longtime; as an intensifier	gidaːr		
very bad person	gidaːr-niːc-manso		
a red fruit	gingiso		
to feel hot	giraː germipoor		
man	girbo	Hindi	
red ochre	giru	Hindi	
eclipse	giryaːn	Hindi	
younger sibling	giṭa	Korku	
brother (dl.)	giṭabom		
bun of hair	gobṭi		
top stone of a grinding	goḍaːl		
stone tattoo	goḍay		*
an edible root	gogḍu		
a kind of bird	gogṭi		
to bend (body)	gokhru-jere-be		
to heap	gola-	Hindi	
earwax	golga	Korku	
a sling, catapult, bow	golor		
with	gon		
to roll (e.g., mat)	gonḍi-be, gunḍi-be		
bride-price	gonom	Korku	
male calf	gora		
calf – (male)	gora paːlso		
buttermilk	gorsi	Hindi?	
deer (antelope)	goṭari (or gotari)	Korku	
pumice stone, to rub	goṭor		
referred to Nahals by Korku	goyraːku (-ku ‘pl.’ in	Korku)	
round	goːl	Hindi	
beam	goːl	Korku	
to accumulate	goːlaː-kam-be	Korku	
bunch – (banana)	goːnḍa		
kidney	gudliya		
yellow (of egg)	gulpha		*
button	gunḍi	Hindi	
for	gunta		
to tickle	gunṭlij		
jaggery	gur	Hindi	
bones of hand, thigh, leg, etc.	gursa		
to thread (a needle)	guṭu-be		
fault	guỹ		
brain	guːḍo		
winter	hagam		
to call	hakko-be		
to get ready to say something	hala		
to torture	halhal-kaːmo-jere		
light (not heavy)	halka	Hindi	
pot – metal – big	hanḍa	Hindi/Dr.	
to defeat	haraṭini	Hindi	
turmeric	hardo	Hindi?	
to be lost	harpi-be	Hindi?	
to wander	harpo		
to bite	haru-be		
there	haṭ(i)ka		
there	haṭin-ki/hin-ki, houtin		*
to break (stick, etc.)	haṭu-be		
level road	hawan-ḍãːy		
no/not	hayom		
this much	h(i)yan		
to smile, laugh	haːgo-be		
this	haːn		
a space between two rows in a vegetable field	haːri		
market	haːto (ṭ)	Korku/IA?	
all	he(ː)la		
this much, a handful	helle-helle		
to send	hem-be		
this	here(y)		
elephant	hetti	Hindi	
this (dem.)	hithis		
work	hi-ka(ː)m		
to feel cold	him-	IA	
cold	him(ka)		
this horse	hi-maːw		
tap (water)	hinal		
to flow	hinal		
to aim	hindyaːn		*
here, this side	hinga		
here	hin-ki		
to stop	hippo-be		
they two (those two)	hiṭkel		
lines on the palm	hiːr		
to hiccough	hokuṭ-	IA	
to shake	holoy-be		
to walk on all four limbs	hombo-hombo		
to need	hona-	IA	
deep	honḍa	Dr.	
to identify, find	hora		
Holi festival	hori tiwaːr		
a kind of bird	horya		
owl	horyaːr		
that thing	hoṭa		
there	hoṭka, haṭil, hutin-ki		
that much	hoṭyan		
discarded skin of snake	hoːla/i		
owl	hoːlya		
identical (shape)	hubehu		
innocent	hulya		
with	hun (as in ne-hun ‘with you (sg.)’)		*
accumulation of mucus in chest	hunḍa		
to cook (food)	hundaːr-be (honaːr)	Korku	
to gore, bite, attack with paws	huru		
clever	hussar	Hindi	
to turn around oneself	ikhat-	Korku	
to treat (someone)	ilaːj-kam-be	Hindi	
husband’s younger brother	ilur	Korku?	
to be	imni		
we	ingin		
sickle, to cut	iraː		
two	iraːr		
to stir, mix, roast	irkaːr-be		
that	iṭi, hiki, hotaw		
here	iṭika		
bride’s and bridegroom’s father	iway	Hindi?	
two books	iːr pustok	IA	
two brothers	iːrḍaːy hiṭkel		
two sisters	iːrgiṭa hiṭkel		
to pinch	iːsa-be	Korku	*
twenty	iːso	Hindi?	
quickly	j(h)aldi, jeldi-jeldi	Hindi	
to rape	jabraːy	Hindi	
heavy	jacom, jacyom		
spider	jagli malaːy		
web of a spider	jaglimalaːñ aːwaːr		
dog – male	jagṭo-naːy	Dr.?	
wound	jakam/jekhmi	Hindi	
birth	jalom	Hindi	
to descend, climb down	jalu-be		
descending road	jalu-ḍãːy		
to make to descend	jalukamaː-be		
rust	jambo, mongo	Hindi?	
rust (n.)	jango	IA	
to get rusted	jango peṭe(k)-be		
fever	jara	IA/Hindi	
crab	jaran		
young	jawaːn	Hindi	
son-in-law	jawaːy	Hindi	
one’s own son-in-law	jawaːy-ja		
fat (man)	jaːḍa (manso)	Hindi	
root	jaːḍi	Hindi	
everything	jaːkaji		*
net	jaːli, jaːla	Hindi	
buy, pick up, take (anything)	jaːm-be		
blackberry	jaːmbu	Hindi	
to measure	jaːmobuyer, jaːm-re		
to know	jaːn-	Hindi	
to pound (rice, etc.)	jaːta-	Korku?	
confluence (of streams)	je(ː)nḍ-paraːy		
jaw	jebrya	Hindi?	
poison	jeher	Hindi	
waist-band	jemka		
to walk (on all four limbs)	jeneːr-kini		
to remain, become, happen	jere(y)-		
right hand	jewna	Hindi	
skirt	jhaggha		
to stagger (due to intoxication)	jhaka-jhoko		
peacock (male)	jhallya	Korku	
flag	jhanḍa	Hindi	
mushroom	jhap(p)on		
to cover	jhapna		*
to sieve	jharni-be	Korku	
lid	jhaːpo, jhakkan	Hindi	
to hold, catch	jhel-be		
to rain (continuously)	jheri-	IA/Dr.?	
to greet	jheːli-	Hindi	
spring, brook	jhira	Hindi?	
a kind of bird	jhoryaːnta		
swing	jhuri	Hindi	
a bet, to bet	jid; jit-kamay		
sister	jiji	Korku	
tears	jiki(t) aːṭo > jikinnaːṭo		
to suffer from sore eyes	jiki(t) bi		
eyelid	jiki(t) kaːpri		
eye-sand	jiki(t) sili		
retina	jikiggaːra		
eyelid	jiki-raphid		
reddening of the eyes	jiki-rataːy		
eye	jikit		
eyelash	jikit bhuy-bhuy		
eyebrow	jiki(t) ṭapne		
earthworm	jilnguyj, jingluyt		
a little, a little-little	jiri-jiri		
very little	jiːsa		*
I	jo		
gum	joggo		
hut/field hut	jopḍi	Hindi?	
water	joppo		
whirl-pool	joppo ikhat (ṭ)		
to fold (hands)	joratim-be		
bamboo – a thin variety	joːr		
a pair	joːri	Hindi	
loudly	joːrki	Hindi	
to stagger (due to heavy load)	jugu-jugu		
name, to name	jumu, jyumu		
broom	junu		
bamboo	juːḍo		
a bunch of flowers found in forest	jyoːti		
soul	jyu	Hindi	
to bake	jyuci-be		
to put/serve (food)	ka(ː)m-be		
garbage	kac(a)ra	Hindi	
rough (road)	kacca	Hindi	
strong	kaḍakko	Hindi?	
mouth	kaggo		*
to quarrel by mouth only	kaggo-kaggo ṭaːgu jhagra		
above, top of something	kajaːr		
to carry on shoulder (e.g. baby); to adopt	kaka-be		
comb (n.)	kakheñ	IA?	
to comb hair	kakheñ-be		
wild buffalo	kakhrya		
people (pl.)	kalaṭṭa		
wife’s elder brother	kalaṭyel, kalaṭṭṭel		
egg	kalen		
noise	kal-kal		
noise	kalma	Korku	
a Naha:l person	kalṭo		
to prepare, causative form	kama		
to do	kama(ː)y-be		
daily wage	kamaːyka	Hindi?	
labourers	kamaːyka-hela		
coarse woolen blanket	kamra		
a type of fly	kandro		
one measure (to measure grain)	kangen		
for the purpose of	kanṭhi		*
to tremble (in fear)	kapaṭini-	Korku	
to take a vow	kaphonki		
butterfly	kapli(ñ)j	Korku	
winnowing basket	kapor		
to sleep	kappo-be		
plastic sheet	kapur		
earring	karanphuːl		
to get hurt	karatfoam		
(soap)	karbu		
bitter gourd	karela	Hindi	
an edible fruit	karjo		
to sell	karpi-be		
seller	karpi-re		
pitcher	karsi	Hindi	
