gloss	Proto-Ongan	Jarawa	Onge
earth; land	*bela ‘mud, dirt, earth’	pela, bela	gea; tutano
eat, bite (vb.)	*-ita, *-ata (dbl.)	-ita-	-ida, -ite, -ada
egg	*gane	yane	gane
eye	*-ecebo (< *eca-ipo)	-ecepo	-ejebo
face, forehead	*-eca	-ece-	-eja-, -eje-
feather	*-ode ‘hair, feather’	-ode	-ode, -ore
fingernail	*-(o,e)pe-taŋ (*-taŋ, -daŋ ‘bone; nail’)	-opetaŋ	-oboraŋe, -obeduŋe (P)
fire	*tuke	tuhə	tuke
firewood; ignite fire, burn firewood	*nam	nam(e)	name, yame
fish	*napo	napo	coge
fish abdomen		heyonu	
flesh, cheek, fleshy part	*-ipo	-epo, -ipo	-ebo, -ibo
flower	*okw	oha	okw-
fly (vb.)	*ugike-	ugikə-	-ugiʔkei
foot	*uge (< *-uke)	-ug(e)	-uge
foreigner, stranger, not Ongan	*inen	inen	inene
forest; stick	*kayiw	həwə	kəyə, kəye, gai
give	*kiya	hiya	kaʔ (imp.)
give (vb.)	*bele	-iya	bele; -gabe-
go, come	*bei	bəi-te-	bei
good, nice, beautiful	*baro	cew	bado, baro
hair	*-ode ‘hair, feather’	-ode, -od	-ode, -ore, -orə
hand	*-ome	-om(e)	-ome
hand, arm, branch, appendage	*-ipil	-ipil	-ibile
head, face	*-otab ‘head, face’	-otab, -otap	-otabe
hear, listen (vb.)			-koʔlakwe, -yeyeʔ
heart			-ukukotabe
hit with arrow, kill		aikwa	otakwe
honey	*lew	ləw	le
horns	*-iru, *wiru (?)	wiru	
hot	*kulu	hulu	kulu
husband	*-agi	-agi	-agi/cebe
I (1sg subject pronoun)	*mi	mi	mi
illness, pain, sickness	*-bule	ule, -obule	ule-, -obule
knee	*-olo	-olo	-ola, -olo
knife, dagger, iron	*lee	-le, leo	leə, lee
know (vb.)	*-iliɲe ‘see, know’	-iniyəla	-iliɲe, -iliŋe
laugh (vb.)	*-eni	-enia	-eɲi
leaf	*bebe	bebe	bebe
lie down (vb.)	*tule	tule	tule, nelaŋa (A)
liver	*-oracu		-oacu
log, tree, trunk, stem; canoe	*taŋ, *daŋ?	taŋ, daŋ	daŋe, taŋe
long	*talu ‘long, big’ , *dalu?	talu, dalu	jagai, ue, uye; dalu ‘big’
louse	*kuhi	ləhubə (A); kuhile	toraŋi, toraŋ/gile
man		taho (A)	uɲagile
many, much		mala; tapo	kutu; waŋe; -ilake
moon		tape, tabe	cileme
mother (address term)	*-aya	-aya	k/aye/ri
mouth	*-alaŋ	-olu, alu	-alaŋe
mud, dirt, earth	*bela, *pela?	bela	bela
name	*-atiba	atiba	-atibe
navel	*-ekwal	-ehwal	-ekwale
neck, throat	*-aŋito	-aŋito	-aŋito
night		kitale	toŋki, boykwe
no, not; verbal negator	*nadema	nadem	narema
non-past, non-completive	*-ya	-yə	-a, -ə
nose	*-iɲjan-ipo, *-iɲanpo	-iɲapo; iɲanpo, -iɲanpo	-iɲabo, iɲaibo
nurse, suckle	*ɲoɲo	ɲoɲo	ɲoɲo
one	*waya	wəyə	i-uaiya, i-woya
owl	*koriko	horko	korige
path, trail	*icala	-icala	-icele
person, native; member of group; Ongan	*eŋ, *əŋ (< *en)	əŋ, eŋ	əŋe
pig; animal	*kui	hwəuwə, hoi	kui
pipe made of crab claw	*takwe	tahe	takwe
rain		wəwə	ujeŋe, ujəŋe
red	*gidu	horgidu	gero, geru
red ochre	*alam	alam	alame
resin, gum	*pone	pone	bone, mone
root, buttress	*ici-taŋ ‘tree root’	icitaŋ	icindaŋe
sand		pile, bilə	belai; agaŋe, ageŋe
say, speak (vb.)		-atiba	bini ‘speak; drop; throw’; cenene- ‘talk’
see (vb.)	*-yaba	yo-yəba	-iaba
see, look (vb.)	*-iliɲe ‘see, know’	-yewəba, -iliye-ma	-atiyebe, -iliɲe, -iliŋe
seed; fruit	*otu	otu	-oto
sharp edge (e.g., of knife)	*-icale	icale	-ijele
sharp instrument	*cataŋ	cataŋ ‘chisel’	ceraŋe ‘k.o. arrow; spade’
shell; thorn, spine, pointy protrusion	*cana-	cana-	cena-
shine (of heavenly body)	*cile-	ciləhe, cilape ‘star’	cileme ‘moon’
shoulder	*-ala	-ala	-al/laŋe
shoulder blade	*-ataŋ	-ataŋ	-ata
side, lateral side (of body)	*-ikola	iholə	ikola
sit (vb.)	*antek	-ətəhə	-antəkə
skin	*-atiy	-atiye	-ati
sky, clouds; flat	*(p,b)aŋnan ‘flat (surface)’	baŋnaŋ, paŋnan-	beŋnoŋe, bennaŋe
sleep (vb.)	*-omuk > *-omok	-omohə	-omoka
small	*baya	baiya, boiya	baya, bayai
smoke	*bel ‘smoke’	pənel, bənel	beleme
stand (vb.)	*doka	dokəte-	doka-
star		cilape, ciləhe	kəyekəye
stative verbal suffix	*-me	-me	-me
stomach		-ore, -ohwe, -ihwede, -ihwedbo	-ioŋe
stone	*uli	uli	uli
stream, creek	*kwai	hwaw	kwai
sun, day, daylight	*eke	ehe	eke
swim (vb.)	*kwara	hwara	kwa(n)e
tail	*-ukicele	awug ‘fish tail’; yawugu ‘bird tail’; yaw ‘tail (of dog)’ [rs:56]	ukicele
tears	*-epo-t-iŋ ‘water of eye’	-epotaŋ (A)	-eboteŋe
that	*lu	lu	lua
this	*li	li	li
tongue	*-adalaŋ	-adal(e)	-alaŋe
tooth	*-akwed	-ahod	-akwe
tree, log	*taŋ	taŋ	daŋe
two	*naga	naya	ninaga, inaga
urinate	*-ecele	-ecele	-ejele
walk (vb.)		cayway(a)	bujeye
water	*iŋ	iŋ	iŋe
we	*eti	mi	eti
weep, cry (vb.)	*wana	wana	wana
what	*one ‘what, which’	onaha	one-nare
white	*kala	hala	kala
who	*one-akai ‘which one’	one	ɲakai
wife	*-aŋa	-aŋab	-aŋa/be ‘make s.o. one’s wife; take a wife (of a man)’
woman		tayoha	əŋa-cebe, əŋ-ale
wooden bucket	*uku	uhu	uku
you (sg.)	*ŋi	ŋi	ŋi
