No.	Chinese gloss	English gloss	Proto-Miao-Yao
71	筷子	chopsticks	*dreu C
72	坛子	earthen jar	*ʔeŋ A
73	桶	bucket, container	*tʰoŋ B
74	衣	clothes	*ʔeu B
75	蓑衣	rain clothes	*sui A
76	裤	trousers	*qʰeu C
77	裙子	skirt	*teŋ A
78	帽子	hat	*mɔu C
79	斗笠	bamboo hat	*kup D
80	锁	lock	*so B
81	锯	saw	*kjeu C
82	粉末	powder	*mpɛn B
83	墨	ink	*mɑk D
84	香	fragrant	*ɕoŋ A
85	价钱	price	*ɴqɛ C
86	漆	paint	*tsʰet D
87	鞋	shoe	*ɦai A
88	一	one	*ʔi A
89	二	two	*ʔwə A
90	三	three	*pe A
91	四	four	*plei A
92	五	five	*prɛ A
93	六	six	*krɔk D
94	七	seven	*dzruŋ C
95	八	eight	*jɛt D
96	九	nine	*gju A
97	十	ten	*gjəp D
98	百	hundred	*pɛk D
99	千	thousand	*tsʰen A
100	细	thin (diameter)	*mun B
101	红	red	*sjik D
102	黄	yellow	*ɢwaŋ A
103	绿	green	*mpru A
104	黑	black	*qlɛŋ A
105	白	white	*qleu A
106	肥	fat (adj.)	*grun C
107	瘦	thin (not fat)	*dzæi C
108	快	fast	*ʰrak D
109	慢	slow	*man C
110	光	light, bright	*qwaŋ A
111	暗	dark	*qrek D
112	远	far	*qwe A
113	近	near	*ʔre C
114	清	clear	*ntsʰreŋ A
115	浊	murky	*ndrəu B
116	深	deep	*tlo A
117	圆	round	*ɢlun A
118	弯曲	crooked, bent	*ŋkʰok D
119	酸	sour	*srui A
120	戴	wear (hat)	*ntoŋ C
121	看	look	*mɔŋ C
122	看见	see	*bat D
123	眨	blink	*ntsrop D
124	听	listen	*ʰmɑŋ C
125	听见	hear	*ʰnom B
126	嗅	sniff, smell	*ʰmjɛm C
127	数	count	*ʰrau B
128	问	ask	*nɐi C
129	答	answer	*tau A
130	哭	weep, cry	*ŋjæn B
131	笑	laugh	*krɑt D
132	吃	eat	*nɑm A
133	吃	eat	*njɛn C
134	喝	drink	*hup D
135	吹(火)	blow (fire)	*pʰru A
136	吹(笙)	blow (instrument)	*pʰrəu B
137	嚼	chew	*tsjai C
138	啃	bite	*kok D
139	吞	swallow	*ɴɢɔŋ B
140	去	go	*mriŋ B
141	回来	return, come back	*ʔlɔ B
142	回转	turn around	*ntrun B
143	围	surround	*woi A
144	嫁	marry (of woman)	*qɑ C
145	下(山)	descend (mountain)	*ɴɢɛ B
146	起来	stand up	*gwɛ B
147	过	pass, cross over	*gwai C
148	睡	sleep	*poi C
149	攀登	ascend	*ntsjau C
150	歇	lie down, rest	*srəu C
151	进入	enter	*bjek D
152	到达	arrive	*dzɔ C
153	藏	hide (tr.)	*ʔrək D
154	痒	itch	*kʰjət D
155	痛	pain	*ʔmun A
156	怕	afraid	*ntsʰræ A
157	饿	hungry	*tsʰræ A
158	知道	know	*pei A
159	忘记	forget	*ʰnrɛu B
160	写	write	*srɛ B
161	塞	stuff (v.)	*ntsrok D
162	擦	rub	*srɔŋ C
163	舂	pound (v.)	*tu B
164	扫	sweep	*tsʰje A
165	量(米)	quantity (rice)	*lrɛŋ A
166	磨(刀)	grind (knife)	*hɛu B
167	飞	fly	*ʔjaŋ C
168	舔	lick	*jɛp D
169	(鸟)叫	call (of bird)	*ɢəu A
170	打鸣	crow (of bird)	*qai C
171	拱(土)	pile (soil)	*pʰoi A
172	斗	fight	*ntreu C
173	孵	hatch	*bu C
174	咬	bite	*dap D
175	啄	peck	*ntsjok D
176	生(蛋)	lay (eggs)	*ndau C
177	满	full, filled	*pəŋ B
178	流	flow	*ljou C
179	沸	boil	*mpei C
180	银	silver	*njian A
181	铜	copper, bronze	*doŋ A
182	铁	iron	*ɬek D
183	盐	salt	*ntsrau B
184	火	fire	*deu B
185	烟	smoke	*ntsʰjɛu C
186	点(火)	burn (tr.), ignite (fire)	*tok D
187	炭	charcoal	*tʰɑn C
188	灰	ashes	*tsʰræi B
189	村寨	village	*rɔŋ B
190	园	garden	*waŋ A
191	田	field	*lriŋ A
192	路	road	*klau B
193	桥	bridge	*gieu A
194	沟	ditch	*kɔu A
195	头	head	*ʍæi B
196	头	head	*plei B
197	眼睛	eye	*mɐi C
198	鼻子	nose	*mbrit D
199	梦	dream	*mpei C
200	声音	sound	*ʰru A
201	声音	sound	*siŋ A
202	力	strength	*rək D
203	骡	mule	*lo A
204	郎猪	type of pig	*lɔŋ A
205	鹅	goose	*ŋɑ A
206	马	horse	*mja B
207	鬃毛	mane	*tsoŋ A
208	尾巴	tail	*tloi B
209	牛	cattle, cow	*ŋjəŋ A
210	角	horn	*kləŋ A
211	羊	sheep	*juŋ A
212	狗	dog	*qlau B
213	猪	pig	*mpɑu C
214	猴子	monkey	*ʔleŋ A
215	老虎	tiger	*tsrəu B
216	熊	bear	*qljop D
217	穿山甲	pangolin	*rɔi C
218	豪猪	porcupine	*dzei C
219	种子	seed	*ʔnrem A
220	糯	glutinous rice	*mblut D
221	麦子	wheat	*mrek D
222	荞麦	buckwheat (Fagopyrum esculentum)	*gjeu A
223	红薯	sweet potato (Ipomoea batatas)	*ndɑi A
224	豆	bean	*dup D
225	黄豆	soybean	*pei B
226	菜	vegetable	*ʔræi A
227	瓜	melon	*qwa A
228	茄子	eggplant	*gje A
229	芋头	taro	*weu C
230	藠头	chives (Allium chinense)	*ɢlju B
231	姜	ginger	*qʰreŋ B
232	萝卜	radish	*bɑk D
233	苋菜	amaranth (Amaranthus tricolor)	*ɢin C
234	壳	shell, cowrie	*qʰok D
235	芭蕉	banana	*tsriu A
236	木耳	wood ear	*ŋkjau A
237	蕨菜	bracken (Pteridium aquilinum)	*ʰru A
238	苎蔴	ramie (Boehmeria)	*ndu C
239	苎蔴	ramie (Boehmeria)	*ljap D
240	裹腿	legging	*ntʰrɑŋ A
241	布	cloth	*ntei A
242	线	thread	*ʍjo B
243	线	thread	*sui C
244	织布机	sewing machine	*dzuŋ A
245	梭子	shuttle	*ɴɢɔŋ B
246	针	needle	*kjem A
247	手镯	bracelet	*bui C
248	房子	house	*prau B
249	柱子	pillar	*ŋgjau A
250	瓦	tile	*ŋwɑ B
251	栋	building	*tuŋ C
252	梯子	ladder	*tʰei A
253	凳子	bench, stool	*taŋ C
254	鞍	saddle	*ʔon A
255	门	door	*greŋ A
256	圈	pen, corral	*nglɔn A
257	仓	granary	*rɛm B
258	床	bed	*tsʰjeu C
259	斤	catty	*kjɔn A
260	两	double	*ljəŋ B
261	担	carry (on shoulders)	*ntɑm C
262	斗	fight	*teu B
263	升	rise	*sreŋ A
264	半(天)	half (day)	*ntam B
265	(一个)钱	money	*dzen A
266	里	li (distance)	*lji B
267	庹	tuo (length)	*ɢljaŋ A
268	个	classifier (general)	*ʔlɔm A
269	个(人)	classifier (person)	*lɑn A
270	只	classifier (bird)	*dlɛŋ B
271	根	classifier (root)	*traŋ A
272	朵	classifier (flower)	*trɔi B
273	床	bed	*pʰun A
274	滴	leak	*ndrəu C
275	双	double	*ŋglok D
276	我们	we	*pe A
277	你	you (sg.)	*mi A
278	他	he, she	*nɐn A
279	甜	sweet	*qam A
280	苦	bitter	*ʔim A
281	辣	spicy hot	*mbrɛt D
282	香(气)	fragrant	*ntaŋ A
283	臭	smelly, stinky	*tsroi C
284	老	old	*əu B
285	嫩	soft, tender	*ʔrun C
286	新	new	*tsʰreŋ A
287	旧	old	*qo C
288	勤快	diligent, hardworking	*ɴɢɑi C
289	懒	lazy	*ŋglen B
290	懒	lazy	*lui C
291	冷	cold	*ʔnɑm C
292	热	hot	*kʰɛŋ A
293	热	hot	*klom A
294	凉	cool	*dzeŋ B
295	暖	warm	*srɛu B
296	软	soft	*mljɐi C
297	硬	hard	*tɑu B
298	轻	light (weight)	*kʰwɐ A
299	轻	light (weight)	*ɴqeu C
300	哄	make noise	*qlai A
301	咳嗽	cough	*ʰnup D
302	穿(针)	thread (needle)	*tsʰjun A
303	穿(衣)	wear (clothes)	*ʰnaŋ B
304	开(门)	open (door)	*qʰai A
305	开(门)	open (door)	*put D
306	关(门)	close (door)	*tsʰok D
307	搓	rub	*ʍjɑ A
308	牵	pull	*tsjuŋ C
309	编织	weave	*heŋ A
310	拍	beat, slap	*mbɑu A
311	盖(被)	cover	*ʔrəu B
312	解开	untie	*ntʰai B
313	捉	catch	*ɴɢwe B
314	做	do	*ʔɐi C
315	释放	release, free	*tsrɔŋ C
316	放下	lay down	*pɔŋ C
317	挤(虱)	squeeze (louse)	*ʔlɛ C
318	撒，洒	sprinkle	*mpʰɑŋ C
319	敢	dare	*qam B
320	认识	know, recognize	*ntsjek D
321	还、赔	return	*bui A
322	赌	gamble, bet	*teu B
323	着	catch, receive	*dru C
324	害	harm	*ɦai C
325	成	make, build	*dzjaŋ A
326	败	defeat	*bai C
327	有	have	*mrɛi A
328	要	want	*ʔjɑ B
329	借	borrow	*qa B
330	偷	steal	*ŋjem C
331	买	buy	*mɛi B
332	卖	sell	*mɛi C
333	得到	get, obtain	*tuk D
334	杀	kill	*tai C
335	割	slice	*ɬak D
336	砍(树)	cut, hack (tree)	*ntɔ B
337	剖开	cut open	*pʰai C
338	劈	split (tr.)	*pʰjɐ A
339	溶化	melt	*jaŋ A
340	破裂	split open (intr.)	*deu C
341	(线)断	break (of thread)	*tlɛŋ C
342	折	fold	*ʔlɔ B
343	倒	fall, collapse	*ɢɔi C
344	肿	swell, swollen	*ʔom C
345	死	die, dead	*dai C
346	烂	rotten	*ʔloi A
347	烂	rotten	*klam C
348	缺	lack	*ɴqwak D
349	完	finish	*dzjaŋ B
350	翻(船)	turn over, capsize (of boat)	*mpʰui C
351	沉	sink	*dem A
352	崩	collapse	*pɔŋ A
353	滚	roll around	*qljun B
354	结(子)	tie (v.); knot (n.)	*pjou C
355	脸	face	*ʰmɛn A
356	耳朵	ear	*mbrau A
357	嘴	mouth	*dzjui A
358	口	mouth	*ʔlɔ C
359	舌	tongue	*mbljet D
360	牙	tooth	*m̥jɛm B
361	脖子	neck	*qlaŋ A
362	腋	armpit	*tsrɑp D
363	腰	waist	*qlai B
364	肚脐	navel	*ntət D
365	男阴	male genitals	*kæi C
366	女阴	female genitals	*ʍɔt D
367	屁股	buttocks	*qaŋ
368	脊背	back (body)	*ɢek D
369	手	hand	*bre B
370	手指	finger	*nta B
371	手指	finger	*ntɔk D
372	脚	foot	*teu C
373	脚	foot	*lɔ A
374	水獭	otter	*ntsʰrai A
375	老鼠	mouse	*naŋ B
376	鸟	bird	*mlɔk D
377	翅膀	wing	*tlɔt D
378	鸟窝	nest (of bird)	*rau B
379	鸡	chicken	*qei A
380	鸭子	duck	*ʔap D
381	蛋	egg	*qrau C
382	鹰	hawk	*qlaŋ B
383	斑鸠	turtledove	*ɴqu A
384	画眉	thrush	*tsjɑŋ A
385	鱼	fish	*mbrau B
386	蛙	frog	*qaŋ B
387	蛇	snake	*ʔnaŋ A
388	龙	dragon	*roŋ A
389	虫	insect	*klaŋ A
390	臭虫	bedbug	*pi A
391	虱	louse (body)	*tɛm B
392	蚤	flea	*ʰməŋ A
393	头虱	louse (head)	*ntsʰrei B
394	庄稼	crops	*qoŋ A
395	蓝靛	indigo	*ŋglam A
396	茅草	thatch grass	*ɴqɑn A
397	藤子	rattan	*ʰmljei A
398	人	person, human being	*mlən A
399	客	guest	*qʰɛk D
400	雌(母)	female (animal)	*mjɛp D
401	雄	male (animal)	*pu B
402	叔	uncle	*je B
403	薩	saint	*nɛu B
404	儿子	son	*ton A
405	嫂媳	daughter-in-law	*ŋjam A
406	女儿	daughter	*mpʰjak D
407	女婿	son-in-law	*ʔwei B
408	丈夫	husband	*gjaŋ C
409	妻子	wife	*we B
410	姐姐	elder sister	*ʔau B
411	鬼	ghost	*qljaŋ A
412	王	king	*woŋ A
413	匠	carpenter	*dzrɔŋ C
414	枕头	pillow	*ŋkjum C
415	船	boat	*ŋglɔŋ A
416	斧	axe	*tluk D
417	凿子	chisel	*dzuk D
418	绳子	rope	*ɬou C
419	镰刀	sickle	*ljem A
420	簸箕	winnowing basket	*ʔwaŋ A
421	槽	trough, manger	*qljuŋ A
422	筒	bamboo pipe	*druŋ A
423	盒	box	*ɦup D
424	壶	vessel, container	*ɦəu A
425	笼	cage	*roŋ A
426	篾	bamboo strip	*ntsjuk D
427	扇子	fan	*mbjɛp D
428	梳子	comb	*ɣau C
429	弓	bow	*ʰna B
430	枪	gun	*tsjoŋ C
431	鼓	drum	*dru B
432	纸	paper	*nteu B
433	秤	scale (weighing)	*ntsʰjɛŋ C
434	哪	which?	*doi C
435	这	this	*ʔnæŋ B
436	中间	middle	*ntroŋ A
437	后边	behind	*qaŋ A
438	晚上	evening	*ʰmɔŋ C
439	岁	year (age)	*ʰŋjaŋ C
440	不	no, not	*mə A
441	高	high, tall	*ʰreŋ A
442	矮、低	short, low	*ɢe B
443	厚	thick	*tɑu A
444	薄	thin	*ŋjeŋ B
445	大	big	*ɬjəu A
446	小	small	*ʔjui C
447	多	many	*ntɔi C
448	少	few	*dzrok D
449	长	long	*ntlau B
450	短	short	*ʔlɛŋ B
451	宽	wide	*qwaŋ B
452	窄	narrow	*ɴɢak D
453	粗	thick, coarse	*tsʰeu A
454	重	heavy	*ʰŋjæŋ B
455	干	dry	*ɴqʰai A
456	湿	wet	*nton A
457	生(的)	raw, unripe	*ŋjum B
458	熟	cooked	*sreŋ B
459	粗糙	rough	*ntsʰɛ A
460	光滑	smooth	*mbljeŋ C
461	锋利	sharp	*rai C
462	枯	dry	*qʰɑu B
463	渴	thirsty	*ɴqʰɔt D
464	饱	full, satiated	*tsrui C
465	早	early	*ntsɛu B
466	久	long (time)	*ʔlau A
467	干净	clean	*ntsʰæ A
468	滑	slip, fall	*ɴɢut D
469	聋	deaf	*luŋ A
470	聋	deaf	*tlɔŋ A
471	好	good	*ʔroŋ C
472	稀	thin, watery, diluted	*ʰrɛ A
473	浓	thick, viscuous	*ŋjoŋ A
474	挂	hang	*ɢwan A
475	收	get, receive	*sreu A
476	分	share	*pon A
477	伸	stretch, reach	*ɕuŋ A
478	插	stick, plug, insert	*tʰrep D
479	接	connect, receive	*tsip D
480	站	stand	*sreu B
481	走	walk	*ɦaŋ A
482	立	stand up	*ljɑp D
483	骑	ride (horse)	*gji A
484	烤火	roast (fire)	*ntau C
485	住、在	live, be at	*ŋjəm A
486	养	raise (animals)	*jəŋ B
487	逃脱	escape	*tət D
488	送	give	*suŋ C
489	来	come	*dai A
490	等候	wait	*dɔŋ B
491	抬	lift	*qɐŋ A
492	扛	carry	*koi B
493	守	guard, watch	*ʔrəu B
494	射	shoot	*pun B
495	剪	cut (hair)	*klɛp D
496	织(布)	weave	*ntat D
497	盖	cover (v.)	*mbɛu C
498	缝	sew	*run A
499	补	repair, mend, fix	*mpjɛ B
500	煮	cook	*hɔi C
501	煮	cook	*tsjeu B
502	蒸	steam	*tsjɛŋ A
503	炒	fry	*kɐ A
504	舀	scoop	*hip D
505	烧(山)	burn (mountain)	*pʰe B
506	洗(手)	wash (hand)	*ntsau B
507	洗(衣)	wash (clothes)	*tsʰu C
508	包	wrap	*qʰoi B
509	捆	tie (v.)	*qʰəi A
510	捆	tie (v.)	*du A
511	擦	wipe	*tsʰut D
512	淋	drip	*ljɛm A
513	钩	hook	*ɴqau C
