No.	Chinese gloss	English gloss	Proto-Bai	Tuoluo (妥洛)	Gongxing (共兴)	Enqi (恩棋)	Ega (俄嘎)	Jinman (金满)	Jinxing (金星)	Dashi (大石)	Zhoucheng (周城)	Mazhelong (马者龙)	Page number
389	竹子	bamboo	tsro⁴	tʂv⁴²	tsao²⁴	tɕo⁵⁵	tɕu⁴⁴	tɕu⁵⁵	tsv⁴⁴	tʂo³³	tsv⁴⁴	tsu⁴⁴	185
390	藤子	cane, vine	mɛ⁵	mɛ²¹	men⁴²	mᴇ⁴³	mɛ⁴²	me⁴²	me⁴²	me⁴²	me²¹	me²¹	186
391	刺兒	thorn; splinter	tsʰje³	tɕʰi²¹			tsʰi⁴²	tsʰe⁴²	tɕʰi³¹	tɕʰi³¹	tɕʰi³¹	tɕʰi²¹	186
392	桃子	peach	dɔ¹	dɔ³⁵	dao¹²	to²¹	to²¹	to²¹	tɑ²¹	ta²¹	ta²¹	tɛ²¹	186
395	柿子	persimmon	tʰjæ⁴	tʰa⁴²(ʐɚ³³)	tʰæ²⁴	tʰiæ⁵⁵	tɕʰia⁵⁵(tsɛ²¹)	ʈʰa⁵⁵(ʐi²²)	tʰɑ⁴⁴(tsi³¹)	tʰa⁴⁴(tʂi³¹)	tʰa⁴⁴(tsi³¹)	tʰɛ⁴²(tsi³³)	186
397	板栗	Chinese chestnut	tsʰji¹	tɕʰi⁵⁵(ji⁴²)	tɕʰi⁵⁵(ʑi²¹)	tsʰi⁵⁵(jɯ²¹)	(ɕu²²)tsʰi⁵⁵(ji²¹lɛ²¹)	(xa⁵⁵ne²¹)	tɕʰi⁵⁵(ji³¹)	tɕʰi⁵⁵(li⁴⁴)		(to²¹ju²¹)	186
403	水稻	paddy rice	sɔ⁴		sao²⁴	so⁵⁵					si⁵⁵	sv⁴⁴	186
403	穀	paddy rice	ɢɔ¹	ʁɔ³⁵		qo²¹	qo²¹	qo²¹	kou²¹	ku²¹	kuo²¹		186
404	糯米	glutinous rice	suŋ²	sv³³	sao²²	su²²	sy²²	sy²²	sv³³	sõ³³	si⁵⁵	sɯ³³sɯ³³mɛ³³	186
405	種子	seed	tsruŋ²	tʂvŋ³³	tsoŋ²²	tɕo²²	tɕu²²	tɕõ²²	tsṽ³³	tʂoŋ³³	tsv³³	tsoŋ³³	186
406	秧	(rice) seedling	dzri¹	ʐɚ³⁵	dʐi²¹	tsɿ²¹	tsɛ²¹	tɕɚ²¹	tsa²¹	tʂi³¹	tsi²¹	dzi²¹	186
407	穗	ear; spike	truæn²	tjuaŋ³³	tsuan²²	tyᴇ²²	tɕya²²	ʈõ²²	tsuan³³	tʂuɚ̃³³	tsuɛ³³	tsuɚ³³	186
408	稻草	rice straw	ma⁴	mo⁴²	(ɢao²⁴tɕy²²)	ma⁵⁵	(qua⁴⁴)	(qo⁵⁵qua⁵⁵)	mɑ̃⁴⁴	ma⁴⁴	ma⁵⁵	ma⁴⁴	186
410	小麥	wheat	mɯ⁴	mɯ⁴²	moŋ²⁴	mɯ⁵⁵	mɯ⁵⁵	mɯ⁵⁵	mə̃⁴⁴	mə̃⁴⁴	mɯ⁴⁴	məɯ̃⁴⁴	186
411	大麥	barley	zɔ¹	zɔ³⁵	zao¹²	zo⁴³	zo²¹	zao²¹	sou²¹	zau²¹	zo²¹	zo²¹	186
413	蓠麥	buckwheat	go¹	gv³⁵	gao¹²	ku²¹	kv²¹	kv²¹	kv²¹	ko²¹	kv²¹	kv²¹	186
414	麥桔	wheat straw	mɯ⁴qua⁴	mɯn⁴²quo⁴²	moŋ²⁴qua²⁴	mɯ⁵⁵qua⁵⁵	mɯ⁵⁵qua⁴⁴	mɯ⁵⁵qua⁵⁵	mə̃⁴⁴kuɑ⁴⁴	mə̃⁴⁴kua⁴⁴		kua⁴⁴	186
419	麻	hemp	si²	si³³	si³³	si³³			si³³	si³³		si³³	186
420	蔬菜	vegetable	tsʰɯ³	tsʰi²¹	tsʰe⁴²	tsʰɿ⁴³	tsʰi⁴²	tsʰɯ⁴²	tsʰɯ³¹	tsʰɯ³¹	tsʰɯ³¹	tsʰəɯ²¹	186
423	蔥	onion; scallion	tsʰuŋ¹	tsʰv⁵⁵	tsʰu⁵⁵	tsʰo²⁴	tsʰoŋ⁵⁵	tsʰo⁵⁵	tsʰṽ⁵⁵	tsʰõ⁵⁵	tsʰi⁵⁵[/fi³¹tsʰu³¹]	tsʰoŋ⁵⁵	186
424	蒜	garlic	sʰuaŋ³	soŋ²¹	suaŋ⁴²	ɕyᴇ⁴³	sua⁴²	suã⁴²	suɑ̃³¹	sʰuaŋ³¹	sua³¹j	suaŋ²¹j	186
425	薑	ginger	koŋ¹	koŋ⁵⁵	koŋ⁵⁵	ko²⁴	ku⁵⁵	koŋ⁵⁵kõ⁵⁵		koŋ⁵⁵	kou³⁵	koŋ⁵⁵	187
430	豆	pea; bean	dɯ⁵	ɖjɯ²¹	di⁴²	dɯ⁴³	dɯ⁴²	dɯ⁴²	tə̃³¹	tɯ³¹	tɯ³¹	dəɯ²¹	187
437	蘑菇	mushroom	sreŋ²	ʂɚ̃³³	ʂẽ²²	ɕiæ²²	sɛ²²	ʂɚ̃²²	san³³	(tɕʰɚ⁵⁵mu³³)	sɛ³³	sen³³	187
439	米	rice	mɛ²	mi³³	mi²²	mi²²	mi²²	mi²²	me³³	me³³	me³³	mɛ³³	187
443	肉	meat	ɢæ¹	ʁa³⁵	ɢæ¹²	qæ²¹	qa²¹	qa²¹	ka²¹	kɚ²¹	kɛ²¹	kɚ²¹	187
445	脂肪	grease, fat	tsri¹	tʂi⁵⁵	tʂi⁵⁵	tsɿ²⁴	tsɛ⁵⁵	tʂi⁵⁵	tsi⁵⁵	tʂi⁵⁵	tsi³⁵	tsi⁵⁵	187
446	清油	vegetable oil	jɯ¹ᵇ	jɯ³⁵	ji¹²	jɯ²¹	ji²¹	(tʂɚ⁵⁵)	jɯ²¹	jɯ²l	jɯ²¹	jou²¹	187
448	花椒	seed of Chinese prickly ash	sru¹	ʂv⁵⁵	ɕy⁵⁵	ɕu²⁴	ɕu⁵⁵	ɕy⁵⁵	su⁵⁵	su³⁵	su³⁵	su⁵⁵	187
450	蛋	egg	sen⁵	sen²¹'testicle'	sen⁴²	sᴇ⁴³	sɛ⁴²	sẽ⁴²	sen⁴²	sen⁴²	se⁴²	sɛ⁴²	187
451	湯	soup	xæn¹	xaŋ⁵⁵	han⁵⁵	χæ²⁴	xã⁵⁵	xã⁵⁵	xan⁵⁵	xɚ̃⁵⁵	xɛ⁵⁵	(tsi⁵⁵)	187
452	酒	alcoholic beverage	tsuŋ²	tsvŋ³³	tsoŋ²²	tso²²	tsõ²²	tsoŋ²²	tsṽ³³	tsõ³³	tsi³³	tsoŋ³³	187
454	茶	tea	drɔ¹	djɔ³⁵	dzao¹²	tjo²¹	tɕo²¹	ʈo²¹	tsou²¹	tʂou²¹	tso²¹	tso²¹	187
456	藥	medicine	jɔ⁴	jɔ⁴²	ju²⁴	ju⁵⁵	ju⁴⁴	jo⁵⁵	jou⁴⁴	jou⁴⁴	jo⁴⁴	jo⁴⁴	187
457	糠	chaff; bran	tʰroŋ¹	tʰioŋ⁵⁵	tsʰoŋ⁵⁵	tʰio²⁴	(qa⁴⁴; tɕyi²¹)	ʈʰõ⁵⁵	tsʰõ⁵⁵	tʂʰoŋ⁵⁵	tsʰo⁵⁵	tsʰoŋ⁵⁵	187
461	線	thread	xɯ²	xɯ³³	xɯ²²	xɯ²²	xɯ²²	xɯ²²	(sou⁴⁴jen⁴²)	(xou³⁵)	xɯ³³	xɯ³³	187
462	布	cloth	sʰɛ⁴	sɛ⁴²	sɛ²⁴	sᴇ⁵⁵	sɛ⁴⁴	se⁵⁵	se⁴⁴	sʰe⁴⁴	(pʰio³¹)	(pʰio²¹)	187
479	鞋	shoe	ʁɛ¹	(jen³⁵)	ʁɛ¹²	(ȵi²¹)	ŋa²¹	o²¹tse⁴⁴	ŋe²¹		ŋe²¹	ɣɛ²¹	187
481	梳子	comb	sro¹	ʂv⁵⁵	sao⁵⁵	ɕu²⁴	ɕy⁵⁵	ɕu⁵⁵	sṽ⁵⁵	ʂo³⁵	sv³⁵	su⁵⁵	187
484	耳環	earrings	ɢoŋ¹	qoŋ³⁵	(tɕien²²)	ko²²	ko²¹	kõ²¹	kõ²¹	koŋ³¹	ku²¹	koŋ²¹	187
490	枕頭	pillow	tsren²	tʂɚ̃³³(diɯ³⁵)	tʂi²²(di¹²)	tsɿ²²(tiə²¹)	tsɛ²²(tɕi²¹)	tʂɚ²²(ʈɯ²¹)	tsi³³(tə³¹)	tʂɚ̃³³(ti³¹pou³³)	tsi³³(tɯ²¹)	tsen³³(təɯ²¹)	187
493	蓑衣	straw or palm-bark rain cape	bri³	ʑyi²¹	dʑy⁴²	bi⁴³	dʑyi⁴²	tɕyẽ⁴²	pi³¹	pi³¹	pi²¹?	bi²¹	188
494	房子	house	hɔ³	hɔ²¹	ha⁴²	xo⁴³	xo⁴²	xo⁴²	xou³¹	xou³¹	ho³¹	xo²¹	188
509	瓦	tile	ŋuæ⁵	ua²¹	uɛ⁴²	uæ⁴³	ŋua⁴²		uan⁴²	uɚ⁴²	uɛ⁴²	vɚ³¹	188
511	木頭		ɢua⁴	guo⁴²	ɢua²¹	qua²¹			kuɑ⁴²	kua⁴²			188
512	木板	plank; board	pæn²	paŋ³³	pan²²	pæ²²	pa²²⁵	põ⁴²	pan³³	pɚ̃³³	pɛ³³	pɚ̃³³	188
513	柱子	pillar	drɯ²	diɯ³³	dʐi³³	diɯ²²	dʑi²²	tɕõ²²	tsɯ³³	tʂɯ³³	tsɯ³³	dzəɯ³³	188
514	門	door	mɛ¹ᵇ	me³⁵	mən¹²	mᴇ²¹	mɛ²¹	me²¹	me²¹	me²¹	me²¹	me²¹	188
522	園子	garden (plot)	suaŋ¹	suaŋ⁵⁵	ɕyen⁵⁵	ɕyᴇ²⁴	sua⁵⁵(lu²¹)	sõ⁵⁵(lu²¹)	suɑ̃⁵⁵	suaŋ³⁵	sua³⁵	suaŋ⁵⁵	188
526	床	bed	droŋ¹	dioŋ³⁵	dzoŋ¹²	tio²¹	(ŋu²²ti²²tɕʰu⁴²qʰa⁴⁴)	(u⁴²tĩ²²tɕʰu⁴²)	tsõ²¹	(kʰo³³)	tso²¹	(tɕʰyi²¹)	188
534	柴	firewood	sjen¹	ɕien⁵⁵	ɕien⁵⁵	si²⁴	sɛ⁵⁵	sẽ⁵⁵	ɕien⁵⁵	ɕien⁵⁵	ɕi³⁵	ɕen⁵⁵	188
544	灶	cooking stove; kitchen range	tso⁵	tsu²¹	tsu⁴²	tsu⁴³	tsy⁴²		tsou⁴²	tsu⁴²		tso⁴²	188
548	蒸籠	bamboo food steamer	ŋuen¹	uen³⁵	uen¹²	ŋui²¹	ŋuɛ²¹		uẽ²¹	uen²¹	uɛ²¹		188
551	勺子	ladle	dro⁴	(mɯ³⁵)tiu⁴²	(mi⁵⁵)tsu²¹	(mᴇ²⁴)tiu²¹	(mɛ⁵⁵)tɕio²¹	(me⁵⁵)ʈo²¹	(mi⁵⁵)tso⁴²	(mi⁵⁵)tʂou⁴²	(mi³⁵)tso⁴²	(mi⁵⁵)tsʰo⁴²	188
555	筷子	chopsticks	dzro³	ʐv²¹	dʐao⁴²	dʐo⁴³	tɕiu⁴²	tɕiu⁴²	tsṽ³¹	tʂo³¹	tsv³¹	tsəɯ²¹	188
559	壺	kettle; pot	bjɛ⁴	vɚ⁴²	bvu²¹	(la²⁴)fᴇ²¹	(li⁵⁵ui⁴²qʰo²²)	(lo⁵⁵)ue²¹	vu⁴²	(xu⁴²)		(kua⁴²tsi³³)	188
560	缸	vat; jar	kaŋ¹	kaŋ⁵⁵		ka²⁴		kã⁵⁵	kɑ̃⁵⁵	kã³⁵	ka³⁵	kaŋ⁵⁵	188
576	利息	interest	bɯ¹	bɯ³⁵	bu¹²	bɯ²¹	pɯ²¹	pɯ²¹	[li⁵⁵ɕie³⁵]	[li⁵⁵si³⁵]	pɯ²¹	pə²¹	188
578	針	needle	tsreŋ¹	tʂɚ̃⁵⁵	tʂẽ⁵⁵	tsɿ²⁴	tsẽ⁵⁵	tʂɚ̃⁵⁵	tsan⁵⁵	tʂɚ̃³⁵	tsi³⁵	tsen⁵⁵	188
580	釘子	nail; tack	tɕæŋ¹	tɕaŋ⁵⁵	(tsen²²zaŋ²⁴)	tɕæ²⁴	[ti⁵⁵tsi²²]	(tɕʰi⁵⁵tsẽ²²)	tɕian⁵⁵	tɕiɚ̃³⁵	tɕiɛ³⁵	tɕiɚ⁵⁵	188
585	鑰匙	key	dro⁴	diu⁴²	dzu²¹	tio²¹	tsɛ⁴⁴	(so²²pa²²qua⁵⁵)	tsou⁴²	tʂʰou⁴²	tsou⁴²	tsʰo⁴²	189
586	棍子	stick	ɢua⁴	guɔ⁴²	qua²¹	qua²¹	qua⁴²	qua⁴²	kuɑ⁴²	kua⁴²	kua⁴²	(paŋ²¹mo³³)	189
597	鞭子	whip	prɔ¹	tɕiɔ⁵⁵		(pio²⁴)	tɕo⁵⁵	(qua⁴²)	pio⁵⁵	piou³⁵	pia³⁵	pio⁵⁵	189
602	船	boat; ship	jen¹ᵇ	jen³⁵	jen¹²	ȵia²¹	ȵa²¹	ȵɚ²¹	jen²¹	jen²¹	je²¹	jen²¹	189
605	斧頭	axe	pɯ²	pɯ³³	pu³³	pɯ²²	pɯ²²	pɯ²²	pɯ³³	pu³³	pɯ³³	pəɯ³³	189
607	鑿子	chisel	dzo⁴	zu⁴²	dzu²¹	tsu²¹	tsy⁴²	tsv²¹	tsou⁴²(ne³¹)	[tsaŋ⁴⁴tsi³³]	tsu⁴²	tsʰo⁴²	189
608	鋸子	saw	pjo⁵	fv²¹	pfu⁴²	fo⁴³	fv⁴²	fv⁴²	fv⁴²	fv⁴²	fv⁴²	fv⁴²	189
615	鏵	ploughshare	tɕi¹kuɛ¹	tɕi⁵⁵kue⁵⁵	tɕi⁵⁵kuɛ⁵⁵	tɕi²⁴kui²⁴	tɕi⁵⁵kui⁵⁵	tɕĩ⁵⁵kui⁵⁵	tɕi⁵⁵kui⁵⁵			tɕi⁵⁵kuɛ⁵⁵	189
617	鋤頭	hoe (large)	dzruŋ¹	ʐyŋ³⁵	dzao¹²	tɕo²¹	tɕu²¹	tɕu²¹	tsṽ²¹	tʂo²¹	tsv²¹	dzu²¹	189
619	繩子	rope	sʰo⁴	su⁴²	su²⁴	su⁵⁵	su⁴⁴	so⁵⁵	sou⁴⁴	sʰou⁴⁴	so⁴⁴	so⁴⁴	189
623	肥料	fertilizer; manure	tɕʰi¹	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰi²⁴	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰi⁵⁵	tɕʰi⁵⁵	189
624	鐮刀	sickle	jen¹ᵇ	jen³⁵	jen¹²	ȵia²¹	ȵia²¹	ȵa²¹	jen²¹	jen²¹	je²¹	[li⁵⁵to⁵⁵]	189
626	碓(水碓)	trip-hammer for hulling rice	duɛ⁵	due²¹	tyɛ⁴²	tyi⁴³	ti⁴²	(ɕyi²²kue⁵⁵)	tui⁴²	tui⁴²	(sɯ³³kɯ³³)	tɛ⁴²	189
629	篩子	sieve; sifter	lɔ¹ᵇ	lɔ³⁵	lao¹²	lo²¹	lo²¹	lo²¹	lou²¹	lou²¹	lo²¹	lo²¹	189
630	簸箕	winnowing fan	mo²tɕi¹	mo³³tɕi⁵⁵	mu²²tɕi⁵⁵	mo²²tɕi²⁴	mɯ²²tɕi⁵⁵	mo²²tɕi⁵⁵	tɕi⁵⁵	tɕʰi³⁵	mo³³tɕi³⁵	tɕi⁵⁵	189
637	箭	arrow	tsjen⁵	tɕien²¹	tɕin⁴²	tsi⁴³	tsɛ⁴²	tsẽ⁴²	tɕien⁴²	tɕien⁴²	tɕi⁵³	tɕen⁴²	189
647	紙	paper	tsri²	tʂɚ̃³³	tʂi²²	tsɿ²²	tsɛ²²	tʂɚ̃²²	tsi³³	tʂi³³	tsi³³	tsi³³	189
651	話	speech; words; language	doŋ¹	doŋ³⁵	doŋ¹²	do²¹	(tɕʰa⁵⁵)	(la²²kue⁵⁵)			tou²¹	(ɣo²¹)	190
659	鼓	drum	ɢuŋ²		qoŋ²²	ɢu²²			ku³³	ku³³	ku³³	(kəɯ²¹)	190
669	鬼	ghost; spirit	kro²		tʂi²²	tsɿ²²	tsɛ²²	tʂə²²	kv³³	ko³³	kv³³	tɕu³³	190
673	靈魂	(soul); spirit	pʰæn³man³	pʰaŋ²¹maŋ²¹	pʰan⁴²man²²	pʰæ⁴³ma⁴³	pʰa⁴²ma⁴²	pʰã⁴²mã⁴²	pʰan³¹man³¹		pʰo³¹miɛ³¹	pʰɚ²¹mɚ̃²¹	190
687	名字	name	mjæ¹	ȵua⁵⁵	ȵiuɛ⁵⁵	miæ²⁴	ȵya⁵⁵	ȵo⁵⁵	mian⁵⁵	miɚ³⁵	miɛ³⁵	miɚ⁵⁵	190
695	痕跡	trace; track	tsuŋ¹	tsvŋ⁵⁵	tsi¹²	tɕia⁵⁵	tɕio⁵⁵	tsõ⁵⁵	tsṽ⁵⁵	(tsõ¹³)		tsoŋ⁵⁵	190
698	影子	shadow	qæn¹	qaŋ³³	qan²²	qæ²²	qa²²	qã²²	kɛ³³	kɚ̃³³	(zi²¹tsʰɛ⁵⁵)	kɚ̃³³	190
699	夢	dream	mɯ⁵	mo²¹	moŋ²⁴	mɯ⁴³	mɯ̃⁵⁵	mɯ⁴²	mə̃³¹	mə̃⁴²	mɯ⁵³	məɯ²¹	190
703	方向	direction; orientation	pjɛ²	fɚ³³	(ɢo¹²pʰu⁵⁵)	fᴇ²²	(pʰu⁵⁵)	fe²²	fv³³	fv³³	(po³³)	[xõ³³]	190
710	左邊	left	pri¹(ᵃ)	tɕy⁵⁵	tjen⁵⁵	tsuᴇ²⁴	(la⁵⁵tɕo⁴⁴tɕo⁴⁴pʰo⁵⁵)	(lo⁵⁵tɕyẽ⁵⁵)	pi⁵⁵	piɚ³⁵	pi³⁵	pi⁵⁵	190
713	後邊	back, behind	ɣɯ²	ɣɯ³³	ɣe²²	ɯ²²	xɯ̃²²	xẽ⁵⁵	ɣə³³	ɣɯ³³	ɣɯ³³	ɣə³³	190
714	外邊	outside	ŋua⁴	ŋuɔ⁴²	uaŋ²⁴	ua⁵⁵	ŋua⁴⁴	(pɯ⁵⁵ʐɚ²¹nõ²²)	uɑ̃⁴⁴	uaŋ³³	ua⁴⁴	ŋua⁴⁴	190
722	上方(地勢;河流)	the upper part; up reaches; above	djoŋ²	doŋ³³	doŋ³³	do²²	to²²	ɖɯ²²	tõ³³	tõ³³	to³³	doŋ³³	190
738	今天	today	qæn¹	qan⁵⁵(jien⁴²)	qɛ⁵⁵(ȵi²²)	qæ²⁴(ȵi²²)	qa⁴⁴(ȵi⁴⁴)	qa⁵⁵(ȵi⁴⁴)	ki⁵⁵(ɕia⁴⁴)	ke⁵⁵(jien⁴⁴)	kɛ⁵⁵(ȵe⁴⁴)	ki⁵⁵(ni⁴⁴)	190
739	昨天	yesterday	dʑen¹	ʑien³⁵(jien⁴²)	dʑi²¹(ȵi²²)	tsi²¹(ȵi²²)	tsi²¹(ȵi⁴⁴)	tsi²¹(ȵi⁴⁴)	tɕi²¹(ɕia⁴⁴)	tɕien²¹(jien⁴⁴)	tɕi³¹(ɕe⁴⁴ȵe⁴⁴)	tɕi⁴²(ni⁴⁴)	190
752	晩上	at night; in the evening	pɛ²	pɛ³³	(ja⁵⁵xɯ⁴²)	(ɕia²⁴xɯ²²)	(ȵi⁴⁴u²²)	(ɕia⁵⁵xɯ̃⁴²)	pẽ⁵⁵	pe³³	pe³³	(ɕɚ⁵⁵pʰo⁵⁵)	191
767	屬相	the 12 animals representing the 12 years	dzro⁴	ʐv⁴²	dzao²¹	tɕio²¹	tɕiu⁴²	tɕio²¹	tsṽ⁴²	tʂõ⁴²	tsv⁴²	tsʰu²¹	191
771	月	month	ŋua⁴	ŋuɔ⁴²	uaŋ²⁴	ua⁵⁵	ŋua⁴⁴	uã⁵⁵	uɑ̃⁴⁴	uaŋ³³	ua⁴⁴	ŋua⁴⁴	191
781	明年	next year	back+year	ɣɯ³³suɔ⁴²	ɣe²¹sua²⁴	ɣɯ²¹sua⁵⁵	ɣɯ²¹sua⁴⁴	ɣɯ²¹sua⁴⁴	ɣə³³suɑ⁴⁴	ɣɯ³³sua⁴⁴	ɣɯ³³sua⁴⁴	ɣə³³sua⁴⁴	191
797	一	one	ʔa⁴	a²¹	a⁵⁵	a⁴³	a⁴²	a⁴²	a⁴²		a³¹	a²¹	191
798	二	two	koŋ²	koŋ³³	koŋ³³	ku²²	kv³³	koŋ³³	kõ³³	koŋ³³	kou³³	koŋ³³	191
799	三	three	sʰaŋ¹	saŋ⁵⁵	saŋ²⁴	sa²⁴	so⁵⁵	sã⁵⁵	sɑ̃⁵⁵	sʰã⁵⁵	sa⁵⁵	saŋ⁵⁵	191
800	四	four	sji⁴	ɕi⁴²	ɕi²⁴	si⁵⁵	si⁴⁴	ɕi⁵⁵	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	ɕi⁴⁴	191
801	五	five	ŋu²	ŋv³³	ŋo²²	ŋu²²	ŋu²²	ŋu²²	ṽ³³	õ³³	mu³³	ŋ³³	191
802	六	six	pjo⁴	fo⁴²	pfu²⁴	fo⁵⁵	xo⁴⁴	xo⁵⁵	fv⁴⁴	fo⁴⁴	fv⁴⁴	fv⁴⁴	191
803	七	seven	tsʰji⁴	tɕʰi⁴²	tɕʰi²⁴	tsʰi⁵⁵	tsʰi⁴⁴	tsʰi⁵⁵	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	tɕʰi⁴⁴	191
804	八	eight	pra⁴	tɕo⁴²	tɕua²⁴	pia⁵⁵	tɕya⁴⁴	tɕua⁵⁵	pio⁴⁴?	pia⁴⁴	pia⁴⁴	pia⁴⁴	191
805	九	nine	tɕɯ²	tɕi³³	tɕi²²	tɕiɯ²²	tɕi²²	tɕi²²	tɕiɯ³³	tɕiɯ³³	tɕiɯ³³	tɕəɯ³³	191
806	十	ten	dzri⁴	ʐɚ⁴²	dʐi²¹	tsɿ²¹	tsɛ⁴²	tʂɚ⁴²	tsa⁴²	tʂi⁴²	tsi⁴²	tsʰi⁴²	191
808	十二	twelve	ten'+ne⁴	ʐɚ⁴²ne⁴²	dʐi²¹nɛ⁵⁵	tsɿ²¹nᴇ⁵⁵	tsɛ⁴²(kv²²)		tsa⁴²ne⁴⁴	tʂi⁴²ne⁴⁴	tsi⁴²ne⁴⁴	tsʰi⁴²ne⁴⁴	191
824	百	hundred	pæ⁴	pa⁴²	pæ²⁴	pæ⁵⁵	pa⁴⁴	pa⁵⁵	pa⁴⁴	pɚ⁴⁴	pɛ⁴⁴	pɚ⁴⁴	191
826	千	thousand	tsjʰen¹	tɕʰien⁵⁵	tɕʰian⁵⁵	tsʰi²⁴	tsʰi⁵⁵	tɕʰi⁵⁵	tɕʰien⁵⁵	tɕʰien⁵⁵	tɕʰi⁵⁵	tɕʰi⁵⁵	191
832	一半	a half	pjo²	fv³³	pfw²²	po²²	fe²²	fɚ²²			po²¹	po²¹	191
839	張(紙)	classifier	troŋ¹	tioŋ⁵⁵	tsoŋ¹²	tio²⁴	(sy⁵⁵qa⁴²qa⁴²)	ʈõ⁵⁵	tsõ⁵⁵	tʂoŋ³⁵	tsou³⁵	tsoŋ⁵⁵	191
842	只(鳥)	classifier	djɯ¹	diɯ³⁵	di¹²	diɯ²¹	tsu⁴⁴tɕi²¹	tso⁴⁴a⁴²ʈɯ²¹	tə²¹	tiə²¹	tɯ²¹	təɯ²¹	191
845	粒(米)	classifier	qʰɔ²	qʰɔ³³	qʰo²²	qʰo²²	qʰo²²	qʰo²²	kʰou³³	kʰu³³	kʰuo³³	kʰo³³	192
848	棵(樹)	classifier	drɯ³	diɯ²¹	dʐi⁴²	diɯ⁴³	dʑi⁴²	ɖɯ⁴²	tsɯ³¹	tʂɯ³¹	tsɯ³¹	dzəɯ²¹	192
852	把(菜)	classifier	tsʰua⁴	tsʰuo⁴²	(dʑɛ²⁴)	(qᴇ²⁴)	(qɛ⁵⁵)	(qõ⁵⁵)	tsʰuɑ⁴⁴	tsʰua³³	(pa⁴²)	(kəɯ⁴⁴)	192
864	件(衣服)	classifier	kʰoŋ¹	kʰoŋ⁵⁵	kʰoŋ⁵⁵	kʰo²⁴	kʰo⁵⁵	kʰõ⁵⁵	kʰõ⁵⁵	kʰoŋ⁵⁵	kʰou⁵⁵		192
876	背(柴)	classifier	bjo²	vɚ³³	(ɪæn⁴²)	(ɪæ⁴³)			v³³	(jɚ⁴²)		bi³³	192
881	袋(米)	classifier	noŋ¹ᵇ	noŋ³⁵	nõ¹²	no²¹	nõ²¹	nõ²¹			ȵo²¹	noŋ²¹	192
889	間(房)	classifier	qæn¹	qaŋ⁵⁵	qan⁵⁵	qæ²⁴	qa⁵⁵	qo⁵⁵	kɛ̃⁵⁵	kɚ̃³⁵	kɛ⁵⁵	kɚ̃⁵⁵	192
894	兩	classifier	noŋ³	liaŋ³³	noŋ⁴²	ȵo⁴³	nõ⁴²	nõ⁴²	nõ⁴²	nõ⁴²	nou⁵³	loŋ²¹	192
899	庹	classifier	zen¹	zi³⁵	zien¹²	zɿ²¹	zɛ²¹	zẽ²¹	(pʰa³¹)	(pʰe²¹)	(pʰe²¹)	jen²¹	192
910	天	day	nji⁴		ȵi²²	ȵi²²		ȵi⁵⁵		jen³³	ȵie⁴⁴	ni⁴⁴	192
914	歲	a year old	sʰua⁴	suɔ⁴²	sua²⁴	sua⁵⁵	sua⁴⁴	sua⁵⁵	suɑ⁴⁴	sʰua⁴⁴	sua⁴⁴	sua⁴⁴	192
916	步	step	pu³	(gɔ³³)	(gu²²)	pɯ⁴³	pɯ⁴²	pu⁴²	pu³¹	pu³¹	pu⁴²	pɯ²¹	192
928	我	I	C-ŋɔ³	ŋɔ²¹	ŋa⁴²	ɴo⁴³	ŋo⁴²	õ⁴²	uõ³¹	ŋõ³¹	ŋo³¹	ŋo⁴²	192
931	你	you	nɔ³	nɔ²¹	na⁴²	no⁴³	no⁴²	no⁴²	nou³¹	nõ²¹	no³¹	nen⁴²	192
934	他	he	bɔ³	bo²¹	ba⁴²	uo⁵⁵	bo⁴²	bo⁴²	mo⁴²	pu³¹	po³¹	(kʰi⁵⁵)	192
964	大	big	dɔ⁵	dɔ²¹	da⁴²	da⁴³	do⁴²	do⁴²	tou⁴²	tou⁴²	to⁴²	do⁴²	192
966	粗	wide	tsʰru¹	tʂʰv⁵⁵	tsʰu⁵⁵	tɕʰu²⁴	tɕʰu⁵⁵	tɕʰu⁵⁵	tsʰu⁵⁵	tsʰu⁵⁵	tsʰu⁵⁵	tsʰu⁵⁵	192
968	高	high	qaŋ¹	qɔŋ⁵⁵	qaŋ⁵⁵	qa²⁴	qo⁵⁵	qã⁵⁵	kɑ̃⁵⁵	kã³⁵	ka³⁵	kaŋ⁵⁵	192
969	低(矮)	low; short	bri²	ʑyi³³	dʑy²²	dzyᴇ²²	dʑyi²²	dʑyẽ²²	pi³³	pi³³	pi³³	pi³³	192
972	長	long	droŋ¹	dv³⁵	dʑou¹²	tjo²¹	tɕu²¹	ʈõ²¹	tsõ²¹	tʂoŋ²¹	tsou²¹	tsoŋ²¹	192
974	遠	far	tuen²	tue³³	tiuen²²	tyᴇ²²	ti²²	tyi²²	tuen³³	tuen³³	tue³³	tsuen³³	192
