Gahri	Part of speech	English gloss
kjakja	adv.	continuously, repeatedly
kjakʰam	n.	food for dogs
kjal-	v. tr.	to swear, to take an oath
kjalkjal	adj.	lying on the back
kjalna	adj.	lying on the back
kjaŋ	n.	jackdaw
kjaŋka	adv.	continuously
kjaŋs-	v. intr.	to deliver a message
kjap-	v. tr.	to protect
kjapstol	n.	refuge
kjar	n.	snow shoe
kjar-	v. tr.	to scare
kjare	n.	blanket (thick)
kjoj	n.	span between thumb and little finger, hand span (traditional length measure)
kjok	adj.	winding
kjon	n.	fraud, deceit
kjoŋbu	n.	small bowl for puja offerings
kjor	n.	dance, game
kjor-	v. intr.	to dance, to play
kjot	n.	hay
kjot-	v. intr.	hon. to come
kju	n.	dumpling for soup
kjuj	adj.	thin, tall
kjuks	n.	ashes
kjuktsi	adj.	small
kjukʈoŋ	n.	chest
kjultar	adj.	bold
kjum	n.	house
kjum-	v. intr.	to ply, to twist (yarn)
kjumar	n.	roof top
kjumtsi	n.	studio, one-room apartment
kjur-	v. tr.	to change, to divert
kjus-	v. intr.	to become long (days)
kjut	n.	wether (goat)
kjutsi	n.	adze
kjuttsi	n.	wether (goat, young)
kjwar-	v. tr.	to spread one's legs
kojotsi	n.	puppy
kok	n.	feed
kok-	v. tr.	to devour
kokma	n.	(1) throat; (2) singing voice
koko	n.	feces, excrements
kokpa	n.	garlic
kol	n.	peel, bark, shell
kol-	v. tr.	to distill
kolɖoŋ	n.	hole (dug by men)
kolom	n.	pebbles (big)
koni	n.	shortage
kontɕok	n.	god
kontsi	n.	back part of foot sole
koŋkoŋ	adj.	bent, crooked (of people)
kopkop	adj.	lying face down
kopna	adj.	sitting face down
kor	n.	subject, matter
kora	n.	balustrade, railing
korlam	n.	circambulation
korna	adj.	round (of ball-shaped things)
korpaŋ	n.	rhombic piece of wood used to lock doors
koroŋkoroŋ	n.	bell
kra	n.	hair
krak-	v. tr.	to fuck
kraks	n.	wedge
kraŋ-	v. tr.	to pile up, to heap up
kraŋɕiŋ	n.	firewood (small pieces)
kraŋi	adj.	hard
krekstaŋ	n.	ending (of stories, songs)
kret-	v. tr.	to sting, to bite
kri-	v. tr.	to dress (with a belt, turban) (tr.)
kris-	v. mid.	to dress (with a belt, turban) (refl.)
krill-	v. tr.	to twist
krim-	v. tr.	to spin a thread with your hands
kriŋ	n.	beam (central)
krok	n.	soot on surfaces
korok-	v. tr.	to dig out, to scrape off
kruk-	v. tr.	to shake, to stir, to roar (of stomach)
ku-	v. intr.	to steal
ku ɕu-	v. tr.	to re-coat the floor by covering it with a mixture of mud and cow manure
kuɕu	n.	apple
kudzu	n.	Kullu valley
kukar	n.	cooker (English)
kuks	n.	jackpot in a dice game
kukuri	n.	chicken (Indo-Aryan)
kulik	n.	key
kunɖa	n.	statue, idol
kunma	n.	thief
kuns	n.	first week of the year
kunsla	n.	2nd month of the traditional calendar
kupat	n.	stone pot used to cook soup
kupi	n.	bucket (traditionally made of hide, now also used for buckets made of plastic)
kur	n.	load
kurim	n.	ritual
kurkuʈik	n.	ant
kurt-	v. intr.	to carry (a load)
kutul	n.	bag
kwak-	v. tr.	to dip
kwaks	n.	gravy, stew
kwake	n.	pebbles
kwal-	v. tr.	to hang up
kwalt-	v. mid.	to stumble over
kwaŋkwaŋ	adj.	curly, crooked
kwaŋna	adj.	bent (of things)
kwartsi	n.	clay pot
kwas-	v. intr.	to become full, to become satiated (from eating or drinking)
kwat-	v. intr.	to boil (intr.)
kwat-	v. intr.	to wash away, to wash off
kʰa	pron.	what?
kʰadze	n.	rake
kʰaj	adj.	black
kʰaksgan	n.	husk
kʰalak	pron.	for what reason?
kʰalma	n.	kidney
kʰamdzaŋ	adj.	fine, alright
kʰamloks	n.	nausea
kʰamoʈi	pron.	something
kʰams	n.	appetite
kʰanak	pron.	how?
kʰanɖoma	n.	fairy
kʰantsuk	pron.	what kind of?
kʰaŋgul	n.	neck
kʰap-	v. tr.	to cover
kʰaps	n.	cover
kʰar	n.	fort, castle
kʰaras	n.	frost, hard snow on which one can walk
kʰarɕot	n.	lid
kʰarkjaŋ	n.	habit
kʰart-	v. intr.	to get stuck, to be trapped
kʰartɕaŋ	adv.	continuously
kʰaspa	n.	expert
kʰat-	v. intr.	to be stuck
kʰatak	n.	ceremonial scarf
kʰatɕe	n.	Muslim
kʰatɕik	pron.	someone
kʰaʈakj	adj.	bitter
kʰe	adj.	cheap
kʰej	adj.	sweet
kʰem	n.	balcony
kʰemtsi	n.	small balcony
kʰep	n.	needle (middle size)
kʰet-	v. tr.	to beat, to hit, to shoot
kʰi	n.	latrine
kʰik-	v. intr.	to stammer
kʰikoŋ	n.	bathroom
kʰilti	n.	puddle
kʰimsa	n.	dirt, dust
kʰintses	n.	neighbor
kʰipe	n.	small pieces of firewood (smaller than ɕugutsi)
kʰir ka-	v. tr.	to turn (tr.)
kʰira	n.	cucumber
kʰirkjak	n.	excrements of dogs
kʰiʈiŋ	n.	penis
kʰjak	v. dem.	here
kʰjarka	n.	glans
kʰjas	n.	itch
kʰjo-	v. tr.	to make dry
kʰjoj	adj.	dry
kʰjokspo	adj.	active
kʰjops-	v. intr.	to go numb
kʰjot-	v. tr.	to become dry
kʰjotsi	n.	spoon
kʰju	n.	dog
kʰju-	v. tr.	to make a thread by winding up wool on a stick
kʰjuk-	v. intr.	to reverberate
kʰjuk-	v. mid.	to reverberate
kʰjul-	v. tr.	to peel
kʰjut	n.	(1) sourdough for lwar before letting it rest; (2) plaster for re-coating
kʰjutsi	n.	(1) arm; (2) cubit with stretched hand (traditional length measure)
kʰjwa	n.	man
kʰobaŋ	n.	hind leg
kʰodzup	n.	thigh (of animal)
kʰoj	adj.	suitable, worth doing
kʰolak	n.	tsampa dish consisting of roasted barley flour and butter tea
kʰolɖo	n.	wheel
kʰon-	v. tr.	to finish
kʰoŋgjaks	adv.	in four days
kʰor-	v. tr.	to repay
kʰor-	v. intr.	to move in a circle
kʰorek	adv.	after, later
kʰorlo	n.	wheel
kʰot	n.	grandchild
kʰokjotɕi ~ kʰotɕi	adv.	behind
kʰral	n.	tax
kʰrempaŋ	n.	eyelid
kʰres	n.	hunger
kʰril-	v. tr.	to embrace
kʰritɕa	n.	loom
kʰrutsi	n.	(1) elbow; (2) cubit with fist (traditional length measure)
kʰu	n.	smoke
kʰujsla	n.	10th month of the traditional calendar
kʰujt-	v. tr.	to thresh
kʰuk-	v. tr.	to find
kʰum	n.	pillow
kʰum	n.	fulcrum (of a lever)
kʰunu	n.	Kinnaur
kʰunukat	n.	Kinnauri language
kʰunupa	n.	person from Kinnaur
kʰur	n.	knife
kʰurta	n.	horse (male, castrated)
kʰutɕu	n.	semen
kʰuʈup	n.	fist
kʰwa	n.	broth, juice of food
kʰwa-	v. intr.	to pluck (herbs), to cut off
kʰwak	n.	crow
kʰwame	n.	plant used to make red color
kʰwaŋɕiŋ	n.	ox collar
kʰwaŋs-	v. intr.	to go out (pl.)
kʰwarek	n.	pheasant
kʰwartum	n.	egg
gaː	n.	term of address for members of a petty chief family
gaɕʈa	n.	stairs
gakgak	n.	suffocation
gal-	v. tr.	to cross
galt-	v. intr.	to lie, to lie down
galtsʰik	n.	spine
galtʰan	n.	girdle (of traditional trousers)
gam	n.	chest, box
gamgam	n.	gap (big)
gamtsa	n.	traditional festival
gamtsi	n.	box (small)
ganɖa	n.	inflamed wound
gaŋ	n.	hill on the side of a mountain
gaŋ-	v. intr.	to swell, to rise
gaŋdʑuŋ	adj.	thoughtless
gaŋgjut	n.	mountain range
gaŋri	n.	snow mountain
gaŋsniŋ	n.	glacier
gaŋstaŋ	n.	glacier
gap-	v. tr.	to incubate, to breed, to hold in one's arms
garaʈʰal	n.	bundle of crops
garmo	n.	crossbreed between dzopo and cow (female)
garpo	n.	crossbreed between dzopo and cow (male)
gartɕam	n.	cold
gatdʑa	n.	uproar, riot
gatpa	n.	cliff, steep slope
gattok	adv.	downhill
gej	num.	eight
geliŋ	n.	double reed shawm used in ceremonies
geloŋ	n.	monk
gen	n.	spring
gentɕi	n.	first grass in spring
genti	n.	pick-axe
gerger	adj.	ponderous, clumsy
ges-	v. tr.	to accept, to take (only used if the relevant object is taken with folded hands or in a vessel)
get	num.	eight (Tibetan)
gewa	n.	funeral gathering
gi-	v. mid.	to wash one's hands / face
gi	pron.	1SG
gil	n.	fence
girmo	n.	crossbreed between garpo and cow (female)
girpo	n.	crossbreed between garpo and cow (male)
gja	num.	hundred (Tibetan)
gjaduŋ	n.	big trumpet used in ceremonies
gjak	adv.	urgent
gjak	n.	day
gjaks-	v. intr.	to agree
gjakʰap	n.	needle (small)
gjal-	v.	(1) to win; (2) to recover
gjalap	n.	rope made of leather
gjalsa	n.	Kullu
gjamo	n.	queen
gjaŋbiʂwatsi	n.	oat
gjaŋjaŋ	adj.	long (in size)
gjap	n.	back
gjapo	n.	king
gjar	n.	fear
gjar-	v. intr.	to be afraid
gjaragire	adj.	circular
gjasok	n.	saw
gjaspa	adj.	elaborate
gjatɕu	num.	eighty (Tibetan)
gjatsi	n.	newborn (female)
gjatso	n.	sea, ocean
gjatʰuk	n.	type of soup
gjok(s)pa	adj.	fast
gjotpa	n.	regret
gjuks	n.	income, gain
gjult-	v. mid.	to come off in large pieces (e.g. skin), to fall out in bunches (e.g. hair)
gjum	n.	nose
gjuma	n.	(1) guts, intestines; (2) sausage made from intestines
gjumpʰuk	n.	nose, nostril
gjundok	adv.	always
gjuŋ-	v. intr.	to cloud over
gjur-	v. tr.	to translate
gjurt-	v. intr.	to change
gjut-	v.	to need
gjuts	n.	need
go-	v. mid.	to have a party
go kuk-	v. tr.	to adopt
goɕen	n.	silk
goks	n.	cough
gokʰaps	n.	shelter for the stairs on the roof
golokmolok	n.	riot, affray
goltɕʰak	n.	chain used to close a door
gom-	v. tr.	to meditate, to think of
gomak	num.	first
gomner	n.	peon of a monastery
gomtɕen	n.	hermit
goŋ	n.	cost
goŋa	n.	collar
goŋgoŋ	adj.	heap-like
goŋma	adj.	upper, higher
goŋpo	n.	envious man
goŋtɕen	adj.	expensive
gopa	n.	leader
gormo	n.	cup (flat and wide)
gorok	n.	seat at the head of the sitting row
gort-	v. intr.	to be late
got	n.	waste, loss
gotma	n.	mare
gotsi	n.	traditional festival celebrated when the hair of one’s son is cut for the first time
gra	n.	salary
gral	n.	sitting row
grampa	n.	cheek
graŋ	n.	stone (generic)
greks	n.	ceremonial song
grelt-	v. intr.	to run
grik-	v. tr.	to put together, to connect
griks	n.	joint
grokpo	n.	river
grokt-	v. tr.	to crumble off, to scale off
groŋbu	n.	weaver's shuttle
grot-	v. intr.	to be finished, to be used up, to come to an end
grwa	n.	lungs
gu	num.	nine
gu	num.	nine (Tibetan)
guj	pron.	where?
gumtsi	n.	(1) bow; (2) traditional measure of length
gun	n.	winter
gundiksla	n.	12th month of the traditional calendar
gunɖum	n.	raisins
gunsa	n.	room used in wintertime
guptɕu	num.	ninety (Tibetan)
guram	n.	sweets
gutsuk	pron.	which?
gwa-	cop.	existential copula (pl.)
gwak-	v. mid.	to embrace
gwaktsi	n.	kind of pot
gwalba	adj.	blind
gwanu	n.	fox
gwaŋ-	v. intr.	to take place, to happen
gwaŋ	n.	snow cock
gwar-	v. tr.	to dig out with a pick-axe
ŋa	n.	double-sided ceremonial drum
ŋa	num.	five (Tibetan)
ŋaj	num.	five
ŋaj	adv.	early
ŋal	n.	plough
ŋaltsi	n.	pick-axe-like instrument to dig a field
ŋama	n.	tail
ŋamɕen	adj.	excellent, paramount
ŋams	n.	yawn
ŋams-	v. intr.	to yawn
ŋargjal	adj.	proud
ŋaro	n.	morning
ŋarodʑuŋ	n.	early in the morning
ŋas	n.	udder
ŋattɕan	adj.	strong
ŋokma	n.	mane (of horses)
ŋonɕe	n.	foresight, ability to foresee things
tɕa	n.	cow dung
tɕa-	v. tr.	to paint, to rub in (face) (tr.)
tɕa-	v. mid.	to rub in (face) (refl.)
tɕaɕi	adv.	regularly
tɕaːdar	n.	sheet
tɕaga	n.	preparation, care
tɕak-	v. tr.	to wash (clothes)
tɕakar	n.	plate used to roll out dough
tɕakdar	n.	ladle (made of iron)
tɕakdzwa	n.	bucket (made of iron)
tɕakna	adv.	daily, every day
tɕaks	n.	iron
tɕaks	n.	knitting needle
tɕakstap	n.	(1) oven; (2) dwelling-room
tɕakstrak	n.	chain made of iron
tɕaku	n.	knife
tɕakwal	n.	shovel made of iron
tɕalak	n.	stuff, things
tɕamna	adj.	whole, full
tɕamtɕam	n.	aluminum
tɕan	n.	snow leopard
tɕanɖa	n.	pocket
tɕaŋma	n.	willow
tɕaŋti	n.	drop from the ceiling
tɕap-	v. tr.	to combine, to put together
tɕapanɖa	n.	ladder
tɕapna	adj.	thin (of flat things)
tɕaptɕap	adj.	thin (of flat things)
tɕaptsi	n.	spy
tɕare	n.	bedbug
tɕarik	n.	supporting wall of terraced fields
tɕasga	n.	ginger
tɕat-	v. tr.	to tear
tɕataram	n.	sickle
tɕataramla	n.	new moon
tɕeldrik	n.	weasel
tɕeli	n.	cow urine
tɕeli	adj.	yellow
tɕentsi	n.	claw (of cows)
tɕeŋna	adj.	standing upright
tɕeŋtɕeŋ	adj.	standing upright
tɕespa	n.	dear one, beloved one
tɕet-	v. tr.	to pull, to eat (of cows)
tɕi	n.	grass
tɕik	num.	one (Tibetan)
tɕil	n.	marrow
tɕini	n.	sugar (Indo-Aryan)
tɕinol	n.	beam used in wall construction
tɕinpa	n.	liver
tɕip-	v. tr.	to suck
tɕir-	v. tr.	to sharpen
tɕirtɕir	n.	murmur
tɕispen	n.	heap of grass
tɕitwasla	n.	9th month of the traditional calendar
tɕo	n.	petty chief
tɕo-	v. tr.	to light, to kindle
tɕos-	v. mid.	to burn (intr.)
tɕok-	v. tr.	to cover (persons, animals)
tɕoks	n.	headscarf
tɕoktsi	n.	sprout (of crops)
tɕol-	v. tr.	to propose
tɕoltɕum	n.	dowry for the bride
tɕom-	v. tr.	to rob
tɕomo	n.	nun
tɕoŋa	num.	fifteen (Tibetan)
tɕoŋɖo	n.	buttocks
tɕopgjat	num.	eighteen (Tibetan)
tɕot-	v. tr.	to beg
tɕotɕo	n.	brother (2nd oldest)
tɕotpa	n.	mood, character
tɕotsi	n.	beggar
tɕu-	v. tr.	to squeeze, to wind out
tɕu	num.	ten (Tibetan)
tɕuɖuk	num.	sixteen (Tibetan)
tɕuj	num.	ten
tɕuktɕik	num.	eleven (Tibetan)
tɕuli	n.	apricot
tɕuli ŋalmo	n.	apricot (dried)
tɕuni	num.	twelve (Tibetan)
tɕunis	num.	twelve
tɕuŋi	quant.	little, less
tɕupdun	num.	seventeen (Tibetan)
tɕupdʑi	num.	fourteen (Tibetan)
tɕupgjat	num.	eighteen
tɕupi	num.	fourteen
tɕur-	v. tr.	to interrogate, to inquire, to ask repeatedly
tɕurgu	num.	nineteen (Tibetan)
tɕurgu	num.	nineteen
tɕurnis	num.	seventeen
tɕusdruk	num.	sixteen
tɕusum	num.	thirteen
tɕusum	num.	thirteen (Tibetan)
tɕutik	num.	eleven
tɕuttɕan	adj.	filling (of food)
tɕwaŋ	num.	fifteen
tɕwaŋ	n.	full moon
tɕʰa	n.	heat of a fire
tɕʰaː	n.	knowledge
tɕʰak	n.	fodder (especially prepared for animals)
tɕʰak-	v. intr.	to stop (intr.)
tɕʰaks-	v. intr.	to grow, to bear fruit, to become pregnant
tɕʰaks-	v. mid.	to grow, to bear fruit, to become pregnant
tɕʰaktsi	n.	earring for men (small)
tɕʰakwaŋ	n.	hon. hand gesture of blessing
tɕʰam	n.	devil dance
tɕʰam-	v. intr.	to dance a mask dance
tɕʰapsken	n.	kettle for tɕʰaŋ
tɕʰat-	v. intr.	to be exhausted
tɕʰats	n.	exhaustion
tɕʰatɕʰat	adj.	poor, torn
tɕʰatkja	n.	promise
tɕʰatɲa	adj.	wretched
tɕʰatpa	n.	punishment
tɕʰe-	v. tr.	to warm up (tr.)
tɕʰes-	v. mid.	to warm up
tɕʰejtuŋna	adj.	lukewarm (of food)
tɕʰejtuŋtuŋ	adj.	lukewarm (of food)
tɕʰej	adj.	warm, hot
tɕʰerpa	n.	spleen
tɕʰeʈi	n.	water (warm)
tɕʰewa	n.	mauler
tɕʰiga	n.	saddle
tɕʰigel	adv.	abroad
tɕʰil-	v. tr.	to choose
tɕʰo-	v. tr.	to dye (wool etc.)
tɕʰoj	adj.	healthy
tɕʰojboj	adj.	healthy
tɕʰok	adj.	enough
tɕʰok-	v. intr.	to be allowed to do something
tɕʰoks	n.	kind of religious ceremony
tɕʰoks	n.	direction
tɕʰol-	v. tr.	to pestle crops, to beat up and down
tɕʰolgjaŋ	n.	pestle
tɕʰolo	n.	dice
tɕʰoms-	v. intr.	to be ornamented, to be prepared in a nice way
tɕʰoŋs-	v. intr.	to jump
tɕʰoŋs-	v. mid.	to jump
tɕʰorten	n.	stupa
tɕʰos	n.	religion
tɕʰos-	v. intr.	to become healthy, to become strong
tɕʰot-	v. tr.	to offer (to gods)
tɕʰot	n.	spraying of food and drinks into the air as an offering before eating and drinking
tɕʰot-	v. intr.	hon. to eat, to drink
tɕʰotkjaŋ	n.	altar
tɕʰotme	n.	butter lamp
tɕʰotpa	n.	offering of dough
tɕʰoʈa	n.	knots of carpets and shawls
tɕʰu	n.	water
tɕʰu-	v. tr.	to fetch, to collect
tɕʰu-	v. mid.	to fetch, to collect
tɕʰuba	n.	traditional dress of men
tɕʰuk-	v. intr.	to land
tɕʰulgjaŋ	n.	mole
tɕʰumik	n.	fountain
tɕʰumpʰjar	n.	waterfall
tɕʰupɕot	n.	stones on a rosary
tɕʰuput	n.	consecrated water
tɕʰun-	v. tr.	to bind around, to tie, to knot
tɕʰuns	n.	binding wire, twig of young trees used to bind together heaps of firewood
tɕʰur-	v. tr.	to milk
tɕʰurlaps	n.	wave
tɕʰurpe	n.	dry cheese
tɕʰuskol	n.	water (boiled)
tɕʰuta	n.	riverbank
tɕʰuto	n.	beak
tɕʰutsi	n.	plaited stand of hair
tɕʰutsʰot	n.	watch
tɕʰwa	n.	funeral ceremony
dʑa	n.	tea
dʑabra	n.	foot (of cups)
dʑak	n.	fat (liquid)
dʑak	n.	urine
dʑakkju	n.	chain
dʑakpa	n.	lasso, noose
dʑal-	v. intr.	hon. to visit
dʑalta	n.	command, order
dʑalu	n.	kind of pot
dʑam	n.	hon. soup
dʑami	adj.	smooth
dʑaŋ-	v. tr.	hon. to build, to erect
dʑaŋ	n.	north
dʑaŋ-	v. intr.	to get used to something
dʑar	n.	mortar bowl
dʑar-	v. tr.	to eat up, to clean
dʑars-	v. mid.	to shave
dʑarduŋ	n.	mortar
dʑatdʑat	adj.	oval
dʑatsak	n.	tea sieve
dʑatʰaŋ	n.	black tea
dʑaw	n.	lame person
dʑawaj	adj.	lame
dʑekdaŋ	n.	hatred
dʑelsa	n.	festival
dʑert-	v. intr.	to rise
dʑi	num.	four (Tibetan)
dʑikt-	v. mid.	to collapse (of walls)
dʑili	n.	light
dʑili	adj.	bright
dʑipdʑip	adj.	blurred
dʑiptɕu	num.	forty (Tibetan)
dʑoks	n.	shape, manner
dʑokstɕan	adj.	skillful
dʑoli	n.	bag (worn on back)
dʑom-	v. tr.	hon. to cremate
dʑonta	n.	horse (for riding)
dʑordʑor	adj.	jutting (of ears)
dʑot-	v. intr.	to sit, to sit down, to stay, to remain, to live
dʑu-	v. tr.	to digest
dʑu	n.	lips
dʑu-	v. tr.	hon. to request
dʑu	n.	greeting gesture (with one hand held against the forehead)
dʑuks-	v. intr.	hon. to sit
dʑuŋ	n.	middle
dʑuŋ	adv.	straight ahead
dʑur-	v. tr.	to debranch
dʑut-	v. intr.	to be weak
dʑwalt-	v. mid.	to break off and hang down
ɲa	n.	fish
ɲa	n.	nose ring (for animals)
ɲa-	v. tr.	to borrow
ɲa	n.	gift given to the bride
ɲaɕa	n.	meat (dried)
ɲakspu	n.	pubic hair
ɲamlen	n.	experience
ɲampo	adv.	together
ɲartsi	n.	pea
ɲoŋ-	v. tr.	to experience, to suffer
ɲos-	v. intr.	to clear up (sky)
ɲugu	n.	pen, reed-pen
ɲuktsi	n.	monkey
ɲuŋ-	v. tr.	to swallow
ɲuŋskar	n.	mustard
ɲurtsi	n.	herbal plant with strong smell
ʈabar	n.	family
ʈaɕitʰaliŋ	n.	prayer flag
ʈakpo	adj.	strong, powerful
ʈakʈak	adj.	dried up (of bread), hard, arrogant
ʈaŋska	n.	number
ʈawna	adj.	deaf
ʈawo	adj.	similar
ʈel	n.	care
ʈivi	n.	TV (English)
ʈokʈoktsi	n.	elbow
ʈol-	v. tr.	to explain
ʈoŋs-	v. hon.	to die
ʈoŋʈoŋbujaŋ	n.	bumble bee
ʈopi	n.	hat (Indo-Aryan)
ʈops	n.	ear piercing
ʈulku	n.	reincarnation
ʈumtsi	n.	bud
ʈʰakluŋ	n.	anger
ʈʰampa	adj.	hard-working
ʈʰaw	n.	teapot
ʈʰi	n.	hon. seat of high lamas
ʈʰikna	adj.	sure
ʈʰikspa	n.	gall bladder
ʈʰikʂin	n.	migraine
ʈʰimkʰaŋ	n.	court
ʈʰimpon	n.	judgement
ʈʰims	n.	judgement
ʈʰolu	n.	hammer (small)
ʈʰopa	adj.	similar
ʈʰot-	v. intr.	(1) to fit well, to suit; (2) to be delivered
ʈʰul	n.	demon, specter
ʈʰultan	n.	sitting pillow, sitting mattress
ʈʰums	n.	grief
ʈʰuŋs-	v. hon.	to be born
ʈʰup-	v. tr.	to be able, to accomplish
ʈʰutɕu	n.	fodder (food rests for animals)
ɖa	n.	enemy
ɖa	n.	sound, word
ɖampak	n.	mud
ɖampakbu	n.	earth worm
ɖanɖa	adv.	equally
ɖaŋɖaŋ	adj.	full, satiated
ɖapna	adj.	big (flat things)
ɖatpa	n.	brain
ɖawa	n.	money
ɖemɖem	adj.	pondering
ɖik-	v. intr.	to be suitable, to be appropriate
ɖiks	n.	agreement
ɖik	adj.	okay, suitable
ɖilu	n.	bell used in ceremonies
ɖiŋ	adj.	middle, medium (in size)
ɖipʰuk	n.	cave for meditation
ɖiu	n.	mule
ɖiwa	n.	lamp
ɖoksa	n.	pasture land
ɖomba	n.	(1) blacksmith, goldsmith; (2) Lohar (ethno-linguistic community of Indo-Aryan origin)
ɖon	n.	non-religious festival
ɖonpo	n.	guest, customer
ɖoŋɖoŋ	adj.	deep
ɖos-	v. mid.	to discuss
ɖotɕa	n.	type of deep-fried pastry
ɖu	n.	edge, corner
ɖubak	n.	gun
ɖuɕiŋ	n.	match
ɖuk	num.	six (Tibetan)
ɖukan	n.	corner (of walls)
ɖukbotsi	n.	sixth finger
ɖuktɕu	num.	sixty (Tibetan)
ɖunɖo	n.	domestic animal
ɖup-	v. tr.	to finish, to complete
ɖwa	n.	taste
ta-	cop.	possessive copula
ta	n.	vein
tabap	n.	platform to dismount from a horse
tago	n.	door of a courtyard
tak-	v. tr.	to stick, to stab, to pierce, to support
taks	n.	pillar
tak	n.	tiger
tak	n.	omen
tak- ~ taks-	v. intr.	to smell (intr.)
taks	n.	smell
taka	adj.	sure
takar	n.	axe
takj	adj.	medium (of saltiness / spiciness)
taks	n.	gift, present
taktsi	n.	bundle, bunch
tal	pron.	3SG
taltɕak	n.	whip
tamak	n.	cigarette
tambu	n.	tent
tamŋan	n.	bad talking
tampa	n.	board for cutting food
tampo	adj.	reliable, firm
tams-	v. intr.	hon. to be born
tan-	v. tr.	to wake up (tr.)
tanpo	adv.	carefully
tant-	v. intr.	to see
tantan	adv.	definitely, surely
taŋgata	n.	offensive behavior
taŋkar	n.	threshold
tap-	v. tr.	to fold, to bend, to bring back
tapɕatapɕa	adv.	again and again
tapna	adj.	same, similar
taps	n.	slope
tar-	v. intr.	to do, to be industrious
tara	n.	fence (for animals)
tarakna	adj.	proper
tarbaŋs	n.	excrements of horses and donkeys
tarkʰa	n.	manner, way
tart-	v. intr.	(1) to be free; (2) to behave wild
tasta	n.	spatula used to turn kekir and lwar
tat-	v. tr.	to prepare, to put, to distribute
tatmo	n.	festival
tatna	adj.	small, low
tattat	adj.	small, low
teama	n.	aunt (mother's oldest sister)
teawa	n.	uncle (father's oldest brother)
tebu	n.	snake
tedzi	adj.	big, honest
tek	n.	untanned hide of a cow
tela	n.	oil
temɖel	n.	favorable circumstances, auspicious occasion
temna	adj.	still, motionless
tempa	n.	trap
temrel	n.	blessing
temtem	adj.	brimful
ten-	v. tr.	to worship, venerate
tentsi	n.	cushion
tepaŋbotsi	n.	thumb
tepna	adj.	wretched
teptep	adj.	plain, flat
tet- ~ tets-	v. intr.	to think
tets	n.	thought, thinking
tete	n.	grandfather
tibril	n.	teapot
tik-	v. tr.	to close (tr.)
tiks-	v. tr.	to close (intr.)
tiks	n.	lid
tika	n.	bindī, dot of red color worn between the eyebrows (Indo-Aryan)
tiki	num.	one
tikna	quant.	little, few (of liquid objects)
tikpa	n.	testicles
tikpa pʰon-	v. tr.	to castrate
tinan	n.	Tinan Valley
tinankat	n.	Tinan language
tinanpa	n.	person from Tinan Valley
tiŋi	adj.	blue/green
tiŋpipili	n.	green chili
tip-	v. tr.	to beat
tiptsi	n.	tip, top, peak
tiskar	n.	thirst
tispu	n.	mill
tit-	v. intr.	to irrigate
tjal kʰet-	v. tr.	to swim
tjo-	v. intr.	to weep
to-	v. tr.	to dress (with a cap) (tr.)
to-	v. mid.	to dress (with a cap) (refl.)
to-	v. tr.	to lead
to-	v. tr.	to beat a drum
