Chinese gloss	English gloss	Language	Word	Source	Page no.
儿子	son	Longjia	ʑen⁵⁵ntsɿ³³	Guizhou (1984)	
兄弟	brother	Longjia	ɬɛ³³en³³ntsɿ³³	Guizhou (1984)	
先	before, first	Caijia	dza³¹	Bo (2004)	81
免去	to leave	Longjia	mian⁵⁵	Guizhou (1984)	
兔子	rabbit	Caijia	thu²⁴	Bo (2004)	78
八	eight	Caijia	pei⁵⁵	Bo (2004)	81
八	eight	Longjia	pu³³	Guizhou (1984)	
公鸡	cock (male chicken)	Longjia (Anshun)	pan⁴²	Caiguan Gazetteer (2004)	494
六	six	Caijia	fu⁵⁵	Bo (2004)	81
六	six	Luren	fo⁵⁵	Guizhou (1984)	51
六	six	Longjia (Dafang)	so⁵⁵	Guizhou (1982)	30
六	six	Longjia	so⁵⁵	Guizhou (1984)	
兵	soldier	Longjia	piaŋ⁵⁵	Guizhou (1984)	
养	support	Caijia	tʅ³¹	Bo (2004)	80
兽角	horn	Caijia	ko⁵⁵	Bo (2004)	78
写字	to write words	Caijia (Shuicheng)	写字 xiezi	Liupanshui Gazetteer (2003)	185
冰	ice	Waxianghua (Yuanling)	luɛ¹³ka⁵⁵	Yang (1999)	
冷	cold	Caijia	ka³¹	Bo (2004)	81
冷	cold	Longjia (Dafang)	kau⁵⁵	Guizhou (1982)	26
凉（天气）	cool (weather)	Caijia	lan³¹	Bo (2004)	81
凉（水）	cold (water)	Caijia	kuo³³	Bo (2004)	81
凋	to wither	Longjia	tiau²⁴	Guizhou (1984)	
凝固	to congeal, solidify	Longjia	lie⁵⁵	Guizhou (1984)	
出	to exit	Caijia	tshei⁵⁵	Bo (2004)	80
凿子	chisel	Caijia	dzu³³	Bo (2004)	79
刀	knife	Caijia	ɕi⁵⁵	Bo (2004)	79
刀	knife	Longjia (Anshun)	ntsun⁴²	Caiguan Gazetteer (2004)	495
刀	knife	Caijia (Shuicheng)	西 xi	Liupanshui Gazetteer (2003)	185
刀子	knife	Longjia (Dafang)	a³³ʈuŋ³³	Guizhou (1982)	28
刀子	knife	Longjia	a³³ʈuŋ³³	Guizhou (1984)	
分娩	childbirth	Caijia	tu³³	Bo (2004)	80
切	to cut (vegetables)	Longjia	tshuŋ²¹	Guizhou (1984)	
切（菜）	to cut (vegetables)	Caijia	so³³	Bo (2004)	80
刚才	a moment ago	Longjia	sɛ³³	Guizhou (1984)	
别（不要）	do not (neg. imperative)	Caijia	piau²⁴	Bo (2004)	81
到	arrive	Caijia	duo³³	Bo (2004)	80
剁	chop	Caijia	tau³³	Bo (2004)	80
前	before, ahead	Luren	tsʰɛ⁵⁵	Guizhou Ethnic Gazetteer (2002)	888
前面	front side	Longjia	zuŋ⁵⁵	Guizhou (1984)	
剪刀	scissor	Longjia	a³³ta³³	Guizhou (1984)	
割	to cut, slash	Longjia (Anshun)	sa⁵⁵	Caiguan Gazetteer (2004)	494
割	to cut, slash	Longjia (Dafang)	sa⁵⁵	Guizhou (1982)	26
割	to cut, slash	Longjia	sa⁵⁵	Guizhou (1984)	
割（庄稼）	cut (crop)	Caijia	sei³³	Bo (2004)	80
劈	to split	Longjia	ɕaŋ³³	Guizhou (1984)	
加	to add	Longjia	tɕa²¹	Guizhou (1984)	
动	to move	Longjia	ʑo²¹	Guizhou (1984)	
勤快	diligent	Caijia	ga³¹	Bo (2004)	81
勺	spoon, ladle	Caijia (Shuicheng)	苏 su	Liupanshui Gazetteer (2003)	184
勺子	spoon, ladle	Caijia	gan²⁴	Bo (2004)	79
勺子	spoon, ladle	Longjia (Dafang)	lei⁵⁵kei⁵⁵	Guizhou (1982)	22
包（动词）	to wrap	Longjia (Dafang)	kɛ⁵⁵	Guizhou (1982)	30
包（包裹）	package (package)	Caijia	uŋ³³	Bo (2004)	80
包谷	maize, corn	Caijia (Shuicheng)	博谷 bogu	Liupanshui Gazetteer (2003)	184
包谷	maize, corn	Longjia	tsɿ⁵⁵	Guizhou (1984)	
包谷	maize, corn	Longjia	ʑi³³mie²¹(tsɿ⁵⁵)	Guizhou (1984)	
十	ten	Caijia	dzan³³	Bo (2004)	81
十	ten	Luren	zau⁵⁵	Guizhou (1984)	51
十	ten	Longjia	zu³³	Guizhou (1984)	
十一	eleven	Caijia	tsɿ³¹ji³³	Bo (2004)	81
十二	twelve	Caijia	dzɿ³³ȵi³¹	Bo (2004)	81
千	thousand	Caijia	tɕhien³³	Bo (2004)	81
千	thousand	Longjia	tɕe⁵⁵	Guizhou (1984)	
升	to ascend, raise	Longjia (Anshun)	tɕa⁵⁵	Caiguan Gazetteer (2004)	494
升子		Longjia	sen⁵⁵	Guizhou (1984)	
午饭	lunch	Caijia	bei³³	Bo (2004)	79
卖	to sell	Caijia	man³¹	Bo (2004)	80
卖	to sell	Longjia	mei³³	Guizhou (1984)	
南瓜	pumpkin	Caijia	ɣuŋ³¹luo³¹	Bo (2004)	78
厚	thick	Caijia	guo³³	Bo (2004)	81
去	to go	Caijia	kue³³	Bo (2004)	80
去	to go	Luren	koŋ³³	Guizhou Ethnic Gazetteer (2002)	888
去	to go	Longjia	kho⁵⁵	Guizhou (1984)	
去	to go	Longjia	ho⁵⁵	Guizhou (1984)	
去	to go	Longjia	ho²¹	Guizhou (1984)	
去玩	to go play	Waxianghua (Guzhang)	xɑ³³la³³khɤ³³	Wu & Shen (2010)	
双	pair (two, double)	Longjia	ntan³³	Guizhou (1984)	
变	to change	Caijia	bi³³	Bo (2004)	79
变	to change	Longjia	pian²⁴	Guizhou (1984)	
口袋	pocket	Longjia	naŋ⁵⁵ntsɿ³³	Guizhou (1984)	
叫	to call	Longjia (Anshun)	khau³¹	Caiguan Gazetteer (2004)	495
叫	to call	Waxianghua (Guzhang)	xoŋ³³	Wu & Shen (2010)	
叫（鸡）	to call (of chickens)	Longjia	huŋ⁵⁵	Guizhou (1984)	
右	right (side)	Caijia	tsɿ³¹	Bo (2004)	77
叶子	leaf	Longjia (Dafang)	mu³³su³³	Guizhou (1982)	28
叶子	leaf	Waxianghua (Guzhang)	sɤ⁴¹	Wu & Shen (2010)	
叶子	leaf	Waxianghua (Yuanling)	seɪ⁵³	Yang (1999)	
叶子	leaf	Longjia	mu³³su³³	Guizhou (1984)	
吃	to eat	Caijia	zu³¹	Bo (2004)	80
吃	to eat	Luren	ʑu³³	Guizhou (1984)	51
吃	to eat	Longjia (Anshun)	wa³¹	Caiguan Gazetteer (2004)	495
吃	to eat	Longjia (Dafang)	ua²¹	Guizhou (1982)	30
吃	to eat	Longjia	ua²¹	Guizhou (1984)	
吃	to eat	Longjia	ua⁵⁵	Guizhou (1984)	
吃饭	to eat rice	Caijia (Shuicheng)	育育 yuyu	Liupanshui Gazetteer (2003)	184
吃饭	to eat rice	Luren	ʑoŋ⁵⁵ʑoŋ⁴⁴	Guizhou Ethnic Gazetteer (2002)	888
吃饭	to eat rice	Waxianghua (Yuanling)	zəu¹³mõ⁵⁵	Yang (1999)	
名字	name	Caijia	mi³¹	Bo (2004)	79
后	after, behind	Caijia	ɣuo³³	Bo (2004)	81
后	after, behind	Longjia	ɣɛ²¹	Guizhou (1984)	
后边	back side	Longjia	vu²⁴tau³³	Guizhou (1984)	
吐	to spit	Longjia	tho⁵⁵	Guizhou (1984)	
吐（口水）	to spit (saliva)	Longjia	thu⁵⁵	Guizhou (1984)	
吞	to swallow	Waxianghua (Guzhang)	uai⁵⁵	Wu & Shen (2010)	
含	to hold (in mouth)	Caijia	gan³³	Bo (2004)	80
听	to listen	Caijia	thi⁵⁵	Bo (2004)	80
听	to listen	Longjia	mi⁵⁵	Guizhou (1984)	
吮吸	to suck	Waxianghua (Guzhang)	fu⁵⁵	Wu & Shen (2010)	
吹	to blow	Longjia	phu⁵⁵	Guizhou (1984)	
呕吐	to vomit	Caijia	lo³³	Bo (2004)	80
命	life	Longjia	mie⁵⁵	Guizhou (1984)	
咀	to chew	Luren	pie³³	Guizhou (1984)	51
咀	to chew	Longjia	mpiaŋ⁵⁵	Guizhou (1984)	
咬	to bite	Caijia	tɕhin³³	Bo (2004)	79
咬	to bite	Waxianghua (Guzhang)	ɳio⁴¹	Wu & Shen (2010)	
咬	to bite	Longjia	ȵe²¹	Guizhou (1984)	
咸	salty	Caijia	tsen³¹	Bo (2004)	81
哥哥	brother, elder	Caijia	tsuo³³	Bo (2004)	79
哪	which?	Caijia	lau²⁴	Bo (2004)	81
哪里	where?	Caijia	la²⁴	Bo (2004)	81
哪里	where?	Longjia	tɯ⁵⁵a³³mo⁵⁵	Guizhou (1984)	
哭	to cry, weep	Caijia	xəu³³	Bo (2004)	80
哭	to cry, weep	Caijia (Shuicheng)	吼 hou	Liupanshui Gazetteer (2003)	184
哭	to cry, weep	Longjia (Dafang)	ɬei⁵⁵	Guizhou (1982)	22
哭	to cry, weep	Waxianghua (Guzhang)	liɛ¹³	Wu & Shen (2010)	
哭	to cry, weep	Waxianghua (Yuanling)	liɛ¹³	Yang (1999)	
哭	to cry, weep	Longjia	ɬei⁵⁵	Guizhou (1984)	
唢呐	suona	Caijia	di²⁴	Bo (2004)	79
唱	to sing	Longjia (Anshun)	ja⁴²	Caiguan Gazetteer (2004)	494
啄	to peck	Longjia	tau³³	Guizhou (1984)	
喂	to feed	Caijia	die³¹, tsu³¹	Bo (2004)	80
喂	to feed	Longjia	zo⁵⁵	Guizhou (1984)	
喉咙	throat	Caijia	an³¹sɿ⁵⁵kha³³	Bo (2004)	78
喉咙	throat	Waxianghua (Guzhang)	ɣa¹³sɤŋ²⁵tiau¹³	Wu & Shen (2010)	
喉咙	throat	Waxianghua (Yuanling)	ɣa¹³tha⁵⁵	Yang (1999)	
喊	to shout, cry	Longjia	huŋ⁵⁵	Guizhou (1984)	
喜鹊	magpie	Waxianghua (Guzhang)	o⁵⁵tɕhiau⁵⁵	Wu & Shen (2010)	
喝	to drink	Caijia	an³¹	Bo (2004)	80
喝	to drink	Longjia	ʑuŋ⁵⁵	Guizhou (1984)	
嘴	mouth	Caijia	pi³¹	Bo (2004)	78
嘴	mouth	Caijia	pi³¹	Bo (2004)	78
嘴	mouth	Longjia (Anshun)	mian³³	Caiguan Gazetteer (2004)	495
嘴	mouth	Longjia (Dafang)	mpiaŋ⁵⁵	Guizhou (1982)	26
嘴唇	lips	Caijia	pi³¹puo³¹	Bo (2004)	78
嚼	to chew	Caijia	tsu³¹	Bo (2004)	80
嚼	to chew	Longjia	zɯ⁵⁵	Guizhou (1984)	
四	four	Caijia	sɿ³¹	Bo (2004)	81
四	four	Luren	sɿ⁵⁵	Guizhou (1984)	50
四	four	Longjia	sɿ⁵⁵	Guizhou (1984)	
回	return	Caijia	pei⁵⁵	Bo (2004)	80
回	to return, come back	Longjia (Dafang)	kho⁵⁵	Guizhou (1982)	30
回去	to return, go back	Waxianghua (Guzhang)	vɤŋ¹³	Wu & Shen (2010)	
回去	to return, go back	Waxianghua (Yuanling)	voŋ¹³ta¹³	Yang (1999)	
回头	to return, go back	Caijia	tien⁵⁵	Bo (2004)	80
囤子	bin (for grain)	Caijia	go³³	Bo (2004)	79
园子	garden	Longjia	zau³³	Guizhou (1984)	
圆	round	Waxianghua (Guzhang)	lɤŋ¹³	Wu & Shen (2010)	
圈（牛）	corral (for cattle)	Longjia	zau⁵⁵	Guizhou (1984)	
圈（量）	ring (classifier)	Longjia	nan²¹	Guizhou (1984)	
土	earth, soil	Longjia	tho³³	Guizhou (1984)	
土地	land	Longjia	li³³	Guizhou (1984)	
土山洞	cave (earth)	Caijia	kha³³	Bo (2004)	77
在	at, in	Longjia	tau²⁴	Guizhou (1984)	
地	ground	Longjia (Anshun)	ɬo⁵⁵	Caiguan Gazetteer (2004)	495
地	ground	Longjia (Anshun)	ɬi⁵⁵	Caiguan Gazetteer (2004)	495
地	ground	Caijia (Shuicheng)	土 tu	Liupanshui Gazetteer (2003)	184
地	ground	Longjia (Dafang)	tho³³taŋ³³	Guizhou (1982)	28
地	ground	Longjia	li³³	Guizhou (1984)	
地方	place	Caijia	luŋ³³	Bo (2004)	79
地点	place	Longjia	zɿ²⁴	Guizhou (1984)	
场	plot of land, yard	Longjia (Anshun)	khai⁵⁵	Caiguan Gazetteer (2004)	496
坏	bad	Caijia	dɯ³³	Bo (2004)	81
坐	to sit	Caijia	ku³¹	Bo (2004)	80
坐	to sit	Caijia (Shuicheng)	谷 gu	Liupanshui Gazetteer (2003)	184
坐	to sit	Longjia	kau⁵⁵	Guizhou (1984)	
坟	grave	Caijia	kan³¹	Bo (2004)	79
坟	grave	Luren	tau⁵⁴	Guizhou Ethnic Gazetteer (2002)	888
坟	grave	Longjia	tɕuŋ³³	Guizhou (1984)	
坟墓	grave	Longjia (Dafang)	tɕuŋ³³	Guizhou (1982)	29
坡	hill slope	Longjia (Anshun)	tsen⁴²	Caiguan Gazetteer (2004)	494
埋	to bury	Longjia	mo⁵⁵	Guizhou (1984)	
城	city	Longjia (Dafang)	ntaŋ³³	Guizhou (1982)	22
堵	to plug up	Longjia	tu⁵⁵	Guizhou (1984)	
墙	wall	Caijia	fu³³	Bo (2004)	79
墙	wall	Longjia (Dafang)	nʈe⁵⁵tɕhaŋ³³	Guizhou (1982)	29
声音	sound	Caijia	tshɿ³³pəu³³	Bo (2004)	79
壳	bottle, vase	Longjia	khau³³	Guizhou (1984)	
壶	bottle, vase	Longjia	thuŋ⁵⁵	Guizhou (1984)	
外婆	grandmother, maternal	Longjia	mɛ³³ʑa⁵⁵	Guizhou (1984)	
外面	outside	Waxianghua (Guzhang)	təɯ⁴¹mai	Wu & Shen (2010)	
多	many	Caijia	tie³³	Bo (2004)	81
多	many	Longjia	ti⁵⁵	Guizhou (1984)	
夜	night	Caijia	sa⁵⁵	Bo (2004)	78
夜	night	Longjia	ɕaŋ³³	Guizhou (1984)	
夜	night	Longjia	khɛ⁵⁵mia³³	Guizhou (1984)	
夜里	at night	Longjia	khɛ⁵⁵mia³³	Guizhou (1984)	
够	enough	Caijia	lo³³	Bo (2004)	81
够	enough	Longjia	lau⁵⁵	Guizhou (1984)	
大	big	Caijia	la³¹	Bo (2004)	81
大	big	Longjia	la⁵⁵	Guizhou (1984)	
大家	everyone	Waxianghua (Guzhang)	lu³³sɪ³³	Wu & Shen (2010)	
大襟		Longjia	kui⁵⁵	Guizhou (1984)	
大雁	goose, wild	Waxianghua (Guzhang)	vu¹³ɳiẽ¹³tsa	Wu & Shen (2010)	
天	sky	Caijia	khen³³	Bo (2004)	77
天	sky	Caijia (Shuicheng)	坎 kan	Liupanshui Gazetteer (2003)	184
天	sky	Longjia (Dafang)	khɛ⁵⁵	Guizhou (1982)	26
天气	weather	Longjia	a³³ȵi²⁴	Guizhou (1984)	
太阳	sun	Longjia (Anshun)	wu⁴²	Caiguan Gazetteer (2004)	494
太阳	sun	Caijia	en³³soŋ³¹	Bo (2004)	77
太阳	sun	Longjia (Dafang)	khɛ⁵⁵ʈe⁵⁵	Guizhou (1982)	28
太阳	sun	Caijia (Shuicheng)	英松 yingsong	Liupanshui Gazetteer (2003)	184
太阳穴	temple	Caijia	en³³ȵi³³	Bo (2004)	78
头	head	Caijia	to³³to⁵⁵	Bo (2004)	78
头	head	Longjia (Anshun)	tau⁵⁵	Caiguan Gazetteer (2004)	494
头	head	Caijia (Shuicheng)	多多 duoduo	Liupanshui Gazetteer (2003)	184
头	head	Longjia	a³³tau⁵⁵pu³³	Guizhou (1984)	
头发	hair	Caijia	pei⁵⁵	Bo (2004)	78
女	female	Caijia (Shuicheng)	女 nv	Liupanshui Gazetteer (2003)	184
女	female	Longjia	pi²⁴	Guizhou (1984)	
女人	woman, female	Longjia (Dafang)	a⁵⁵phi²⁴	Guizhou (1982)	29
女儿	daughter	Caijia	ȵuŋ²⁴	Bo (2004)	79
女婿	son-in-law	Longjia	a⁵⁵ʑe³³	Guizhou (1984)	
奶汁	milk	Caijia	mi⁵⁵	Bo (2004)	79
好	good	Caijia	khua³¹	Bo (2004)	81
好人	good person	Caijia (Shuicheng)	夸窝搓 kuawocuo	Liupanshui Gazetteer (2003)	185
妹妹	sister, younger	Caijia	ȵuŋ³³he³³	Bo (2004)	79
妹妹	younger sister	Longjia (Dafang)	nʈu²¹mie⁵⁵	Guizhou (1982)	29
妻	wife	Longjia	pu²⁴	Guizhou (1984)	
妻子	wife	Caijia	suo⁵⁵puo³³	Bo (2004)	79
妻弟	wife's younger brother; brother-in-law	Longjia	ɬɛ³³mi⁵⁵	Guizhou (1984)	
姐	elder sister	Longjia (Dafang)	a⁵⁵tɕi⁵⁵	Guizhou (1982)	22
姐	elder sister	Longjia	tɕi⁵⁵	Guizhou (1984)	
姐姐	elder sister	Luren	ʑi³³	Guizhou Ethnic Gazetteer (2002)	888
姐姐	sister, elder	Caijia	tɕi⁵⁵	Bo (2004)	79
姑娘	young woman, virgin	Longjia	nuŋ²¹	Guizhou (1984)	
姓	surname	Caijia	sa³¹	Bo (2004)	79
姜	ginger	Caijia	tɕin³³	Bo (2004)	78
姜	ginger	Longjia	tɕhen³³	Guizhou (1984)	
嫂嫂	sister-in-law	Longjia	tshau⁵⁵	Guizhou (1984)	
字	word	Caijia	khɯ⁵⁵	Bo (2004)	79
字、书	word, book	Longjia	so⁵⁵	Guizhou (1984)	
孙子	grandson	Caijia	sɿ³³	Bo (2004)	79
孝子	yeast	Luren	ɕu⁴⁵san³³	Guizhou Ethnic Gazetteer (2002)	888
学	learn	Caijia	ko⁵⁵	Bo (2004)	80
孵	hatch	Caijia	bəu³¹	Bo (2004)	79
完	finish	Caijia	ha⁵⁵	Bo (2004)	80
完了	finished	Longjia	ʈhɯ³³	Guizhou (1984)	
害羞	shy	Caijia	dien³³	Bo (2004)	80
家	home	Caijia	hai³³	Bo (2004)	79
家	home	Longjia	uɛ²¹	Guizhou (1984)	
宽	wide	Caijia	khua³³	Bo (2004)	81
宽	wide	Longjia	kuŋ³³	Guizhou (1984)	
密	close	Caijia	guo³³	Bo (2004)	81
寻找	to search	Caijia	guo³³	Bo (2004)	80
寻找	to search	Longjia	zaŋ⁵⁵	Guizhou (1984)	
射	to shoot (arrow)	Longjia	pu⁵⁵	Guizhou (1984)	
射击	to shoot (arrow)	Caijia	dza³³	Bo (2004)	80
小	small	Caijia	ɕie³¹	Bo (2004)	81
小	small	Waxianghua (Guzhang)	ɳiaŋ¹³	Wu & Shen (2010)	
小	small	Waxianghua (Yuanling)	ȵia¹³	Yang (1999)	
小偷	thief	Longjia	ta⁵⁵ȵi²¹	Guizhou (1984)	
小娃	small doll	Caijia (Shuicheng)	贤安 xian'an	Liupanshui Gazetteer (2003)	184
小孩	child	Caijia	ŋa⁵⁵	Bo (2004)	79
小孩	child	Longjia (Anshun)	dai⁴²	Caiguan Gazetteer (2004)	494
小的	small (something that is)	Longjia	en³³ntsɿ³³	Guizhou (1984)	
小石头	stone (small)	Waxianghua (Guzhang)	tshɤ⁵⁵so⁵⁵	Wu & Shen (2010)	
小石头	stone (small)	Waxianghua (Yuanling)	ȵia¹³ŋa⁵⁵laɔ⁵³ku²²	Yang (1999)	
小米	millet	Caijia	suai³³tsɿ²⁴	Bo (2004)	78
小脚	bound feet	Longjia (Anshun)	ɕi⁵⁵ii³¹pu⁴²	Caiguan Gazetteer (2004)	496
小锅	small cooking pot	Longjia	ma⁵⁵phuŋ⁵⁵ntsɿ³³	Guizhou (1984)	
小麦	wheat	Caijia	ɕi²²tsuŋ³¹	Bo (2004)	78
少	few	Caijia	so⁵⁵	Bo (2004)	81
少	few	Caijia (Shuicheng)	唆 suo	Liupanshui Gazetteer (2003)	184
少	few	Longjia	so⁵⁵	Guizhou (1984)	
尖	sharp	Caijia	ȵan³³	Bo (2004)	81
尖	sharp	Longjia	tɕuŋ⁵⁵	Guizhou (1984)	
尝	to taste	Longjia (Dafang)	saŋ²¹	Guizhou (1982)	30
尝	to taste	Longjia	saŋ²¹	Guizhou (1984)	
尝（味道）	to taste	Waxianghua (Guzhang)	sɪ¹³	Wu & Shen (2010)	
尿	urine	Caijia	ȵo³¹	Bo (2004)	79
尿	urine	Longjia (Anshun)	sa⁵⁵	Caiguan Gazetteer (2004)	495
尿	urine	Longjia	a³³sɿ⁵⁵	Guizhou (1984)	
屎	excrement	Caijia	i³³	Bo (2004)	79
屎	excrement	Longjia (Dafang)	sɛ³³	Guizhou (1982)	28
山	mountain	Caijia	ti³¹	Bo (2004)	77
山	mountain	Caijia (Shuicheng)	盗 dao	Liupanshui Gazetteer (2003)	185
山羊	goat	Caijia	tshɿ⁵⁵	Bo (2004)	78
山羊	goat	Longjia	tshɿ⁵⁵	Guizhou (1984)	
山羊	goat	Longjia	tshi³³	Guizhou (1984)	
山羊	goat	Longjia	tshɿ³³	Guizhou (1984)	
岁	age	Caijia	nen³¹	Bo (2004)	77
左	left (side)	Caijia	pa³³	Bo (2004)	77
布	cloth	Caijia	pu³¹	Bo (2004)	79
布	cloth	Luren	mi²¹mi²¹	Guizhou (1984)	52
