No.	English gloss	Rawati (Raji)	Khamci (Raute)	Dura	Chepang	Baraamu	Thami	Newar
80	cloud	diiho	dewaah, dewaʔ	-	mus	amu	kʰasu	supãe
81	smoke	-	dhukaāh, dhuma	ma-kʰu	hmeʔ-ku	isku	asku	kũ
82	fire	bhåoy / mhai	mhe:h, muhèi	mi	hmeʔ	mui	me	mi
83	ash	dhuli	kuhli, duhri, dhulo	ma-pʰu	hmeʔ-mut	mau	tarba	nəu
84	burn	lung (vi.)	-	bani-	jʰəm-na	jo-go	jyou-sa	cyatə, cyaye
85	path	yong	yaun-khyaa-nu, yung	lāutʰyo	lyam	uŋma	ulam	lã
86	mountain	biʈʈaa; dhaɽe (peak)	manam (hill); malam, kheɖ'	lgẽwarapʰa [sic]	pa.har	pahaḍ	cyuri (top)	pahar
87	red	ʈulhariyaa	tui, sha	cʰāblī	du-ʔo	pʰəya	keret	hyãũ
88	green	hariyo / hariya	hwaa (dark green - gagina), kamaiyo, k'm'iu	-	pli-ʔo	həriyo (< Nep.)	-	wãũ
89	yellow	pero, piilè	byaalo, hwi-byelo, p'rhho	kẽlo	yar-ʔo	keuwo	melu	mʰasu
90	white	dhaurya	dhyaulyaa, dhyaurya, dhauɽia, ghouraya	bintʰā	bʰam-ʔo	gyabo	ubo	tuyu:
91	black	tuknahaa	tokaanye, namaro	keplo	gal-ʔo	ciliŋ	kiji	haku
92	night	gaire	gadhir	yāku	ya. ʔdiŋ	rat (< Nep.)	ṭa	canʰəe, ca
93	hot	gamma [< IA]	chunu, ghohnohw	-	dʰah-ʔo	gyodum	adum	kwa:
94	cold	ʈhanɖa [< IA]	jungha, dzung	cʰiũ	nik-ʔo	ciso (< Nep.)	ajik	kʰwaũ
95	full	bharata	jimai (filled), bwohb	ʈʰyāmmay	bliŋ-ʔo	kipoŋ	ir-ir	ja:
96	new	nong	niu, nhu; n'u	kācʰā	rəw-ʔo	kaui	naka	nʰu:
97	good	nhikah	namar (person), lagalo	cʰyāu- (v), cʰāblī (also ‘red’)	pe-ʔo	kisen	apraca	bʰĩ:
98	round	baʈulo	-	burluŋ	luŋ-o, gore	golo (< Nep.)	kurliŋ	gwəlla:
99	dry	kaarau we (vi.)	karaao	-	sot-ʔo	kyoksi	areŋ, gaŋdu	gə̃gu
100	name	naam	miĩhga	rāmī	məyŋ	umin	name	nã
