No.	Gloss	Dura
85	ant(s)	mārtʰo
86	baby chicken	o-busi
87	bedbug	kope
88	bird	go
89	bullock, steer	gʰyoglā
90	cat	ŋyāki
91	cattle (also ‘animals’)	kʰeto
92	chicken	oka ~ woka
93	cow	me, gosā
94	crab	kʰi
95	dog	nākyu ~ nakyu ~ nakī, koka
96	eagle, mythical bird	ohiwā
97	fish	ɖisyā, nāh ~ nāhõ ~ nāhũ ~ nāi
98	flea(s)	gumī, tācyũ
99	fly	cyāpʰri
100	goat	myo, ro, wanbʰeu
101	hen	o-potʰī, kwā-cā, kyo
102	horse	bāsī, gʰoɖā (Indo-Aryan)
103	insect, worm, bug	kānī, kāwī
104	jackal, fox	mākā
105	louse	syā
106	mole	rimī
107	monkey	lākʰu
108	pig	moe
109	pig, swine, hog	tilu
110	rabbit	kʰarakaʈā
111	rat, mouse	kāmu
112	rooster	omi
113	sheep, ram	cʰaki, daki
114	snake	kāuī
115	spider	maŋgar
116	tiger	kirā
117	water buffalo	māi, maikʰa
118	arrive, reach	ɖri-, ɖā-
119	ask for (request)	bi-
120	bark (dog)	hāyo- ~ hoyo-
121	bathe	nākʰlu
122	beat₁	dʰo-
123	beat₂	ŋā-
124	become	lā-
125	blow	pʰrayā- ~ bāu
126	boil (water) (vi)	lhu-
127	born, be	pi-
128	bring	rā-
129	burn (vt)	kʰu-, ju-, ʈu-
130	call	hālu-
131	carry	hāre-
132	chew	ŋyā u-
133	climb	tāke-
134	comb hair	hālī-
135	cook, boil (vi)	mi-
136	cook (vt)	rāmu-
137	cry	kra-
138	cut	kade-, kʰāu (grass)
139	descend	hu-
140	dig	dā-
141	drive away	hā̃-ɖi-, hāmo-
142	do	u-
143	earn	pʰũ-
144	fall down	sari- mha-, mhu-
145	fight	bʰyū mha-, mhu-
146	fill	gu-
147	forget	syo-mle-
148	fry	rāũ ~ rāĩ
149	give birth	pʰĩ-
150	graze	hrāhu-, rāso-
151	grind	rāya-
152	have sex	lo-
153	healthy, be	ji-
154	hide (vi)	ŋuhu-, ŋabyu-
155	hide (vt)	hāŋapu-
156	hold	hu- kʰri-
157	hungry, be / get	kyu kʰri-
158	hurt	bāyā-
159	insert	lhu-
160	itch	cedā-
161	join (unite)	gri-
162	laugh	hā-, ʈaw-, hõiro u-
163	learn	sālu-
164	lick	lhay-, nyā u-
165	live	su-
166	lose something	dāmā-, hāmo-
167	make	u-
168	meet	pẽ ~ pay-
169	milk	pi- ko-u
170	mix (vt)	hā-gi-, ko-u
171	obey	mu-
172	open (vt)	jāpu-, pʰay-
173	plant	hā-, dāe-
174	play	kāre-
175	plough	gyõ-, jyu-
176	push	pāko u-
177	quarrel	māki u-
178	rain	ti gu-
179	receive	tĩ-
180	rest	lo u-
181	return	hātā- lay-di-
182	rise, stand up	cʰyā lay-di-
183	ripe, be	mhiyu-
184	rub	rā-
185	rot	hro-u
186	sated, be	ko-
187	scold	kyā u-
188	scratch	kawā-, kyā-
189	search for, look for	lhu-
190	sew, stitch	tāru-, pāru, supu-
191	sharpen	mhyā-
192	shout	hārake-, hā-
193	sing	kro- ~ ko-
194	sink, set (sun)	hubi-
195	sit, stay	hunu-
196	speak (language)	pe-
197	spill	ɖʰālde-
198	stand (be upright)	syā-
199	steal	yo-
200	stuck, get	kʰe-
201	swallow	hāmlo-
202	sweep	syā-, pʰyā
203	take₁	hĩ-
204	take₂	lo-
205	take out	kādʰe-, ca-
206	teach	kʰārā-
207	throw	pākway-
208	tie up	kāpo-
209	tire	pyo hro-
210	twist, plait	kʰri- ~ kʰi-
211	uproot	ā-
212	wash oneself	nākʰlu-
213	wash (vt)	hu-
214	work	gyā u-
215	write	hāpri-
216	zero	liŋa
217	one	nām, kyau, di-, yāwo (Indo-Aryan)
218	two	jʰim, duwo, duɖa (Nagila, both Indo-Aryan)
219	three	sām, tiyā (Indo-Aryan)
220	four	pim, jʰārā (Indo-Aryan)
221	five	kum, mācā, pāc (Indo-Aryan)
222	six	cyām (Indo-Aryan)
223	seven	syām (Indo-Aryan)
224	eight	him
225	nine	him
226	ten	tʰim
227	twenty	jʰim-tʰī
228	thirty	sām-tʰī
229	hundred	tʰiŋganā, kātʰerāgo
230	thousand	jena
231	black	keplo
232	white	bintʰā
233	yellow	kẽlo
234	red	cʰāblī (also means ‘good’)
235	axe, hatchet	bʰyācī
236	bag	nāne
237	balance, scale	pārā ~ pāra
238	bamboo	hāri
239	blanket	pākʰī
240	clothes, cloth	go
241	comb (n)	bʰrācā
242	cooking pot	goyā
243	cotton plant, raw cotton	pui
244	cow shed	poro, bʰro, bʰroʃ (Nagila 2008)
245	fog, mist, haze	nasku
246	hail	nolo
247	hand mill for grinding corn	rātā, redo
248	hearth	kotā
249	house	kyu
250	irrigated field	hāmro, timro
251	large bamboo or cane mat	lhu
252	(long-handled) mattock	dayti
253	money	gumi
254	morning	ŋimā (also ‘early’)
255	necklace (of beads)	kāci
256	pasture for cattle	gusā-rāso
257	pipe made from bamboo for blowing on fire	tutu
258	place	rātʰu
259	ring	gʰyāpā
260	saw	kaʈʰawti
261	sieve	kicā
262	small cup without handle	belā
263	song	kāre
264	storage basket with legs, placed on floor	ɖumi
265	teacher	āmro
266	thatch (for roofing)	rāgi
267	thread, yarn	hri
268	Topi, traditional Nepalese hat	kule, cʰi
269	village	niso, piŋ
270	walking stick	bārā
271	weapon	gʰāuniso
272	well, watering place	ti kʰo
273	wide, flat basket for carrying vegetables	kũdī
274	wood (especially ‘firewood’	sĩ
275	yoke	kāhrayo
276	backbone, spine	rādʰu ~  rāgʰu, mobu
277	blood	hāyu
278	breasts (female)	nāmlo
279	brow ridge, supraorbital ridge	micʰā
280	buttock (also ‘hip’)	maisī
281	chest (also ‘heart’)	māu
282	chin	kākū
283	corpse (dead body)	sikʰāu
284	ear(s)	rānu, muni
285	eye	mi
286	faeces, excrement, shit	yu
287	finger	kur-ne amlī (lit. finger of hand)
288	foot (also ‘leg’)	sepe
289	forehead	hāũ
290	hair	kra
291	hand	kuru
292	head	padʰe, muni
293	heart (also ‘chest’)	māu
294	hip (also ‘buttock’)	maisī
295	leg (also ‘foot’)	sepe
296	liver	ciŋa
297	mouth	māsi, sũ
298	nail	se
299	neck	põ, kʰalī
300	nose	nu
301	saliva, spittle	mākyā
302	sexual organ (male & female)	rāũcu (DSS 2003: only ‘penis’)
303	shoulder	kādʰā (Indo-Aryan)
304	stomach, belly	kyū
305	sweat (n) (also ‘alcohol’)	cʰāpā
306	tear(s)	milkī
307	thigh	lepu, maysī (also ‘hip, buttock’)
308	tongue	li
309	tooth	sa ~ se
310	urine	cʰyālā
311	vomit (n)	māhā
312	alive, be	su-u
313	belch	hāucā- ~ hāuyā
314	defecate	yu klā- (lit. ‘release shit’)
315	fart (v)	bʰe klā- (lit. ‘release fart’)
316	healthy, be	ji
317	urinate	cʰyāla klā- (lit. ‘release urine’)
318	vomit (v)	māha ro- (lit. ‘vomit come’)
