No.	Gloss	Monpa (Tawang Monastery)	Monpa (Zimithang)	Monpa (Changprong)	Monpa (Kalaktang)	Monpa (Balemu)	Monpa (Tomko)	Monpa (Namsu)	Monpa (Tembang)	Monpa (Dirang Dum)	Monpa (Sangti)	Monpa (Dirang)
32	night	tʃĭn	tʃen	ʃen	binaŋ	binaŋ	pinaŋ	buinaŋ	binaŋ	buinaŋ	buinaŋ	buinaŋ
33	paddy rice	nuh̥	nuh̥	nuh̥	barakhu	ɾa	ɾa	ɾa	ɾa	ɾa	ɾa	ɾa
34	uncooked rice	d̪ep	d̪ep	d̪ep	khoŋma	baɾakhuh̥	khoŋbaɾa	khu	khu	khu	khu	khu
35	cooked rice	to	toptʃe	to	to	to	toptʃe	totʃaŋ	toʃaŋ	ʔăʋa; totʃaŋ	totʃaŋ	totʃaŋ
36	wheat	ko	nas	ko	boŋ	boŋ	mo	raŋboŋ	boŋ	boŋ	kompu	boŋ
37	corn	ʔotʃum	oʃum	ʔoʃum	aʃam; phinaŋ	phinaŋ	phinaŋ	phinaŋ	phinaŋ	phintaŋ	phinaŋ	phintaŋ
38	potato	kheh̥	khe	khe	pasagom	pasagoŋ	tʃokt̪aŋ	dʒoktaŋ	tʃokt̪aŋ	dʒogtaŋ	dʒoktaŋ	dʒogtaŋ
39	cauliflower	kophiru	–	–	–	kobi	mumlomnaŋ	phulkobi	–	–	kobi	kobi
40	cabbage	petʃahru	bandagobi	–	–; mumt̪oklom	mumt̪oklom	ʃiŋʃawa	bandagobi	–	–	momloŋnaŋ	kobi
41	eggplant	bando	bandu	bandu	bantho	bantho	pant̪ho	bantho	bantho	bandu	bantho	banthu
42	peanut	badam	badam	badam	badam	badam	badam	badam	badam	badam	badam	badam
43	tree	ʃjaŋ	ʃæŋ	ʃjaŋ	ʃiŋ	ʃiŋ	ʃiŋ	ʃiŋ	ʃiŋ	ʃiŋ	ʃiŋ	ʃiŋ
44	branch	ăla	ăla	ăla	alak	alejak	aljak	da	da	ɾa	da	da
45	leaf	palăp	palăp	palăp	ʃiŋʃaʋa	ʃawa	ʃawa	ʃawa	ʃawa	ʃiŋʃaʋa	ʃawa	ʃawa
46	thorn	tʃu	tʃu	tʃu	zu	zu	zu	zu	zu	zu	zu	zu
47	root	hrăwa	rawaʔ	rawaʔ	tʃa	tʃa	tʃa	ɾu	ɾu	ra	ra	ra
48	bamboo	soh̥	ɾih	rui	liʃiŋ	liʃiŋ	ʃi	ʃi	ʃi	ɕi	ʃi	ʃi
49	fruit	ʃĭŋtok	ʃiŋdo	ʃiŋdo	se	se	pema	goŋ	zas	se	zas	goŋ
50	jack fruit				khand̪ălase							
51	coconut (ripe)	naɾijal	naɾijal	naɾijal	narkolăse	naɾikol	naɾikol	naɾijal	naɾijal	–	naɾkol	naɾijal
52	banana	lamrep	lamrep	larmep	laisi	leisi	lesi	leisi	leisi	leisi	lesi	lesi
53	mango	am	am	am; amredoŋpo		am	am	am	am	am	am	am
54	flower	mĭnto	mĭnto	mĭnto	momnaŋ	momnaŋ	momnaŋ	momnaŋ	momnaŋ	momnaʋ	momnaŋ	momnaŋ
55	seed	ʒu	ʒu	ʒu	li	li	li	li	ʃe	li	li	li
56	sugarcane	khŏmin	ʃeŋlakhomin	selikomin	khŏmin	khumin	khŏmin	khomd̪aɾaŋ	khomdiraŋ	khomd̪aɾaŋ	khomtheɾaŋ	khomtheɾaŋ
57	betelnut	–	–	gugæ; gui	goi	goi	goi	goi	tamul	goi	ʃiŋkoptaŋ	goi
58	lime (for betelnut)	tʃhun; tʃun	tʃun		tʃhun; tʃun	tʃhun; tʃun	tʃun; thuli	tʃun	tʃhun; tʃun	tʃhun; tʃun	tʃun	tʃhui; tʃun
59	liquor	băŋtʃaŋ	tʃaŋ	băŋtʃaŋ	ju	băŋtʃaŋ	băŋtʃaŋ	ju	ju	băŋtʃaŋ	ju	ju
60	milk	ʔoma	oma	ʔoma	nu; numːa	numa	numa	nu	nu	nu	nu	nu
61	oil	num	nuŋ	num	si	si	si	si	num	si	si	si
62	meat	ʃja	ʃja	ʃaʔ	ɕa	ʃa	ʃa	ʃa	ʃa	ʃja	ŋa	ʃa
63	salt	tʃa	tʃa	tʃaʔ	iɲtʃha	iŋtʃa	iɲtʃha	intʃa	intʃa	iɲtʃha	iŋtʃa	iŋtʃa
64	onion	tʃoŋ	tʃoŋ	tʃoŋ	tʃoŋ	tʃoŋ	tʃoŋ	tʃoŋ	tʃoŋ	tʃoŋ	tʃoŋ	tʃoŋ
65	garlic	tʃhĕt	tʃotʃu	tʃhĕt	lam	lam	lam	lam	lam	lam	lam	lam
66	red pepper	sol	sola	sola	solu	sulu	sulu	solu	sulu	sulu	sulu	solu
67	elephant	lampotʃhe	lamptʃa	lamptʃa	mimilaŋputʃhe	meme	lamputʃhe	satʃila	setʃila	satʃila	satʃila	satʃila
68	tiger	tʃĕn	t̪a	teh	khaila	semtʃen	semtʃen	buʃu	buat̪a	buʃu	buat̪a	bu
69	bear	wam	wam	wam	ʔomɕa	omʃa	omʃa	omʃa	omʃa	omʃa	omʃa	omʃa
70	deer	tʃho	kaʃa	tʃho	gaɕa	gaʃa	kaʃa	gaʃa	gaʃa	gaʃja	gaʃa	gaʃa
71	monkey	pra	pra	pra	zala	zala	zalamu	zala	zala	zala	zala	zala
72	rabbit	hălah̥	–	rekoŋ	jos	seʃa	–	regoŋ	kaɾgos	–	semtʃen	gɾoŋtaŋ
73	snake	muri	muri	muri	buʃila	buʃila	putʃhla	butʃila	butʃila	buʃila	buʃila	buʃila
74	crocodile	tʃhugzin	tʃukʃeŋ	tʃhugzin	ɾidon	–	–	ɾidon	ɾidon	ɾidon	ɾidon	tʃusen
75	house lizard (gecko)	–	kotʃaloma	sãs	duŋduŋma	duŋduŋma	–	–	aiptʃaŋ	–	abitʃaŋ	abitʃaŋ
76	turtle	rube	rube	ruipæ	gatʃa	ɾiba	–	katʃu	katʃu	–	d̪uɾi	d̪uɾi
77	frog	paip	paip	paip	paipu	paiphu	pepu	beŋkut̪a	kjakpa	kjakpa	beŋkut̪a	beŋkuɾta
78	dog	khi	khi	khi	khu	khu	khu	khu	khu	khu	khu	khu
79	cat	ʒim	ʒim	ʒim	d̪aniŋ; ɲimbu	ɲimbu	nimu	nambu	nambu	namby	nambu	nambu
80	cow	bama	pa	bah̥	wadamo	wa	wa	wa	wa	wa	wa	wa
81	buffalo	duip	bruŋ	mahæ	bruŋ	bruŋ	bruŋ	bruŋ	bruŋ	meɲtʃa	bruŋ	bruŋ
82	horn (of buffalo)	h̥ruwa	h̥ruwa	ɾuba	waroŋ	waɾuŋ	waɾuŋ	waroŋ	waɾuŋ	waroŋ	waɾuŋ	ʋaɾoŋ
83	tail	megon	mejoŋ	mæŋgo	ɕampi	ʃampi	ʃampi	ʃamphi	ʃamphi	ɕampi	ʃampi	ʃamphi
84	goat	ra	ra	ra	raba	rawa	rawa	rawa	rawa	raba	rawa	rawa
85	pig	pha	pha	pha	phakpa	phakpa	phakpa	phakpa	phakpa	phakpa	phakpa	phakpa
86	rat	ʒupho	sut̪oka	dʒu	pŭtʃurba	psakpa	tʃhu	tʃhu	tʃhu	tʃhu	tʃhu	tʃhu
87	chicken	khama	kha	kha	gowa	guwa	goga	goga	goga	goga	goga	goga
88	egg	khalum	khalum	khalum	gotham	kotham	gotham	goitham	goitham	goitham	goitham	goitham
89	fish	ɲa	ɲa	ɲja	ŋa	ŋa	ŋa	ŋa	ŋa	ŋa	ŋa	ŋa
90	duck	geliŋta	gelendi	gelendi	gelenti	gelendi	gelendi	gelendi	gelendi	hãs	gelendi	gelendi
91	bird	ʃop	ʃja	za	kha	kha	kha	kha	kho	kha	kha	kha
92	insect	gon	gon	gon	bu	bu	bu	bu	bu	bu	bu	bunaka
93	cockroach	–	zulu	zulu	zulu	zulu	zulu	zulu	zulu	zuɾu	sakpa	zulu
94	bee	tʃiŋʃor	siŋsur	siŋsur	muzuma	suŋsuruŋ	nizumba; siŋsur	mizuŋba	mizumba	nizumba	nuzumba	nizumba
95	fly	praŋ	praŋ	praŋ	joŋbu	dʒama	zamba	zamba	zamba	zamba	zamba	zamba
96	spider	haŋpalam	haŋplaŋ	hampalam	ɾoŋʃuŋbu	khoŋsama	abigoŋsu	atəroŋba	atəroŋba	buŋpu	băɾoŋba	broŋbu
97	ant	h̥rok	h̥ropu	h̥rokpu	khaŋdʒila	khaŋdʒila	khaŋdʒila	khaŋdʒila	khaŋdʒila	khaŋtʃila	khaŋtʃila	khaŋtʃila
98	mosquito	–	pheli	phelu	troŋtʃum	troŋtʃum	toŋʃuŋ	kroŋtʃuŋ	kroŋtʃuŋ	kuɾoŋtʃuŋbu	zamba	kuɾoŋtʃuŋbu
99	head	got	laŋ	kæktuŋ	ɕaɾam	ʃjaɾaŋ	ʃaɾaŋ	ʃaɾaŋ	ʃaɾaŋ	ʃjaɾaŋ	ʃaɾaŋ	ʃjaɾaŋ
100	face	bah̥	bah̥	bah̥	doŋpa	doŋpa	ba	doŋpa	doŋpa	doŋpa	doŋpa	doŋpa
101	neck	ɲo	ɲo	ɲeu	ŋam	ŋaŋ	ŋaŋ	ŋaŋ	ŋaŋ	ŋaŋ	ŋaŋ	ŋaŋ
102	hair	khra	khra	khra	tʃham	tʃam	tʃam	tʃham	tʃham	tʃham	tʃham	tʃham
103	eye	meloŋ	minoŋ	meloŋ	miŋ	miŋ	miŋ	miŋ	miŋ	miŋ	miŋ	miŋ
104	nose	nah̥	nah̥	nah̥	nahum	nakhuŋ	naku	naguŋ	naguŋ	nak	nawu	nawuŋ
105	ear	nelăp	nelăp	nelăp	na	na	na	negaŋ	negaŋ	negaŋ	nejagaŋ	negaŋ
106	cheek	d̪uŋpa	toŋpa	d̪oŋpa	khurkhaŋ	guɾghaŋ	toŋpa	khurkhaŋ	khurkhaŋ	d̪uŋpa	pus	d̪oŋpa
107	chin	gumdu	gamdi	gamdi	gamdi	gamdi	gamtʃi	gamdi	gamdi	gamthi	gamti	gamthi
108	mouth	kha	kha	kha	noaŋ	nowaŋ	noaŋ	nowaŋ	nowaŋ	noaŋ	nowaŋ	nowaŋ
109	tongue	leh̥	leh̥	leh̥	le	le	le	le	le	le	le	leh̥
110	tooth	wah̥	wah̥	wah̥	ɕa	ʃa	ʃa	ʃa	ʃa	ɕja	ɕa	ʃah̩
111	elbow	gɾimoŋ	gɾumoŋ	gɾumoŋ	găzaŋkhlogpa	klikpa	gaɾaŋkili	gaɾaŋkili	gaɾaŋkili	gaɾaŋkili	tʃiŋkhaŋ	gaɾaŋkili
112	hand	lah̥	lah̥	lah̥	găzaŋ	gaɾaŋ	gaɾaŋ	gaɾaŋ	gaɾaŋ	gaɾaŋ	gaɾaŋ	gaɾaŋ
113	palm	lalatiaŋ	laten	laten	găzaŋpatʃarma	gaɾaŋpar	gaɾaŋpar	gaɾaŋpar	gaɾaŋpar	gaɾaŋpar	gaɾaŋpar	gaɾaŋpar
114	finger	lap	lapu	lap	găzaŋbruma	gaɾaŋbruma	gaɾaŋbruma	brama	gaɾagatuŋ	gaɾaŋbruma	gaɾaŋbruma	gaɾaŋbruma
115	fingernail	zimpoŋ	zimpoŋ	zimpoŋ	găzaŋtʃiŋna	gaɾaŋtʃiŋnaŋ	tʃinaŋ	gaɾaŋtʃiŋnaŋ	gaɾaŋtʃiŋnaŋ	tʃinaŋ	tʃinaŋ	tʃinaŋ
116	knee	kholokpa	kholokpa	kholokpa	gumlaktoŋ	kholokpa	kloktʃi	gumziŋ	gumziŋ	kolokpa	kolokpa	gumziŋ
117	foot	lemintiŋma	letoŋ	lemin	bhi	bhi	biɾiŋbu	bih̥	bhi	bhi	bih̥	bifaɾa
118	bone	ɾoʃba	ɾoska	reipa	khaŋ	khaŋ	khaŋ	khaŋ	khaŋ	khaŋ	khaŋ	khaŋ
119	fat	tʃhi	tʃhi	tʃhi	jan; si	si	si	si	si	si	si	si
120	skin	pep	phe	pep	moŋnaŋ	moŋnaŋ	moŋnaŋ	moŋnaŋ	moŋnam	moŋnaŋ	moŋnaŋ	moŋnaŋ
121	blood	khra	khra	khra	ji	ji	dʒi	dʒi	dʒi	dʒi	dʒi	dʒi
122	sweat	muiwa	ŋuiba	ŋuiba	ɕŭpt̪aŋ	ɕipt̪aŋ	ʃupt̪aŋ	ʃupt̪aŋ	ʃupt̪aŋ	ɕŭpt̪aŋ	ʃupt̪aŋ	ʃupt̪aŋ
123	belly	kepa	kepa	kepa	pholoŋ	putʃi	putʃi	putʃi	putʃi	putʃi	putʃi	putʃi
124	heart (organ)	niŋga	niŋ	niŋ	thiŋlom	sem	sem	sem	thiŋlom	thimluŋ	thimluŋ	timnuŋ
125	back	geptiŋ	geptiŋ	geptiŋ	tʃhiŋkhaŋ	dʒap	dʒap	getʃik	ʔə̆tʃəbo; getʃik	tʃhiŋkhaŋ	getʃi	tʃhiŋkhaŋ
126	body	luipo	luspu	luipo	luspu	luspu	luspu	luspu	ʔoso; luspu	luspu	luspu	luspu
127	person	miʔ	miʔ	miʔ	soŋo	soŋo	tʃoŋga	soŋa	–; soŋa	–	soŋ	soŋa
128	man	mih̥	ʃokp	mih̥	phjoksa	soŋo	tʃoŋga	soŋa	bŭd̪ŭn; soŋa	zoŋa; t̪hurta	soŋa	ʃam
129	woman	ămah	burmin	muip	mijoktʃa	ɲizoka	tʃhimi	niza	ămah; ɲidʒa	ŋiza	ŋiza	ŋiza
130	father	ăpha	apa	apa	apa	apa	apa	apa	apa	apa	apa	apa; atʃhi
131	mother	ămah̥	ama	ama	ama	ama	ama	ama	ama	ama	ama	ama
132	husband	makpo	makpo	makpo	phoibu	phuibu	juŋpa	juŋpa	juŋpa	juŋpa	phjama	phaiapa
133	wife	băksə̆r	băksə̆r	băksə̆r	nĭzi; phăjama	phăjama	nĭzi	phejama	phaiama	nĭzi	ŋizi	phaiama
134	son	bŭza	bŭza	zokpu	za	za	sa	za	za	za	za	za
135	daughter	burmin	burmin	zomu	zamĭn	zamĭn	zamĭn	zamĭn	zamĭn	zamĭn	zamĭn	zamĭn
136	elder brother (gen)	atʃh	atʃh	teintʃoatʃi	ata; au	ata	au	au	au	au	awu	ʔaja
137	elder sister (gen)	ʔop	au	teintʃoobu	ana	ana	ana	ana	ana	ana	ana	ana
138	younger brother (gen)	ʃokpu	ʔoh	prisozokpu	boɲiŋ	buɲiŋ	boniŋ	boɲiŋ	buɲiŋ	boɲi	boɲiŋ	boɲiŋ
139	younger sister (gen)	ʃomu	ʔow	prisozomu	zi	naɲiŋ	zi	naɲiŋ	naɲiŋ	zi	zi	naɲiŋ
140	friend (male)	puna	khomdʒa	puna	dʒaɾo	ɾoko	ɾoko	ɾok	ɾok	ɾok	ɾok	ɾok
141	name	meŋ	meŋ	meŋ	min	miŋ	miŋ	miŋ	miŋ	min	miŋ	miŋ
142	village	y	jyh̥	jyh̥	duŋ	duŋ	duŋ	duŋ	duŋ	duŋ	duŋ	duŋ
143	house	khim	khem	khem	phaji	phai	phei	phei	phei	phe	phai	phei
144	door	koh̥	koh̥	koh̥	kotaŋ	kotaŋ	kotaŋ	kotaŋ	kotaŋ	kotaŋ	kotaŋ	kotaŋ
145	window	kotʃuŋ	kotʃuŋ	kotʃuŋ	kutʃuŋ	kotʃyŋ	kotʃuŋ	kotʃuŋ	kotʃuŋ	kotʃuŋ	kotʃuŋ	kotʃuŋ
146	roof	thosa	phan	phaŋ	phaibŭŋnaŋ	phaibŭŋnaŋ	phethuŋ	pheithuŋ	pheithuŋ	tʃoi	phethuŋ	pheithuŋ
147	wall of house	tʃikpa	tʃar	lok; sakpa	phaiɾed̪aŋ	ɾed̪aŋ	tʃikpa	jamlok	jamlok	tʃikpa	tʃikpa	pheilok; tʃikpa
148	pillow	ŋai	ŋas	ŋai	ŋas	ŋas	ŋas	ŋas	ŋas	ŋas	ŋas	ŋas
149	blanket	thaŋa	tantʃam	thaŋa	phaŋa	thaŋa	thaŋa	thaŋa	tʃutuk	thaŋa	thaŋa	thaŋa
150	ring (on finger)	seldŭp	lapɲonum	sonup	tʃhaid̪um	tʃoiduŋ	tʃodum	tʃoiduŋ	tʃoiduŋ	tʃodum	tʃoiduŋ	tʃoiduŋ
151	clothing	penaka	pih	genmape	jentʃamkhamuŋ	khamuŋ	khamu	khau; khou	khau; khou	khau	khamtʃudaŋ	khamtʃudaŋ
152	cloth	pije	pih	pe	khamuŋ	khamuŋ	khamu	khau	khou	khau	khau	khau
153	medicine	man	man	man	man	man	man	man	man	man	man	man
154	paper	ʃuk	ʃugu	ʃugu	ʃugu	ʃugu	ʃugu	ʃugu	ʃugu	ʃugu	ʃugu	ʃugu
155	needle	khap	kham	khap	kham	kham	kham	kham	kham	kham	kham	kham
156	thread	kutpa	kutpa	kutpa	kutpaŋ	kutpaŋ	kutpa	kutpa	kutpa	kŭpa	kutpa	kutpa
157	broom	tʃertam	tʃaktam	tʃertam	braŋphaktʃaŋ; ʃertʃaŋ	maibaktʃam	ʃet̪am	tʃantʃaɾan	tʃantʃaɾan	tʃantʃaɾan	tʃantʃaɾan	tʃantʃaɾan
158	spoon (for eating)	klem	plem	klem	lem	lem	lem	lem	lem	lem	lem	lem
159	knife (to cut meat)	tʃutʃuŋ	tʃutʃuŋ	kiotʃuŋ	tʃhoŋdaza	tʃhoŋ	tʃowaŋ	tʃowaŋ	tʃowaŋ	tʃowaŋza	tʃowaŋza	baɾi; tʃoŋza
160	hammer	toŋ	toŋ	toŋ	peɾilakt̪oŋ	laktom	martul	toŋ	hambaɾ	thoŋ	khatoŋ	thoŋ
161	axe	tewan	tewan	tewan	beŋɾa	bijaŋɾa	bijaŋɾa	beŋɾa	beŋɾa	bijaŋɾa	bijaŋɾa	beŋɾa
162	bow	li	li	li	li	li	li	li	li	li	li	li
163	arrow	mla	mla	mla	tʃaŋzerma	diminzu	dimin	dimin	dimin	lidimi	dimin	dimin
164	spear	duŋ	–	thuŋ	khabar	khabaɾa	phar	dʒoŋ	dʒoŋ	tʃhumi	tiŋkaŋ	khabar
165	fire	meh̥	me	me	mi	mi	mi	mi	mi	mi	mi	mi
166	ashes	bla; d̪huo	bla	bla	thulu	thulu	thuli	khari	khari	thuli	thuli	thuli
167	smoke	mebun	memoŋ	miwan	mugu	mugu	muhu	mugi	mugi	mui	mugi	mugi
168	candle	la	mumbati	mumbati	mumbati	mumbati	mumbati	mumbati	mumbati	mumbati	mumbati	mumbati
169	boat	naw	per	kho; dru	naw	naw	naw	–	–	naw	dʒaɲtʃi	dʒatʃi
170	road	lemnoŋ	ɾhaŋtan	lamdʒin	lam	gaɾilam	gaɾilam	gaɾilam	lam	lam	gaɾilam	gaɾilam
171	path	ʃaŋnaŋ	ɾhan	raŋdaŋ	lam	lam	lam	lam	lam	lam	lam	lam
172	to go	geid̪u	kiakt̪imo	geigosu	d̪intʃam	d̪inla	d̪ilan	d̪ilo	d̪ilo	d̪i	d̪ilo	d̪i
173	to come	ʔoŋdu	ʔoŋniba	hoŋgosu	ŭntʃham	unla	ʔuhan	ukhen	ukhen	ŭɾu	ŭɾu	untʃu; ŭɾu
174	to stand	laŋzugu	laŋni	laŋgosu	thintʃhoŋtʃham	thindʒok	thiŋman	thiŋkhən	thiŋkhən	thiŋkhu	thiŋkhu	theŋtʃoi
175	to sit	ʃidu	zugza	sitgosu	laŋtʃhontʃham	laŋo	tʃholan	tʃokhən	laŋtsukhən	laŋtʃe	laŋtʃoi	laŋtʃoi
176	to rest	ŋeitʃotʃo	ŋeitʃotʃo	ɲetʃogosu	ʃoŋɾaŋtʃham	ʃoŋlaka	ʃoŋlalan	ʃoŋlakhan	ʃoŋlakhan	ɾintʃhoi	ipʃu	ʃoŋlai
177	to walk	deidu	kjapt̪i	geigosu	d̪aŋtʃham	d̪aŋla	thaŋman	dikhən	daŋkhən	d̪aŋba	d̪amku	d̪aŋkhu
178	to fly	hurdu	pir	hurgosu	phentʃham	phenla	tʃirpan	pirkhən	pirkhən	psilomu	psiʃo	ʃintʃu
179	to enter	deilaŋgedu	naŋga	neŋageigosu	luptʃhaŋ	nupʔunla	korkid̪lan	nupkhən	nupkhən	phainaŋgaʔuɾu	naŋad̪i	naŋga
180	to kick	letoŋ	letoŋ	lækimipigosu	bitiŋphitʃham	bitiŋpinla	bist̪int̪erpan	bitiŋpækhən	terkhən	bitiŋpewo	pitiŋ	bitiŋpewo
181	to swim	kei	kei	keibogosu	tʃaiantʃham	tʃajanla	ganpan	tʃei	ɲepkhən	ɾigaɲjewo	ɾigaŋjapʃo	ɾiai
182	to see	t̪eso	t̪erni	tegosu	kottʃham	goɾla	gotpan	gotkhən	gotkhən	gotpo	gotʃu	gotʃu
183	to hear	ɲanu	ɲanini	ɲangosu	nad̪oktʃham	nad̪okla	nahadokpan	akhən	nakhən	negaŋkathawo	naʃu	naʃu
184	to wait	brănu	titu	purongosu	nomtʃhomtʃham	nuŋkala	nagannuŋman	noŋkhən	noŋtʃukhən	dʒaŋnaŋ	noŋkhu	noŋkhu
185	to cry	ŋusu	ŋurni	ŋuigosu	gittʃham	gibla	gepan	gepkan	gepkhən	gijoana	gepkan	gepʃu
186	to cook	thĕgo	tʃhokteni	thæk gosu	thagtʃham	thakla	soŋman	tokhrən	thaʔkhən	thakpo	thakhu	thakhu
187	to boil (water)	klago	kladu	klago; klakgosu	ɾitʃhabuantʃam	loŋla	ɾitso	ɾitsokhən	tʃakhən	ɾitsothakpo	tʃasu	lakla
188	to eat	sasuh̥	sərni	toptʃidʒaigosu	zamtʃham	dʒanla	zalaŋ	dʒakhən	dʒakhən	zana	t̪otʃaŋ	zei
189	to drink	thoŋo	thoŋmo	thoŋgosu	dʒamtʃham	dʒamla	dʒaman	dʒamkhən	dʒamkhən	dʒamʃu	dʒamʃu	dʒamʃu
190	to sing	ɲoɾo	ɲorduni	dʒu; ɲorgosu	ŋanzamtʃham	ɲoɾla	ɲirpan	ɲurkhən	ɲurkhən	ŋaŋɲirpo	jurtʃu	ɲurtʃu
191	to bite	tʃigu	ŋom	tʃikrasu	ŋamtʃham	ŋamla	ŋaman	dʒamkhən	ŋamkhen	ŋamkowa	ŋamʃu	ŋamʃu
192	to laugh	geso	geid̪u	gegosu	ŋartʃham	ŋarla	ŋarban	ŋaren	ŋarkhen	ŋarbo	ŋarʃu	ŋarʃu
193	to speak	siatu	ɲekt̪ini	ʃiatgosu	ektʃham	jakla	jakpan	ʔinma; jekhən	jekhən; jerkhen	lojakpo	jakːan	jakla
194	to tell	ɲego	ʃətur	ʃiatɲekgosu	jekpega	jakpo	jaksaspan	d̪ygma; ukhən	jerkhen	jakpo	tʃoskan	jaku
195	to know	kano	khanini	kangosu	sentʃham	selo	seksaspan	brekhen	seikhen	sena	gumʃikan	haguntʃu; tʃenla
