Gloss	Mey of Shergaon	Mey of Rupa	Sartang of Jergaon	Sartang of Rahung	Khispi	Duhumbi	Bugun	Comment
flood		kʰo raaba						
fuel			hìŋ rìkʰèn					
firewood, half-burned		ba smu						
ground, soil			ʧápʰlù					
heat			àʧík					
hill		lu	lǔ					
ice							saprə	
jungle		ʤaŋse	àsát	asɛ̀ɛ́			ʤabum	
lake		kʰo kʰankʰa		ʧòó			kʰo lyɛp	
lightening		nimi va tappa	nàmblà kɛ̀kɛ̀n	nimi ve taʔbɔʔ	namtaʔbu	bruʔ	ha klam	
lunar eclipse								
march?								
moon, month		namblu	námblù	nambrǔ	at namba	namba	habiə	
moon, full		ʧa saŋku						15th of the month
mountain				riwu	ligoŋ	ʃaʔ	hum	
mud			kʰʧũ̌		kʰat ʃam	kʰat ʃʰam	ɲa ʃɛk	
night, darkness		pʰuŋsaŋ	àʧʰì	àʧǐ	næmi	nambooŋ	habio	
pass								
peak		lu kumu						
plain		hi	hũ̌	ihĩ̌			lyɛp	
pond								
rain	ʧuuma	nimi	nʧʰù	ʧuʧuba	namu	namu	hapiə	
rainbow		pʰaŋ kʰla		pʰaŋ rǔŋ	tʰuŋliŋ	tʰoliŋ	hray ya maŋ	
ridge								
river			kʰǒ		kʰuma	maŋ kʰo	kʰo ɾəŋ	
river, big		kʰo dok						
riverbank		kʰo roŋ						
sand				kvɔ̌	beʧa	besa	ɲəfali	
sandy								
sandy soil		mkɔ						
sea						ʧumkʰuki		
shell								
sky		nimi	nměy	nimə̌y	namtuŋ	namduŋ	hakuŋ ʧaw	
slope		lɔk		lɔk			hum ɾəŋ	
small weeds		ʤaŋ						
smell, odour								
smoke	ba kə̀í	ba kʰi	bá kʰì		bukʰu	bukʰu	boay kaw	
snow		nii	nìyə̌	niyí			hayun	
soil		sɔ						
solar eclipse								
sound								
spring		sosi		ku ʃɛʔ bɔʔ			kʰagam	
star		zik	nìnì d.zə̀k	ciŋ zə̀í	karma	karma	tsa dyɔŋ	karma < Tibetan
stone		liŋ	lǔŋ	ɹǐŋ	luŋ	luŋ	lbaw	Probably related to widespread Tibeto-Burman #-luŋ, e.g. Dirang luŋ, Lepcha lɔŋ, Rawang lúŋ, Limbu luŋ etc.
storm		buyuk						
stream		kʰo gdu						
stump								
sun		nini	nìnì	nimǐ	nami	nami	hnay	
sunbeam			nìnì lɛ̀	nimi la				
sunlight		niʧik						
sunrise		nini satpa	nìnì sɛ̀kɛ̀n					
sunset		nini gomba	nìnì yɔ̀kɛ̀n					
thatch								
thunder		same	n.sə̀n n.ʧʰù		namtuŋ limde	dirteʔ		
valley		gtɔʔ		h̬ə̌			kɔrən	
water	kʰoo	kʰo	kʰǒ	kʰyǒ	kʰau	kʰu	kʰo	
water vapour		lɔŋpo						
water, stagnant		kʰoo gɔmsi						
water, xx		kʰo ʤamʧu						
waterfall			kʰsɔ̌	kʰʃòó			kaswɔŋ	
wave		kʰo yappa						
wind		nsom	n.sə̀n	ʧə̌m	namʃuŋ	namʃuŋ	hasam	
winter		tʰon					ha kən ʃow	
road		lumu	lmù		huma	huma		
footpath		zduŋ lumu			huma	huma		‘monkey road’
big bridge		toʤaŋ						
suspension bridge								
footbridge		tẽ	tẽ̀					
centre of the road		lumu ʧuŋ						
side of the road		lumu asik						
uphill		kanʤuŋ						
lowland								
aluminium		hayaŋ						
brass		rɔ					mray	
bronze		zɔŋ					ltɔ̀ɔ́	
gold		sĩ	sìŋ		ser	ser	tsan	
iron		sẽ					ʃigə	
silver		ɲiŋ			ŋui	ŋui	nman	
bamboo		ma	mɛ̀	mɛ̀ɛ́	mey	mey	mway	
bark				tsiŋ sku			hǐŋ ku	
branch		hiŋ apʰoŋ	àfàŋ	apǎŋ	alak	alaʔ	hǐŋ tǒŋ	
bud		mintu apɔ						
bush				ʤùúŋ			sěŋ	
cane		ki		ʧìɪ́			ɾay	
creeper, vine				ta kə̀í			ma bitɔŋ	
flower		mintu	hìŋ àrèn	min tùú	minto	mentoʔ	buŋa	
grass		ʤuŋ	kɛ̀dɔ̀ŋ	ʤii			sɛŋ	
fruit		əwa	àyùŋ, àʋɛ̀		uʃu	uʃu	woy	
leaf		alap	àlɛ́ʔ	tsiŋ arǎp	ulap	ulaʔ	ɾap	Widespread in regional Tibeto-Burman languages, e.g. Tawang Monpa palap, Lepcha lɔp, Jingpho làp, Rawang ʃəláp. Probably also related are the Tibeto-Burman roots with no final, such as Mikir lò. Also in regional isolates such as Miju lap, Meyor alap.
nut			mùkù					
pip		aram						
root			àhĩ̀	tsiŋ ihĩ̌	ley	rawaʔ	hǐŋ ruŋ	
pip/stone		aram dapa						
seed				alìí	li	li		
skin			skùk					
thorn		bzaw	bzɔ̀	bzoo	pʰeʤok	pʰizoʔ	hǐŋ mgyaw	
tree	hiŋ tʰuŋ	hiŋ tiŋ	hìŋ	hǐŋ	hiŋ	ʃiŋ	hǐŋ	
trunk								
wood		hiŋ						
horn	kʰèŋ	kʰeŋ	ʧèíŋ	kʰèŋ	kʰeŋ	kʰʸaŋ	əriɔŋ	
hoof	làdrák	ladro	ladraw				lɔʃɛn	
tail	áɲà	aɲa	anɛ̀ɛ́	ànɛ́	nuʸ	nuʸ	inyoi	
hump	wùp [?]						paduŋ mabəp	
tusk	nɛ́	ɲɛ						
udder	yùŋ							
fur	ámìn	amin	pui	pì			aman	
feather	ámìn		amiŋ	àmíŋ				
wing	npàŋ	ləpaŋ	mpâŋ					
animal		simʧan					ʧabəmbə maraw	
domestic animal		nor					hɔ̃bə maraw	
horse		stu	tù	ʃtǔ			stuə	
stallion		stu apʰu		sepǔ				
mare		stu umu						
mule		gre						
ass, donkey		boŋbi		boŋbə̀ɯ́			bɔmbaw	
cow		spu	ɦù	kmǔ [?]	ʃama	ʃoy	sbuə	
bull		suɔ	ɦù áfù	sùɔ́			suwə puə	
calf			ɦù ádù	hududu			suwə duə	
mithun		smu	sùmù	sùúm			syɛmwa	
mithun calf			sùmù àdù	sum adu				
buffalo		zge		zèé	bruŋ	bʰuŋ	ʃʤu	
yak		zzi	sígʤí	tsəkʤi				
yak, female				yak bri				< Tibetan
pig		swak	sùwák	sùwáʔ	ʃaba	ʃiabaʔ	ʋow	
boar		swak apʰu	sùwák áfù	swak aphu				
sow		swak’mu	sùwák ámù	swak amuŋ				
piglet			sùwák ánì	swak ani				
sheep		ska		skɛ̌			sʤɔ̀ɔ́	
goat		zẽ	sʤẽ̀y	zèĩ́	sala	ʃera	sfi	
billy-goat		zẽ apʰu						
nanny-goat		zẽ’mu						
dog		btʰa	phthɛ̀	tʰɛ̀ɛ́	watʰi	watʰi	ʨay	
cat		ɲambi	námbì	nambə̌	ɲaŋbu	yaŋmu	niam	
hen		bʧamu	ʧɛ̀ɛ̀mɔ́	ʧɛmǔ	wakʰi	huki	key mwa	
cock		bʧapʰɔ	ʧɛ̀	bsetǔ			key puə	
drake		gelendi apʰu						
duck		gelendi amu		uhɔ̃̌	aŋso	gilendi	asɔ̀ɔ́	
barking deer		ski		sikǐ			ʧʧay	
bat				ʧampòó			havyap	
bear		stuŋ	tǔŋ	ʃtù(g)úŋ	satʰom	ʃiyatʰum	stəŋ	
deer		zik		zəi	ʤaʃiki	ʤaʃiki		
elephant		stoŋ	sù sàntòŋ	su santoŋ	saʧila	lampuʧʰe	ɲatoŋ	
flying squirrel				liŋ ʧʧǔ			ʧʧiəp	
fox				ʨʨoo			ʧalua	
leopard				gùntáʔ			ɲafloŋ	
lion		sɛŋgɛ		pʰǔŋ gɔ̌				
monkey		zduŋ	dǔŋ	tugun	?	ʃedom	stuŋ	
musk deer		sambaw					ʧʧay maŋ	
pangolin		san ʤokstu					stəm	
porcupine				ʃuk vɔ̌				
rat		stop	tə̌	ʃtə	samtu	samtu	tʰuŋ	
rhinoceros							sèí	
sambar deer		zan		zǎn			szɔ̃̌	
squirrel		stop ʧaŋka					ʧʧaŋ	
tiger		pʰuŋ	pʰǔŋ	pʰǔŋ	pʰuyam	lapʧa	mʨuə	
wild cat		saŋgutu		saŋdǔ			ʤabum mlyaŋ	
wild dog								
bird		hu	hǔ	hu	hʷa	hʷa	fùá	
crow				hɔ’oo			amoy	
sparrow		bʧlõ		ʤam tɛrɛ̀ɛ́			fùá hɔ̃́	
peacock		mawza						? <
hornbill				hu kě			pne gtuŋ	
vulture				hu gɔ̌t			kʧam kiyi	
kite				ʤakě			kʧam	
