No.	Gloss	Lhokpu	Dhimal	Toto	Comments
203	smell	m̥é ‘odour’	nhamli ‘to smell [vi]’, nhumli ‘to smell [vt]’	nu- ‘to smell [vt]’	
204	know	so- ‘know how to, be able to’, yet- ‘know, be able to, understand’	nalli ‘to know somebody, recognise’, gili ‘know, find out, understand’, doli ‘to be able’	–	
205	say	to ~ toʔ ‘quote’	doʔli	jaŋ- ‘to say, tell’	
206	ask	hit-	hiʔli	–	
207	dream	maŋ-	səpəna tiŋli	maŋbü-	
208	weep	kar-	khar- ‘to cry’	kai-	
209	laugh	tsah-	leŋli ‘laugh, smile’	leŋ-	
210	request, beg	reːk-	rheːli ‘to ask for, request’	–	
211	must	goh- [< Tib. dgos]	goi- [(?) < Tib. dgos]	-ne	loanwords
212	stand	tseŋ-, japtso(h)- ‘to stand with arms crossed on back’	jaɁli	jâr- ‘to stand, stand up’	
213	sit	dzoɁ- ~ dzoŋ-	yumli ~ yuŋli	yuŋ-	
214	live	waŋ-	whaŋli ‘to go in, enter’	wâ- ‘to insert, put’	
215	sleep	vi(h)-	jimli	jiŋ-	
216	wake up	l̥óːk- ‘to get up’	lhoːli ‘to get up, wake up [vi]’	lo- ‘to get up, emerge’	
217	ascend	ʈan-	–	–	accidental gap
218	descend	yuç- ~ yuh- ‘to descend’, lõɁ- ~ loŋ- ‘to fall down’	khuɁli ‘get down, descend’, loŋli ‘to fall down’	ü- ‘to come down, descend’	
219	come	beɁ- ~ bey- ‘to come (only if not visible, only level or up, not down)’, ya- ‘to come (only if visible)’	loli ‘to come, arrive, return’	le- ~ lei- ‘to come here, come down’, waŋ- ‘to come up, come from far’	
220	go (away)	te- ‘to go’, kat- ‘go out/away’	puli ‘to go, leave, set out’, haneli ‘to go, leave’, khaɁli ‘to escape, flee, subside, ease up ’	ha- ~ har-	
221	send, move	ri- ‘to send’	rhili ‘to move, transport’	–	
222	fly	líŋ- ~ l̥íŋ-	uraili [< IA]	–	loanword in Dhimal
223	run	juk-, l̥óŋˀ- ~ lṍ̥ Ɂ- ‘to run away, flee, get lost’, liːm- ‘to get lost’	dimli ‘to hurry, walk quickly’	–	
224	emerge	ton- ‘to go out, leave’ [< Dz. <ḥthon> thön]	oleli ‘to emerge, come out’, laŋli ‘to leave, go ahead’, hareli ‘to lose, fail’	lo- ‘to get up, emerge’	loanword in Lhokpu
225	be born	ce-	jeŋli ‘to happen, be ashamed, be born’	–	
226	die	si-	sili	si-	
227	be old	kanka ‘old (of people)’, dzapa ‘old (of things)’, dzaː	waraŋ ‘old man’, beraŋ ‘old woman’	–	
228	be drunk	m̥áː- ‘to be drunk’	mhali ‘to be intoxicated’ (gora mhaka ‘drunk’)	–	
229	be ill	duk-, ret- ‘to hurt’	muili ‘to be sick (of animals’, birami [< IA], desan ‘sick person’	–	
230	have diarrhoea	leː-	teːli ‘to plaster, smear with a mixture of dung, water and mud’	–	
231	be good	el-	elli	–	
232	be bad	aː-	aˈkheɁli ‘to be dirty, nasty, bad, vulgar’ [kheɁli = ‘to stick to, to catch on something’]	–	
233	be big	dik- ‘be big’, boŋceŋ ‘big’, rin̥ka ‘long (humans and things)’	theli ‘be big’, barka ‘big’, jhauka ‘big, large’	öidaŋ ‘long’, tɛ́bɔ ‘big’	
234	be small	neka ‘small (of things)’, minka ‘small (of animals)’	atuili, thiːli, mhuili	–	
235	be sweet	di(ː)-	diːli	the- ‘to taste sweet’	
236	be bitter	kip-, ker-	khaːli ‘be bitter’	–	
237	be sour	rat-	daɁli	–	
238	be cold	cuŋ-, keŋ-	cuŋli, irli, hirhirli	coŋköi ‘to be cold, be wet’	
239	be hot	op-	dhaŋli, boʔboʔli ‘to be warm and friendly’	–	
240	be ripe	–	miŋli ‘to be ripe, be cooked, be grey (of hairs)’	me- (but only with furuncles)	accidental gap
241	be new	–	nãwa [< IA]	–	loanword in Dhimal
242	eat	tsa-	cali	ca-	
243	drink	tuŋ-	amli ‘to drink, smoke, chew’	aŋ-	
244	give	pi-	pili	pi-	
245	make	pa-	pali	pa- ‘to fuck’	
246	tie	–	raːli ‘to tie up, bind’, jhiŋli ‘to tie up or together’, cuɁli ‘to tie in a knot’	–	accidental gap
247	lick	–	deʔli ‘to lick, eat a small amount, taste’	–	accidental gap
248	bite	tsoh-, wok- ‘to bite off’	ciːli ‘to bite, cause harm (supernatural)’	maŋpuü- ‘to bite (human actor)’, dâ-	
249	scratch	wak-	rhaili, khaːli, thalli ‘to itch’	yâ-	
250	grind	–	mhaili, boːli	–	accidental gap
251	wash	du- ‘to wash (in general)’ [< IA], lḁ́- ‘to wash (face)’, zak- ‘to wash (head)’, cak- ‘to clean’	dhuli ‘to wash (face)’ [(?) < IA], jhaːli ‘to wash, wet’	dhu- [(?) < IA]	
252	dig	ók-	toli, okhoili ‘to dig up (roots)’	dai-	
253	bury	liːptek ‘traditional cylindrical stone sepulchre’	liɁli	tiŋ-	
254	throw	doç ‘to throw from below, by swinging’	doili ‘to rock, swing, hang [vt]’	–	
255	pour	do(h)- ‘to pour water’	dholi ‘to pour a drink’	–	
256	blow	mũç- ~ mut-	phoɁli, mhoɁli	–	
257	sew	–	joli	cɛŋ-	accidental gap
258	weave	yem tir- ‘to weave on the loom’	thirli	ti-	
259	sell	–	piɁli	–	accidental gap
260	put, place	lat-, pík-, tek-, n̥án-	daɁli ‘to spread out, lay out’, taɁli ‘to put, set down, save, keep’, whaɁli ‘to put, to insert’, laɁli ‘to quit, leave’	–	
261	burn (vt.)	–	oɁpali, oŋli ‘to burn, char, cook on coals’	–	accidental gap, cf. ‘sweat’
262	burn (vi.)	–	oʔli	–	accidental gap, cf. ‘be hot’
263	cut	(puhsam) tok- ‘to cut hair’	poːli ‘to cut, snip, sever’, palli ‘to cut down, chop down’, dholi ‘to cut (e.g. umbilical cord)’, selli ‘to chop wood’, cuɁli ‘to cut, pierce’, ceːli ‘to cut (e.g. grass)’	–	
264	hunt	sa sat- ‘to hunt (lit. to kill game)’	sikar ghali ‘to hunt (lit. to play hunt)’	–	
265	kill	sat-	seʔli	sâ-	
