No.	Form	Language	Gloss (1)	Gloss (2)
N92	*kriəŋ	Proto-Monic	Eugenia tree, general term for E. spp.	Eugenia tree: Eugenia cumini, Druce
N92.B	*kri̱aŋ	Proto-Nyah Kur	Eugenia tree: Eugenia cumini, Druce	
N92.A	*kri̱ə̯ŋ	Proto-Mon	Eugenia tree, general term for E. spp.	
N93	*g[]jaaŋ	Proto-Monic	wood-oil tree: Dipterocarpus turbinatus, Gaertner f.	wood-oil tree: Dipterocarpus alatus, Roxb. (identified by Smitinand, 1980:126)
N93.B	*khəja̤aŋ	Proto-Nyah Kur	wood-oil tree: Dipterocarpus alatus, Roxb. (identified by Smitinand, 1980:126)	
N93.A	*həja̤i̯ɲ	Proto-Mon	wood-oil tree: Dipterocarpus turbinatus, Gaertner f.	
N94	*mit	Proto-Monic	turmeric: Curcuma domestica, Valeton	turmeric: Curcuma domestica, Valeton
N94.B	*mɯ̤t	Proto-Nyah Kur	turmeric: Curcuma domestica, Valeton	
N94.A	*mi̤t	Proto-Mon	turmeric: Curcuma domestica, Valeton	
N95	*braat	Proto-Monic	banana: Musa spp.	banana: Musa spp.
N95.B	*phra̤at	Proto-Nyah Kur	banana: Musa spp.	
N95.A	*pra̤t	Proto-Mon	banana: Musa spp.	
N96	*sit-siət	Proto-Monic	large timber tree, Pentace burmanica, Kurz.	Burmese mahogany: Pantace burmanica, Kurz.
N96.B	*ɕit-ɕi̱at	Proto-Nyah Kur	Burmese mahogany: Pantace burmanica, Kurz.	
N96.A	*kəsə̱t	Proto-Mon	large timber tree, Pentace burmanica, Kurz.	
N97	*klwaan	Proto-Monic	Cinnamon: Cinnamomum sp.	a tree: Berrya mollis, Wall. ex. Kurz.
N97.B	*kəlwa̱an	Proto-Nyah Kur	a tree: Berrya mollis, Wall. ex. Kurz.	
N97.A	*kəwa̱n	Proto-Mon	Cinnamon: Cinnamomum sp.	
N98	*lŋaw	Proto-Monic	sesame: Sesamum indicum, Linn.	sesame: Sesamum indicum, Linn.
N98.B	*ləŋa̤w	Proto-Nyah Kur	sesame: Sesamum indicum, Linn.	
N98.A	*[]əŋɛ̤ə̯	Proto-Mon	sesame: Sesamum indicum, Linn.	
N99	*[t]ɓaw	Proto-Monic	sugar-cane: Saccharum officinarum, Linn.	sugar-cane: Saccharum officinarum, Linn.
N99.B	*ba̱w	Proto-Nyah Kur	sugar-cane: Saccharum officinarum, Linn.	
N99.A	*ɓa̱o̯	Proto-Mon	sugar-cane: Saccharum officinarum, Linn.	
N100	*traw	Proto-Monic	arum; /kra̱o mɔ̱Ɂ/ Colocasia indica etc.	taro: Colocasia esculenta, Schott
N100.B	*tra̱w	Proto-Nyah Kur	taro: Colocasia esculenta, Schott	
N100.A	*kra̱o̯	Proto-Mon	arum; /kra̱o mɔ̱Ɂ/ Colocasia indica etc.	
N101	*braaw	Proto-Monic	coconut: Cocos nucifera, Linn.	coconut: Cocos nucifera, Linn.
N101.B	*m-phra̤aw	Proto-Nyah Kur	coconut: Cocos nucifera, Linn.	
